Component 00000000037555,00011-37555,00006-00010-63125,578140679-037555,1343111266-037555,2108081853-0037555,98250326-037555,568364685-00037555,789506856-037555,263446952-0000037555
Component 00000000090480,00005-90480,00005-00008-1230,46696972-090480,72592449-090480,98487926-0090480,228885783-090480,99408398-00090480,1289679868-090480,1127849888-0000090480
Component 00000000077178,00003-00003-00010-77178,00003-00006-00010-60668,1233836591-077178,1251466055-077178,1269095519-0077178,2088865595-077178,2000718275-00077178,2080050863-077178,1757188106-0000077178
Component 00000000007057,00002-00001-00011-7057,00004-00004-00011-73994,1160564057-007057,525527318-007057,2037974226-0007057,1499795097-007057,380011498-00007057,743571643-007057,1943389430-0000007057
Component 00000000052749,00004-00004-00008-52749,00003-00004-00001-117898,1215098765-052749,1674352110-052749,2133605455-0052749,940307704-052749,791524626-00052749,1784422855-052749,1874051113-0000052749
Component 00000000041789,00004-00006-00007-41789,00002-00004-00007-66112,1598400770-041789,1012278537-041789,426156304-0041789,15018057-041789,798145575-00041789,1381820997-041789,707475615-0000041789
Component 00000000041301,00001-00001-41301,00004-00002-00012-44459,158000800-041301,622419768-041301,1086838736-0041301,1207484278-041301,1032873085-00041301,975274794-041301,1228345416-0000041301
Component 00000000108213,00003-00001-108213,00003-00008-64813,517256483-108213,557431373-108213,597606263-0108213,318255001-108213,117380551-00108213,298167556-108213,852579269-0000108213
Component 00000000117342,00002-00001-00004-117342,00004-00005-00007-73379,1285557183-117342,1352258092-117342,1418959001-0117342,1299325799-117342,965821254-00117342,192233521-117342,1362130442-0000117342
Component 00000000029531,00001-00005-00008-29531,00002-00004-00010-85537,37894235-029531,1062872776-029531,2087851317-0029531,1430971416-029531,601046005-00029531,1992223969-029531,235313202-0000029531
Component 00000000020818,00003-00005-20818,00004-00010-28714,2066541999-020818,2030346956-020818,1994151913-0020818,1384824237-020818,1565799452-00020818,329179935-020818,607860334-0000020818
Component 00000000090577,00002-00004-00006-90577,00002-00004-65212,549019799-090577,940261454-090577,1331503109-0090577,1270629067-090577,1461904439-00090577,1266416-090577,2057757914-0000090577
Component 00000000043041,00001-00005-00011-43041,00001-00004-00010-93181,328626737-043041,2087750303-043041,1699390222-0043041,1894257455-043041,1688574213-00043041,1014695672-043041,919033131-0000043041
Component 00000000037361,00001-00002-00012-37361,00001-00005-57660,1699230784-037361,125754047-037361,699760957-0037361,1621278508-037361,898727605-00037361,1334275053-037361,1942895625-0000037361
Component 00000000039522,00002-00002-39522,00003-00006-00003-118173,781878939-039522,532248166-039522,282617393-0039522,485946507-039522,1734100372-00039522,1684503717-039522,1705958920-0000039522
Component 00000000041929,00004-00006-00004-41929,00010-62020,1790308764-041929,1149209692-041929,508110620-0041929,761774830-041929,1819786543-00041929,1082324366-041929,1393555416-0000041929
Component 00000000114121,00001-00007-114121,00002-00006-00011-33837,1757904827-114121,617508829-114121,1624596478-0114121,135790099-114121,1542802795-00114121,705988098-114121,1688473284-0000114121
Component 00000000006609,00004-00001-00005-6609,00001-00002-00007-61406,1608209586-006609,1432305774-006609,1256401962-0006609,1666809292-006609,398844705-00006609,1754761198-006609,477530108-0000006609
Component 00000000101239,00004-00005-00008-101239,00004-00005-00003-116639,1552744952-101239,268015955-101239,1130770605-0101239,446672537-101239,427866581-00101239,15295212-101239,1765873333-0000101239
Component 00000000006461,00001-6461,00002-00006-00005-57322,2088718881-006461,2075133147-006461,2061547413-0006461,1429810782-006461,1497739452-00006461,1436603649-006461,248300983-0000006461
Component 00000000097610,00002-00006-97610,00001-00003-00005-15046,1641508474-097610,454488786-097610,1414952745-0097610,2053112075-097610,1545759574-00097610,499138272-097610,176314476-0000097610
Component 00000000052368,00003-00001-00004-52368,00004-00004-00007-107244,1796813370-052368,1330660902-052368,864508434-0052368,663255142-052368,846533835-00052368,896331376-052368,937889670-0000052368
Component 00000000083281,00001-00002-00003-83281,00001-00001-00007-108011,119424023-083281,217436809-083281,315449595-0083281,578076850-083281,88012920-00083281,529070457-083281,1824027649-0000083281
Component 00000000003494,00004-00001-00010-3494,00002-00002-00010-97757,1129092432-003494,2088253167-003494,899930255-0003494,1477489669-003494,976653288-00003494,2071651125-003494,2107992623-0000003494
Component 00000000035170,00002-00005-35170,00003-00004-00007-119893,1920811682-035170,1801710384-035170,1682609086-0035170,439366023-035170,1034872513-00035170,498916672-035170,2009439665-0000035170
Component 00000000079511,00001-00005-00003-79511,00003-00006-00010-2428,636566433-079511,383486838-079511,130407243-0079511,173366134-079511,1438764109-00079511,1373647755-079511,1069112833-0000079511
Component 00000000054920,00005-00008-54920,00003-00006-00001-55173,652100633-054920,1619269131-054920,438953982-0054920,315132552-054920,1921741003-00054920,1979031950-054920,1523466142-0000054920
Component 00000000080026,00001-00002-00011-80026,00003-00002-00010-16858,2039442842-080026,1037296365-080026,35149888-0080026,1753720765-080026,322002209-00080026,1181052180-080026,658415453-0000080026
Component 00000000068597,00002-00004-00009-68597,00004-00002-00010-67454,278815176-068597,1644832246-068597,863365669-0068597,2106133661-068597,1718499252-00068597,1423125126-068597,225976469-0000068597
Component 00000000066903,00003-00004-00005-66903,00002-00004-20050,1308170731-066903,1946669632-066903,437684886-0066903,1136854548-066903,91843690-00066903,1891346921-066903,1238263220-0000066903
Component 00000000080563,00003-00002-80563,00001-00003-00010-111121,566524248-080563,2000733522-080563,1287459149-0080563,1406197333-080563,677601904-00080563,689092696-080563,634163856-0000080563
Component 00000000095745,00006-95745,00003-00004-86398,1726639189-095745,1133048716-095745,539458243-0095745,1928530483-095745,601515554-00095745,1151583896-095745,127152493-0000095745
Component 00000000057234,00004-00002-00008-57234,00004-00002-00003-119954,500867714-057234,1940120602-057234,1231889843-0057234,1585156078-057234,831342579-00057234,865529634-057234,736670713-0000057234
Component 00000000116897,00002-00004-00001-116897,00004-00009-60914,1005429801-116897,454373615-116897,2050801076-0116897,49008544-116897,656805827-00116897,324536637-116897,1569918644-0000116897
Component 00000000104255,00004-00008-104255,00001-00005-00002-77586,579384414-104255,724403500-104255,869422586-0104255,1170359144-104255,445263714-00104255,1097849601-104255,970975003-0000104255
Component 00000000020211,00001-00002-00009-20211,00006-71630,2082339531-020211,1990083213-020211,1897826895-0020211,1902875402-020211,216673345-00020211,1949003561-020211,1995721614-0000020211
Component 00000000030091,00001-00005-00009-30091,00003-00003-101195,1960766580-030091,1267668680-030091,574570780-0030091,557773135-030091,1875778988-00030091,904322085-030091,1853807058-0000030091
Component 00000000093948,00003-00001-00010-93948,00001-00003-00010-36046,115659228-093948,1914526908-093948,1565910941-0093948,1461395828-093948,1056992016-00093948,561961988-093948,2029691883-0000093948
Component 00000000102539,00004-00003-00008-102539,00001-00001-00009-29506,939630775-102539,1436448852-102539,1933266929-0102539,339245569-102539,2638831-00102539,1164578354-102539,55675278-0000102539
Component 00000000064855,00011-64855,00004-00004-00002-86244,1047635563-064855,41540043-064855,1182928170-0064855,1644126724-064855,232153383-00064855,2147174484-064855,1363636097-0000064855
Component 00000000041557,00002-00005-00009-41557,00002-00001-00002-51612,1635167541-041557,1122259636-041557,609351731-0041557,1455196089-041557,1872251967-00041557,637908218-041557,1344316546-0000041557
Component 00000000050151,00001-00003-00010-50151,00004-00002-45164,2030507243-050151,469277532-050151,1055531468-0050151,399052081-050151,1762749695-00050151,105925113-050151,1258223061-0000050151
Component 00000000120031,00001-00002-00002-120031,00001-25116,755984077-120031,2084918900-120031,1266370076-0120031,1858555406-120031,1656332232-00120031,120346171-120031,392266410-0000120031
Component 00000000110604,00004-00004-110604,00002-00002-00007-8262,576426317-110604,24877080-110604,1620811490-0110604,669833910-110604,1280096448-00110604,2019350352-110604,1292933880-0000110604
Component 00000000090068,00003-00006-00004-90068,00002-00005-00003-50937,1806523138-090068,726005679-090068,1792971867-0090068,2014775728-090068,974912082-00090068,1481292634-090068,460020474-0000090068
Component 00000000112190,00001-112190,00004-00005-52624,943545066-112190,662980264-112190,382415462-0112190,221054051-112190,1623878061-00112190,361336452-112190,685251316-0000112190
Component 00000000099340,00003-00007-99340,00002-00009-63462,321326929-099340,1815027953-099340,1161245330-0099340,1898866242-099340,872812063-00099340,1152015730-099340,1528681793-0000099340
Component 00000000026851,00001-00006-00006-26851,00002-00002-00011-10502,69623322-026851,30951619-026851,2139763563-0026851,1415271197-026851,1608629712-00026851,360865225-026851,1888655182-0000026851
Component 00000000047374,00004-00005-00002-47374,00002-00011-90972,1349650794-047374,700939677-047374,52228560-0047374,1025674501-047374,2121746439-00047374,276288236-047374,548610465-0000047374
Component 00000000004788,00003-00004-4788,00001-00004-00002-10441,1628797379-004788,982196770-004788,335596161-0004788,1407180724-004788,345216475-00004788,656739205-004788,1920568375-0000004788
Component 00000000019208,00003-00007-19208,00003-00005-43568,1789928463-019208,2104294281-019208,271176452-0019208,2004285107-019208,432456017-00019208,1847102198-019208,1768398787-0000019208
Component 00000000060202,00002-00002-00012-60202,00005-00008-79490,1598208083-060202,1596188158-060202,1594168233-0060202,426499897-060202,436599522-00060202,1501251683-060202,1398712859-0000060202
Component 00000000118719,00004-00006-00003-118719,00001-00004-00011-111941,534162193-118719,518756971-118719,503351749-0118719,1934492573-118719,2011518683-00118719,1942195184-118719,537428155-0000118719
Component 00000000031542,00002-00004-31542,00001-00003-00010-18301,981683029-031542,1265116359-031542,1548549689-0031542,1843297652-031542,426131002-00031542,1701580987-031542,1206622810-0000031542
Component 00000000106173,00003-00004-00002-106173,00003-00006-00008-7678,1178627692-106173,242016690-106173,1452889335-0106173,850150682-106173,1238238398-00106173,1318456183-106173,990946327-0000106173
Component 00000000116665,00003-00003-116665,00001-00004-00005-54436,1256016553-116665,730258674-116665,204500795-0116665,452821362-116665,934127110-00116665,1789442125-116665,349741252-0000116665
Component 00000000080326,00001-00001-00012-80326,00004-00006-00010-25269,393254271-080326,1362680030-080326,184622142-0080326,1239505172-080326,687343671-00080326,1828534116-080326,1238579227-0000080326
Component 00000000035034,00004-00006-00012-35034,00001-00005-00009-116086,1918357259-035034,2089071361-035034,112301816-0035034,1608056618-035034,754486108-00035034,1522699567-035034,145318899-0000035034
Component 00000000113642,00002-00004-00009-113642,00002-00004-93305,1415450449-113642,960539750-113642,505629051-0113642,1900859841-113642,2027929689-00113642,1054573367-113642,747767157-0000113642
Component 00000000062365,00002-00004-62365,00001-00001-00011-16521,1742019372-062365,1089612330-062365,437205288-0062365,165048893-062365,1279600456-00062365,491252414-062365,2055249646-0000062365
Component 00000000043989,00004-00001-00010-43989,00004-00004-00009-119739,621140880-043989,486363812-043989,351586744-0043989,526904023-043989,1200789363-00043989,594292557-043989,1394495861-0000043989
Component 00000000007833,00003-00007-7833,00005-00011-95730,605315811-007833,1856808346-007833,960817234-0007833,99419819-007833,284408085-00007833,547415375-007833,974320257-0000007833
Component 00000000071164,00004-00002-00002-71164,00004-00003-00010-15844,1229128757-071164,360990643-071164,1640336176-0071164,2074103168-071164,2119826444-00071164,360688578-071164,141909390-0000071164
Component 00000000085349,00004-00005-00004-85349,00003-00002-00006-11433,1990743909-085349,385262422-085349,927264582-0085349,360561258-085349,1945517752-00085349,89560178-085349,1883062327-0000085349
Component 00000000008463,00003-8463,00003-00002-00006-113353,987784688-008463,705591658-008463,423398628-0008463,186324615-008463,1597289765-00008463,327421130-008463,306084117-0000008463
Component 00000000025899,00004-00006-00003-25899,00002-00003-00004-107397,331513200-025899,1393973826-025899,308950805-0025899,321246033-025899,1451393844-00025899,1937499367-025899,2048025855-0000025899
Component 00000000080283,00003-00008-80283,00003-00010-24073,1051055611-080283,1267607396-080283,1484159181-0080283,1890140772-080283,807381847-00080283,708123056-080283,379421218-0000080283
Component 00000000055856,00001-00003-00008-55856,00001-00002-00011-81391,1022249281-055856,189801775-055856,1504837916-0055856,1450734533-055856,1318004769-00055856,1866958286-055856,1625966731-0000055856
Component 00000000102273,00003-00003-00002-102273,00006-22015,1115419461-102273,986145657-102273,856871853-0102273,1288090908-102273,1934459928-00102273,1352727810-102273,674975692-0000102273
Component 00000000090316,00001-00002-00005-90316,00001-00003-57905,1504564882-090316,618354394-090316,1879627553-0090316,1473029154-090316,1609114300-00090316,1916134398-090316,1499031735-0000090316
Component 00000000051708,00003-00006-00007-51708,00005-00009-83235,434087430-051708,537342925-051708,640598420-0051708,73269820-051708,1704475992-00051708,1095383896-051708,1707961074-0000051708
Component 00000000047868,00003-00002-00002-47868,00003-00005-00008-104788,1090612580-047868,1897526948-047868,556957669-0047868,1571253782-047868,1831649236-00047868,1167796598-047868,734889689-0000047868
Component 00000000069804,00004-00007-69804,00002-00004-00004-101287,1289558532-069804,367841513-069804,1593608141-0069804,609697874-069804,923315675-00069804,2144298207-069804,769135993-0000069804
Component 00000000069327,00002-00006-00011-69327,00002-00005-87932,1654958390-069327,26232820-069327,544990897-0069327,2118663184-069327,1672356446-00069327,785542322-069327,947527958-0000069327
Component 00000000123423,00003-00006-00001-123423,00003-00006-00011-46668,1367152214-123423,362510832-123423,1505353097-0123423,2034169068-123423,614925037-00123423,389006112-123423,194598269-0000123423
Component 00000000000258,00003-00006-00011-258,00001-00002-7126,930443256-000258,1783821784-000258,489716665-0000258,1517112571-000258,1545187225-00000258,1090423307-000258,924757778-0000000258
Component 00000000006356,00001-00012-6356,00004-00003-00004-54344,1378861261-006356,406464695-006356,1581551776-0006356,1462268044-006356,2029283580-00006356,1948466327-006356,1299843628-0000006356
Component 00000000092781,00001-00003-92781,00004-00005-00012-3379,1266919494-092781,414962682-092781,1710489517-0092781,749203405-092781,714020171-00092781,1175181811-092781,991988010-0000092781
Component 00000000095899,00004-00006-00011-95899,00003-00006-00001-90663,450239179-095899,1817029456-095899,1036336086-0095899,1241316380-095899,849815936-00095899,1631663065-095899,685391664-0000095899
Component 00000000031664,00004-00003-00009-31664,00003-00001-00011-21708,1622229175-031664,635596881-031664,1796448234-0031664,1015203150-031664,1653397326-00031664,1508519297-031664,216976001-0000031664
Component 00000000057009,00004-00001-00004-57009,00004-113659,605408692-057009,1075450158-057009,1545491624-0057009,1927583323-057009,1724859640-00057009,1692562590-057009,972238481-0000057009
Component 00000000041263,00003-00005-00001-41263,00004-00007-43414,1356804675-041263,1355028366-041263,1353252057-0041263,196911865-041263,205793410-00041263,1271541843-041263,1364394358-0000041263
Component 00000000053568,00003-00004-00008-53568,00003-00002-00006-17348,1312060046-053568,134135990-053568,1103695581-0053568,17318152-053568,1611971138-00053568,606280180-053568,248274106-0000053568
Component 00000000006533,00003-00002-00007-6533,00004-00001-59319,861800398-006533,1365106374-006533,1868412350-0006533,1649820117-006533,1280773884-00006533,1398167129-006533,918147735-0000006533
Component 00000000048284,00004-00005-00002-48284,00003-00006-00008-116423,1274687043-048284,1239781673-048284,1204876303-0048284,1729260245-048284,1903787095-00048284,1746712930-048284,983680257-0000048284
Component 00000000071304,00004-00002-00012-71304,00004-00004-00010-19744,333329491-071304,29434463-071304,1873023082-0071304,626806162-071304,2146281302-00071304,778753676-071304,2020153281-0000071304
Component 00000000044704,00004-00002-00010-44704,,782395096-044704,2099927299-044704,1269975855-0044704,1331939355-044704,1186729281-00044704,1746915077-044704,544706970-0000044704
Component 00000000079916,00001-00004-00005-79916,00002-00004-00007-13787,389120702-079916,824566352-079916,1260012002-0079916,33398257-079916,3653654-00079916,1963159079-079916,640404631-0000079916
Component 00000000059779,00004-00006-00005-59779,00003-00006-00003-67668,475566211-059779,1943416591-059779,1263783324-0059779,799349290-059779,2050031978-00059779,65424100-059779,2009197063-0000059779
Component 00000000111891,00001-00003-111891,00004-00004-00005-44244,285155537-111891,1594356130-111891,756073076-0111891,430616711-111891,327064687-00111891,849758238-111891,949536245-0000111891
Component 00000000024535,00004-24535,00003-00006-69173,938083380-024535,2127221005-024535,1168874983-0024535,1702941547-024535,52220716-00024535,34630911-024535,31598132-0000024535
Component 00000000071324,00004-00001-00006-71324,00011-20265,230116235-071324,1910854725-071324,1444109568-0071324,141554414-071324,327796552-00071324,1448668816-071324,611813163-0000071324
Component 00000000119623,00003-00010-119623,00004-00002-00005-13694,1899364131-119623,107647613-119623,463414742-0119623,900458888-119623,1269106890-00119623,1796317147-119623,385840296-0000119623
Component 00000000086819,00004-00005-00005-86819,1436259974,850541708-086819,1342403883-086819,1834266058-0086819,9795255-086819,1845451674-00086819,837605991-086819,443350137-0000086819
Component 00000000121274,00004-00006-00010-121274,00004-00012-43705,1289073940-121274,452335646-121274,1763080999-0121274,1509455974-121274,1398180150-00121274,1927825121-121274,1433397598-0000121274
Component 00000000053009,00004-00005-00008-53009,00001-00002-00010-1661,924802813-053009,2085998346-053009,1099710232-0053009,334469518-053009,970942794-00053009,827613575-053009,1193998812-0000053009
Component 00000000116811,00001-00002-00006-116811,00004-00004-00002-58489,594732521-116811,2114000290-116811,1485784412-0116811,191033496-116811,1184629239-00116811,505141435-116811,1474173696-0000116811
Component 00000000114300,00004-00004-114300,,1152598716-114300,855992346-114300,559385976-0114300,1799575300-114300,1135123503-00114300,1947878485-114300,1676240452-0000114300
Component 00000000028969,00004-00003-00005-28969,00002-00004-00003-69787,307911688-028969,639511304-028969,971110920-0028969,1358107535-028969,1847593102-00028969,1192307727-028969,2137624843-0000028969
Component 00000000097508,00003-00005-00008-97508,00003-00009-12190,314858399-097508,449165709-097508,583473019-0097508,386311993-097508,1862259090-00097508,319158338-097508,875487712-0000097508
Component 00000000089473,00003-00006-00007-89473,00001-00003-00002-34296,89035624-089473,410869645-089473,732703666-0089473,1739341937-089473,130171832-00089473,504683103-089473,980060030-0000089473
Component 00000000048396,00001-00005-00010-48396,00004-00011-119585,1863561292-048396,2004736708-048396,2145912124-0048396,120634380-048396,1562240947-00048396,50046672-048396,1309505099-0000048396
Component 00000000082065,00004-00009-82065,00004-00004-00011-73994,368892160-082065,1607616453-082065,698857099-0082065,1391220078-082065,1640049554-00082065,1845599755-082065,1408669990-0000082065
Component 00000000080602,00002-00004-00002-80602,00005-00007-32975,171735430-080602,756601433-080602,1341467436-0080602,1694190988-080602,917344620-00080602,328016163-080602,545129435-0000080602
Component 00000000023277,00002-00002-00007-23277,00003-00001-00002-33958,2132151986-023277,1814078617-023277,1496005248-0023277,664237295-023277,107120493-00023277,1897015803-023277,1780405253-0000023277
Component 00000000046130,00006-46130,00006-00004-56125,773312728-046130,1222289571-046130,1671266414-0046130,111320-046130,2050194399-00046130,849364722-046130,1409806782-0000046130
Component 00000000120275,00001-00012-120275,00001-00002-00012-31901,2039608269-120275,1012659927-120275,2133195232-0120275,1624737563-120275,317028332-00120275,2138211734-120275,1796477030-0000120275
Component 00000000032200,00012-32200,00002-00010-36722,1937573230-032200,287465703-032200,784841823-0032200,290511286-032200,2098597980-00032200,41823226-032200,1964721109-0000032200
Component 00000000099966,00001-00006-00009-99966,00004-00006-00008-81024,1882042528-099966,935081119-099966,2135603357-0099966,2125312602-099966,417668706-00099966,1525051483-099966,937207011-0000099966
Component 00000000064440,00005-00012-64440,00003-00004-00005-74638,1507150753-064440,280481829-064440,1201296552-0064440,2143250055-064440,1834143734-00064440,609100870-064440,1063334583-0000064440
Component 00000000040848,00003-00003-00002-40848,00004-00006-00007-31779,491245836-040848,1967110827-040848,1295492171-0040848,129995725-040848,1340605358-00040848,465805053-040848,30962900-0000040848
Component 00000000026118,00003-00001-00001-26118,00002-00002-00004-113507,986367965-026118,1845574561-026118,557297510-0026118,1855698578-026118,1854632892-00026118,1426095280-026118,486801611-0000026118
Component 00000000076169,00004-00002-00002-76169,00003-00006-00001-32423,476767734-076169,1160656201-076169,1844544668-0076169,359361855-076169,1234886814-00076169,1091159445-076169,1059864846-0000076169
Component 00000000109203,00003-00003-00003-109203,00004-00003-92599,1192877812-109203,959861881-109203,726845950-0109203,1702765217-109203,720361225-00109203,745531359-109203,1212172699-0000109203
Component 00000000105820,00001-105820,00001-00011-121366,416098660-105820,1482207738-105820,400833169-0105820,582781415-105820,1694686966-00105820,49726876-105820,468592012-0000105820
Component 00000000059711,00001-00001-00002-59711,00004-00002-00010-96119,65471267-059711,1417173797-059711,621392680-0059711,1198534562-059711,882472853-00059711,522683297-059711,1267122433-0000059711
Component 00000000006590,00003-00012-6590,00004-00009-60914,1473971083-006590,17622567-006590,708757698-0006590,1708028408-006590,399836400-00006590,288719019-006590,1710515058-0000006590
Component 00000000042166,00001-00005-00007-42166,00001-00004-00002-68681,851222615-042166,936011306-042166,1020799997-0042166,1742248658-042166,1318305203-00042166,626112489-042166,970465783-0000042166
Component 00000000081749,00004-00003-00005-81749,00006-00003-65120,535355880-081749,1468185626-081749,253531725-0081749,680441974-081749,311260538-00081749,214027101-081749,1762648114-0000081749
Component 00000000043841,00001-00005-43841,00003-00006-115563,454331164-043841,1506264947-043841,410715083-0043841,1007253935-043841,42552314-00043841,1555028867-043841,595778021-0000043841
Component 00000000024966,00001-00004-00006-24966,00004-00004-00002-81239,721474728-024966,1690443891-024966,511929407-0024966,1545580723-024966,995702202-00024966,2134837965-024966,1898014035-0000024966
Component 00000000049328,00003-00006-00006-49328,00003-00004-00012-22138,287511553-049328,1202320328-049328,2117129103-0049328,632322377-049328,353245796-00049328,1248659813-049328,1967077660-0000049328
Component 00000000058118,00003-00004-00008-58118,00001-00004-00009-21186,1097472654-058118,415260186-058118,1880531365-0058118,222422661-058118,1486001354-00058118,563528895-058118,134764604-0000058118
Component 00000000078857,00002-00002-00012-78857,00003-00006-00007-107673,90794555-078857,688327037-078857,1285859519-0078857,1153832521-078857,313653758-00078857,855066280-078857,1686266381-0000078857
Component 00000000001307,00002-00005-00007-1307,00002-00002-00003-36507,2055186055-001307,624317298-001307,1340932188-0001307,303786221-001307,1015679065-00001307,2092962423-001307,1727272062-0000001307
Component 00000000028955,00003-00004-28955,00004-00012-69419,145376528-028955,746652283-028955,1347928038-0028955,316221411-028955,1604809930-00028955,1089325357-028955,1981570638-0000028955
Component 00000000044897,00002-00006-00008-44897,00004-00005-21585,2134677939-044897,1525213896-044897,915749853-0044897,1566701088-044897,319054009-00044897,797691286-044897,1121523620-0000044897
Component 00000000033294,00004-00002-00001-33294,00001-00005-00004-67331,444314483-033294,1537344295-033294,482890460-0033294,1916652837-033294,746471071-00033294,1370137931-033294,380720220-0000033294
Component 00000000045033,00003-00002-00001-45033,00003-00006-00008-25423,1276396129-045033,1776532624-045033,129185472-0045033,836954196-045033,483755368-00045033,1660627772-045033,260759647-0000045033
Component 00000000045018,00003-00001-00012-45018,00003-00001-00003-24963,784452535-045018,1269368173-045018,1754283811-0045018,680540861-045018,403446318-00045018,438083042-045018,346977283-0000045018
Component 00000000023420,00005-00007-23420,00003-00003-00011-37698,64894895-023420,1936483473-023420,1660588404-0023420,642627754-023420,2022103099-00023420,1854317112-023420,293437959-0000023420
Component 00000000092743,00003-00001-92743,00002-00004-2305,494542648-092743,1364509575-092743,86992855-0092743,812007491-092743,757140150-00092743,1450765851-092743,1084894109-0000092743
Component 00000000039144,00004-00001-39144,00002-00001-00011-107612,1215819768-039144,516948312-039144,1965560503-0039144,1680292504-039144,879682490-00039144,2029728232-039144,83669618-0000039144
Component 00000000028581,00001-00007-28581,1436259974,763524473-028581,472103612-028581,180682751-0028581,588256420-028581,2045360725-00028581,1807708674-028581,827982373-0000028581
Component 00000000115510,00003-00005-115510,00001-00003-00011-22046,1212392026-115510,67951865-115510,1070995351-0115510,467877216-115510,1895110727-00115510,2113839120-115510,1074684520-0000115510
Component 00000000121435,00006-00002-121435,00001-64415,86030667-121435,150570601-121435,215110535-0121435,1068733819-121435,746034149-00121435,1036463852-121435,1503556820-0000121435
Component 00000000098023,00003-00002-00003-98023,00001-00002-00001-26651,1486864071-098023,302119925-098023,1264859426-0098023,2008831459-098023,1490101248-00098023,453719885-098023,1647548302-0000098023
Component 00000000049385,00011-49385,00005-00010-23735,1589054769-049385,2031687799-049385,326837182-0049385,1581920254-049385,1516238751-00049385,1360603739-049385,476452554-0000049385
Component 00000000084374,00004-00003-00004-84374,00001-00003-00005-15046,562147485-084374,1987974517-084374,1266317902-0084374,995281833-084374,308597614-00084374,282368317-084374,1334870600-0000084374
Component 00000000059590,00006-00011-59590,00003-00002-00010-62358,687237085-059590,1779757962-059590,724795192-0059590,1061150268-059590,2040996824-00059590,1588631653-059590,1927401295-0000059590
Component 00000000033081,00001-00006-00009-33081,00001-00003-61376,1281711663-033081,2015239072-033081,601282834-0033081,1424310824-033081,2051641073-00033081,2131288943-033081,1281569753-0000033081
Component 00000000051715,00006-00001-51715,00003-00012-88945,1128090373-051715,841526104-051715,554961835-0051715,1188367032-051715,473704730-00051715,257907343-051715,344260537-0000051715
Component 00000000073785,00005-00010-73785,00001-00004-00011-89191,468211222-073785,1976898708-073785,1338102547-0073785,625110295-073785,1671607453-00073785,2018250199-073785,604996597-0000073785
Component 00000000008287,00002-00006-00006-8287,00003-00007-108440,1213576561-008287,1957988191-008287,554916174-0008287,810318617-008287,1383227761-00008287,438112802-008287,2042858380-0000008287
Component 00000000045981,00001-00005-45981,00003-00002-51950,1614718501-045981,1939708184-045981,117214220-0045981,1270590774-045981,1793126006-00045981,34354109-045981,1992452053-0000045981
Component 00000000022108,00003-00002-00008-22108,00002-00007-30492,846237150-022108,1706087396-022108,418453995-0022108,1746784788-022108,1742500852-00022108,1316859665-022108,1203722182-0000022108
Component 00000000024124,00004-00002-00009-24124,00002-00002-57722,1488366249-024124,1995671939-024124,355493982-0024124,322888450-024124,2081327294-00024124,69235605-024124,119852318-0000024124
Component 00000000001103,00003-00004-00011-1103,00003-00002-00005-1773,1891801923-001103,1336406177-001103,781010431-0001103,724912006-001103,1354407089-00001103,1002609879-001103,1586088530-0000001103
Component 00000000094415,00006-00009-94415,00001-00002-00010-25776,686524948-094415,58254998-094415,1577468695-0094415,280203431-094415,1274069534-00094415,594338406-094415,78779397-0000094415
Component 00000000042613,00003-00004-00012-42613,00002-00005-00005-81177,1636015312-042613,1218586588-042613,801157864-0042613,718075021-042613,657734994-00042613,926789383-042613,17764795-0000042613
Component 00000000048438,00003-00005-48438,00002-00002-00008-120752,1857172945-048438,27176979-048438,344664660-0048438,1149198121-048438,1709243363-00048438,2064196104-048438,371383885-0000048438
Component 00000000022832,00002-00005-00004-22832,00004-00006-00009-21524,419351284-022832,1623935548-022832,681036165-0022832,859629619-022832,1279159240-00022832,257337487-022832,829430360-0000022832
Component 00000000097706,00001-00011-97706,00002-00011-17717,1895815772-097706,1495689522-097706,1095563272-0097706,1817045470-097706,1670193073-00097706,2017108595-097706,2034121600-0000097706
Component 00000000005094,00004-00005-00011-5094,00001-00001-19006,111991861-005094,726424399-005094,1340856937-0005094,1994682543-005094,1070003500-00005094,1687466274-005094,751283343-0000005094
Component 00000000045016,00001-00006-00010-45016,00002-00005-00011-24932,457883008-045016,1460728378-045016,316090101-0045016,1851243219-045016,1131983663-00045016,1349820534-045016,1209466166-0000045016
Component 00000000066984,00004-00001-00008-66984,00002-00006-00001-22322,1772586093-066984,1178743520-066984,584900947-0066984,1962250537-066984,636496108-00066984,1185430000-066984,1121435336-0000066984
Component 00000000004361,00001-00006-4361,00002-00009-6015,316560329-004361,1933276268-004361,1402508560-0004361,344130255-004361,850485148-00004361,609514109-004361,386356731-0000004361
Component 00000000006651,00001-00001-00008-6651,00003-00002-00008-62603,534210444-006651,1215530987-006651,1896851530-0006651,292260251-006651,1180624830-00006651,1025341803-006651,1858541230-0000006651
Component 00000000081067,00002-00012-81067,00004-00004-45994,20673096-081067,588434754-081067,1156196412-0081067,1787309745-081067,1095985102-00081067,1503428916-081067,636592064-0000081067
Component 00000000120995,00004-120995,00004-00005-00004-52134,1764818166-120995,184384280-120995,751434041-0120995,275702340-120995,1735420829-00120995,1065919283-120995,297883195-0000120995
