Component 00000000030456,00001-00006-00010-30456,00004-00002-111449,98633843-030456,1989432670-030456,1732747850-0030456,534321955-030456,1817746055-00030456,662664365-030456,616827284-0000030456
Component 00000000004748,00003-00002-00003-4748,00002-00010-9305,1800605238-004748,1471546930-004748,1142488622-0004748,873662829-004748,371470722-00004748,1038191983-004748,1278002714-0000004748
Component 00000000114373,00003-00012-114373,00003-00005-00007-113783,836437301-114373,804087066-114373,771736831-0114373,341192727-114373,502943902-00114373,1431109668-114373,259544001-0000114373
Component 00000000016676,00001-00002-00010-16676,00002-00009-96222,1982079533-016676,1776144701-016676,1570209869-0016676,584174769-016676,1613848929-00016676,687142185-016676,300759746-0000016676
Component 00000000002343,00003-00005-00003-2343,65520,365545839-002343,1368296358-002343,223563230-0002343,680563953-002343,2109262299-00002343,1252930517-002343,1467230316-0000002343
Component 00000000038760,00001-00007-38760,00004-00011-96835,1429108978-038760,1384330034-038760,1339551090-0038760,1404813841-038760,1628708561-00038760,1427203313-038760,2003273184-0000038760
Component 00000000007653,00003-00002-00009-7653,00003-00006-00001-90663,1704365796-007653,1826141417-007653,1947917038-0007653,94290650-007653,1632896192-00007653,1107144663-007653,1861587176-0000007653
Component 00000000006089,00004-00006-00005-6089,00004-00005-00006-46884,1907028778-006089,1091278555-006089,275528332-0006089,2071590432-006089,1855374253-00006089,1405723720-006089,2001305799-0000006089
Component 00000000059279,00004-00003-00012-59279,00004-00002-00009-53699,334250583-059279,17991419-059279,1849215902-0059279,28066658-059279,1609362478-00059279,186196240-059279,509161418-0000059279
Component 00000000034562,00002-00003-00008-34562,00002-00001-00009-102852,740425169-034562,1187721650-034562,1635018131-0034562,2033209851-034562,1944211093-00034562,735819787-034562,1550348862-0000034562
Component 00000000009106,00001-00006-00006-9106,00002-00006-00006-14657,383410627-009106,576635097-009106,769859567-0009106,1164862834-009106,198740484-00009106,1068250599-009106,1046308997-0000009106
Component 00000000103920,00005-00011-103920,00001-00004-00006-68191,1110020269-103920,1761128730-103920,264753544-0103920,1550267746-103920,442209088-00103920,150971692-103920,1729217850-0000103920
Component 00000000082950,00010-82950,00004-00004-00004-98739,1442606489-082950,1463852915-082950,1485099341-0082950,325574503-082950,219342373-00082950,314951290-082950,608396705-0000082950
Component 00000000112223,00003-00006-00007-112223,00001-00003-00012-53546,29892350-112223,1483263149-112223,789150301-0112223,725157574-112223,2048238167-00112223,1072213998-112223,234095806-0000112223
Component 00000000058522,00002-00002-00009-58522,00005-00011-32485,1889789037-058522,100563768-058522,458822146-0058522,2085451194-058522,294159304-00058522,1906322005-058522,939067212-0000058522
Component 00000000010772,00002-00006-00008-10772,00002-00010-54467,1866915814-010772,65876706-010772,412321245-0010772,415864956-010772,831125908-00010772,1316384510-010772,1406747861-0000010772
Component 00000000049766,00001-00003-00002-49766,00003-00004-00003-34388,777851603-049766,1978509301-049766,1031683352-0049766,1027691487-049766,1466853938-00049766,427362638-049766,1833135268-0000049766
Component 00000000051060,00002-00009-51060,00011-80780,725815064-051060,766388727-051060,806962390-0051060,1619895896-051060,1417027581-00051060,525867241-051060,711897155-0000051060
Component 00000000035519,00004-00001-00003-35519,00002-00001-00002-6112,671518714-035519,2140122292-035519,1461242223-0035519,1031831896-035519,131264947-00035519,297530107-035519,153167624-0000035519
Component 00000000102739,00004-102739,00004-00003-00007-35094,21792264-102739,822576040-102739,1623359816-0102739,205099754-102739,496148168-00102739,1952191513-102739,2028095826-0000102739
Component 00000000110104,00004-00001-00007-110104,00002-00012-53650,1598066838-110104,1558538616-110104,1519010394-0110104,1828431718-110104,2026072828-00110104,1848195829-110104,338885300-0000110104
Component 00000000080201,00001-00002-00004-80201,00008-21770,1744783256-080201,1017988350-080201,291193444-0080201,854968667-080201,193975903-00080201,1218366120-080201,1217767138-0000080201
Component 00000000011725,00012-11725,00002-00005-00005-81177,1580555619-011725,1040802796-011725,501049973-0011725,98605644-011725,649886112-00011725,1442223879-011725,1529405875-0000011725
Component 00000000022597,00002-00001-00003-22597,00004-00002-00004-14954,2110088370-022597,1877520853-022597,1644953336-0022597,494240207-022597,1657077792-00022597,1684265789-022597,11687384-0000022597
Component 00000000122577,00002-122577,00004-00005-00005-96374,1593634747-122577,613064223-122577,1779977346-0122577,1280604567-122577,1888489893-00122577,1770889829-122577,1163669286-0000122577
Component 00000000022903,00003-00006-00010-22903,00001-00001-00004-23521,509745790-022903,1359205465-022903,61181493-0022903,1980092558-022903,2027761477-00022903,481620897-022903,820241729-0000022903
Component 00000000091995,00001-00007-91995,00001-104910,1445200816-091995,193662794-091995,1089608419-0091995,875148865-091995,690388034-00091995,1500917876-091995,720709124-0000091995
Component 00000000041809,00004-00005-00001-41809,00003-00006-00004-58673,1228516666-041809,1270055895-041809,1311595124-0041809,21943802-041809,1961731304-00041809,1074916011-041809,1243943170-0000041809
Component 00000000007316,00001-00001-00010-7316,00004-00004-00002-81239,656775715-007316,38300725-007316,1567309382-0007316,725509758-007316,1670401061-00007316,1034747253-007316,1485510206-0000007316
Component 00000000005688,00003-00004-00007-5688,00001-00002-35646,1405477856-005688,2117014428-005688,681067353-0005688,1555263246-005688,145064033-00005688,1199494960-005688,1407533216-0000005688
Component 00000000064457,00002-00001-00003-64457,00004-00003-00011-75099,751794522-064457,414944916-064457,78095310-0064457,1594457807-064457,1131222190-00064457,1762882610-064457,2001331756-0000064457
Component 00000000072530,00003-00003-72530,00003-00001-54068,349452778-072530,709463144-072530,1069473510-0072530,630086353-072530,977518170-00072530,450081170-072530,742695026-0000072530
Component 00000000114259,00004-00005-00002-114259,00004-00001-00007-110559,386848594-114259,520553059-114259,654257524-0114259,1502806029-114259,834283704-00114259,362211973-114259,1882398773-0000114259
Component 00000000112815,00003-00001-112815,00002-00003-00006-58012,258602385-112815,1772779732-112815,1139473432-0112815,1755501540-112815,627065746-00112815,2072154690-112815,1977387914-0000112815
Component 00000000098775,00005-00001-98775,00002-00005-00011-47682,1158590677-098775,1539889157-098775,1921187637-0098775,324214134-098775,565205381-00098775,133564894-098775,137065207-0000098775
Component 00000000042896,00001-00009-42896,00004-00005-00001-89129,1263140593-042896,183955828-042896,1252254710-0042896,1536028842-042896,489501726-00042896,1001879401-042896,815803097-0000042896
Component 00000000046128,00003-00005-00004-46128,00003-00007-56063,2036060675-046128,69444829-046128,250312630-0046128,1144472612-046128,240133607-00046128,2127780535-046128,879375383-0000046128
Component 00000000019372,00002-00003-00002-19372,00003-00006-00008-48173,781111613-019372,5133364-019372,1376638762-0019372,727130359-019372,312054310-00019372,41377660-019372,1998125348-0000019372
Component 00000000076901,00001-00006-00006-76901,00002-00003-00005-52902,976658727-076901,1278297168-076901,1579935609-0076901,1647479410-076901,139287205-00076901,422918366-076901,1055672522-0000076901
Component 00000000071390,00004-00007-71390,00003-00004-00012-22138,1551986527-071390,1470863651-071390,1389740775-0071390,1912494335-071390,170625068-00071390,1953055773-071390,2128855787-0000071390
Component 00000000020065,00003-00006-20065,00002-00006-00003-67577,943306940-020065,463677323-020065,2131531353-0020065,229848809-020065,480513247-00020065,1543405441-020065,1572892969-0000020065
Component 00000000092184,00004-00001-00001-92184,00005-00006-110220,1312149135-092184,769131904-092184,226114673-0092184,1819359019-092184,239477880-00092184,1017125811-092184,667928104-0000092184
Component 00000000072607,00002-00003-00002-72607,00002-00005-56217,1151781193-072607,1552360023-072607,1952938853-0072607,1252501625-072607,1397091122-00072607,1052212210-072607,594363929-0000072607
Component 00000000117311,00001-00005-00012-117311,00006-72520,1181827244-117311,1364831392-117311,1547835540-0117311,1467593834-117311,552573094-00117311,1376091760-117311,1205968686-0000117311
Component 00000000107861,00001-00005-107861,00001-00012-50036,1634510453-107861,1708504582-107861,1782498711-0107861,2002000239-107861,1632029594-00107861,891261351-107861,1688337335-0000107861
Component 00000000069287,00002-00001-00010-69287,00001-00003-00008-86796,1243817655-069287,1675296409-069287,2106775163-0069287,695700754-069287,685790631-00069287,479961377-069287,1153876575-0000069287
Component 00000000032649,00004-00001-00006-32649,00002-00001-49310,727499132-032649,1545865144-032649,216747509-0032649,1763545068-032649,1966682302-00032649,1354362062-032649,1472724286-0000032649
Component 00000000010744,00004-00006-00006-10744,00004-00002-00009-53699,678466244-010744,2001004885-010744,1176059879-0010744,1470822746-010744,1300580482-00010744,1883295249-010744,1793039336-0000010744
Component 00000000009381,00001-00001-00008-9381,00002-00004-00002-15537,992817347-009381,73886471-009381,1302439242-0009381,1521826448-009381,1821513534-00009381,1981291886-009381,1418113565-0000009381
Component 00000000073791,00001-00004-00003-73791,00004-00003-00008-89344,71699672-073791,1156552234-073791,93921149-0073791,1147441401-073791,18145885-00073791,605015120-073791,1845953312-0000073791
Component 00000000032338,00003-00005-00007-32338,00004-00004-40590,1845979184-032338,203940788-032338,709386039-0032338,1664011917-032338,1284269309-00032338,337547468-032338,1624320894-0000032338
Component 00000000023760,00002-00009-23760,00002-00004-47467,1308661510-023760,952267988-023760,595874466-0023760,1203444869-023760,837928832-00023760,1381641630-023760,266468868-0000023760
Component 00000000102209,00004-00002-00003-102209,00011-20265,351198579-102209,1591635874-102209,684589522-0102209,1456607094-102209,1696871560-00102209,1910130270-102209,374789916-0000102209
Component 00000000100586,00001-00003-00005-100586,00004-00008-98340,854839476-100586,1188644235-100586,1522448994-0100586,938242935-100586,1416702787-00100586,1845082379-100586,1193772196-0000100586
Component 00000000108292,00002-00002-00002-108292,00004-00006-00009-67024,754392790-108292,2042809464-108292,1183742491-0108292,965575716-108292,965943287-00108292,321367379-108292,1312676489-0000108292
Component 00000000086143,00003-00001-00005-86143,00003-00002-00001-64598,550501309-086143,1346220507-086143,2141939705-0086143,488176766-086143,804548070-00086143,90317167-086143,960873836-0000086143
Component 00000000059592,00002-00001-59592,00003-00006-00005-62418,2136357769-059592,492017531-059592,995160940-0059592,1842751165-059592,1474517767-00059592,517437637-059592,1349480270-0000059592
Component 00000000016179,00004-00002-00007-16179,00002-00002-00003-26042,1890491540-016179,1730005930-016179,1569520320-0016179,549390396-016179,1351818446-00016179,629633201-016179,118757842-0000016179
Component 00000000048000,00001-00004-48000,00002-108472,913104425-048000,522606001-048000,132107577-0048000,1301283684-048000,1106292157-00048000,1496532896-048000,880036933-0000048000
Component 00000000114442,00002-00006-00003-114442,00001-00004-00012-115686,918179220-114442,842509508-114442,766839796-0114442,1543165482-114442,1921514042-00114442,1581000338-114442,1330069559-0000114442
Component 00000000079365,00006-79365,00003-00006-00004-121918,944142776-079365,920326888-079365,896511000-0079365,1936555855-079365,2055635295-00079365,1948463799-079365,435762026-0000079365
Component 00000000039662,00002-00012-39662,00004-00005-00012-122134,1892338375-039662,1235263956-039662,578189537-0039662,1162741935-039662,153146736-00039662,417537321-039662,2020551526-0000039662
Component 00000000009025,00002-00003-9025,00004-00006-00004-5529,1613231142-009025,441637200-009025,1417526905-0009025,625499777-009025,41018546-00009025,1211296748-009025,283829762-0000009025
Component 00000000103842,00002-00004-00011-103842,00005-00005-65980,1398210900-103842,1439927231-103842,1481643562-0103842,200227483-103842,2139129475-00103842,1253111141-103842,707166959-0000103842
Component 00000000077840,00009-77840,00002-00003-79212,417095294-077840,2015082925-077840,1465586909-0077840,1683825929-077840,136338715-00077840,1958573937-077840,1865057085-0000077840
Component 00000000089745,00005-00006-89745,00004-00005-00006-41879,1500523910-089745,1477242468-089745,1453961026-0089745,371373973-089745,487781183-00089745,383014694-089745,1236525814-0000089745
Component 00000000034089,00004-00006-00003-34089,00004-00007-89590,1519309121-034089,1098038785-034089,676768449-0034089,415050648-034089,373918681-00034089,625685816-034089,609997972-0000034089
Component 00000000082247,00002-00004-00009-82247,00004-00001-00006-79059,73238364-082247,707656204-082247,1342074044-0082247,777732546-082247,1900610640-00082247,460523626-082247,1269614862-0000082247
Component 00000000036122,00002-00002-00008-36122,00003-00005-00005-23028,1460083254-036122,1815693097-036122,23819293-0036122,453549640-036122,822984072-00036122,1349486542-036122,748786580-0000036122
Component 00000000071285,00004-00006-71285,00001-00006-00007-19221,1088853728-071285,2003048980-071285,769760585-0071285,330166863-071285,54157897-00071285,2020552884-071285,1400221481-0000071285
Component 00000000012257,00002-00011-12257,00002-00004-00006-96037,1317270480-012257,464436962-012257,1759087091-0012257,757034150-012257,726234446-00012257,1183450909-012257,842449181-0000012257
Component 00000000011685,00002-00011-11685,00001-00001-00009-80011,1052859342-011685,1609637325-011685,18931661-0011685,1213045930-011685,576639662-00011685,2008398762-011685,1842148673-0000011685
Component 00000000082594,00004-00001-00005-82594,00001-00001-00010-88761,445129245-082594,1842636680-082594,1092660468-0082594,578504962-082594,33418728-00082594,953493068-082594,1507813447-0000082594
Component 00000000097640,00004-00010-97640,00004-00005-00001-15874,1543409809-097640,859476375-097640,175542941-0097640,584892965-097640,1857076488-00097640,926859682-097640,175587393-0000097640
Component 00000000076887,00002-00006-00005-76887,00003-00005-52533,1919637203-076887,2112910154-076887,158699458-0076887,1629698915-076887,663334160-00076887,459320616-076887,2101993547-0000076887
Component 00000000014653,00003-00002-00002-14653,00002-00004-00005-23587,706482693-014653,1367198620-014653,2027914547-0014653,1612692271-014653,456596283-00014653,208592484-014653,285185515-0000014653
Component 00000000039941,00001-00006-00005-39941,00003-00004-00005-6388,1705174052-039941,1169564526-039941,633955000-0039941,1497915805-039941,2028479788-00039941,1765720568-039941,1148843726-0000039941
Component 00000000000872,00002-00004-00001-872,00003-00002-00012-24348,1175469469-000872,241154919-000872,1454324016-0000872,958370381-000872,1334975837-00000872,1425527656-000872,798706808-0000000872
Component 00000000027355,00006-00003-27355,00006-00003-24625,1972294258-027355,689548678-027355,1554286745-0027355,2036159391-027355,2007436350-00027355,530048534-027355,176323821-0000027355
Component 00000000093894,00004-00003-00008-93894,00008-34510,147752242-093894,968684854-093894,1789617466-0093894,1308278278-093894,1498582512-00093894,897811972-093894,22236086-0000093894
Component 00000000013124,00004-00006-00007-13124,00003-00008-120323,1693047604-013124,475147880-013124,1404731803-0013124,606969459-013124,254017138-00013124,1215919321-013124,1316458834-0000013124
Component 00000000103683,00003-00006-00008-103683,00003-00005-00012-61528,1803884298-103683,736985867-103683,1817571083-0103683,525176099-103683,1564700960-00103683,2132367138-103683,403101020-0000103683
Component 00000000011035,00003-00011-11035,00001-00005-00008-61836,2096987362-011035,812524916-011035,1675546117-0011035,2077584494-011035,2057445783-00011035,572332070-011035,971683907-0000011035
Component 00000000028281,00001-00001-00006-28281,00002-00004-00006-50537,902836662-028281,1627739537-028281,205158765-0028281,627145924-028281,1297598843-00028281,1338436310-028281,1530200988-0000028281
Component 00000000051479,00004-00001-00012-51479,00004-00003-00002-82344,745414385-051479,507995574-051479,270576763-0051479,1041762110-051479,81372518-00051479,86729692-051479,292505548-0000051479
Component 00000000085408,00003-00001-00011-85408,00004-00001-00002-44059,1456495946-085408,581021200-085408,1853030101-0085408,1945643705-085408,2028050141-00085408,235897431-085408,842874276-0000085408
Component 00000000007740,00005-00005-7740,00001-00002-93121,2051691056-007740,433362600-007740,962517791-0007740,872172232-007740,373879924-00007740,1681336460-007740,954270352-0000007740
Component 00000000030132,00002-00004-00011-30132,00012-47670,583113386-030132,1370631485-030132,10665937-0030132,1196777365-030132,1554154164-00030132,1876760139-030132,1348443952-0000030132
Component 00000000117263,00003-00006-00003-117263,00003-00002-00011-71108,847697853-117263,1467111103-117263,2086524353-0117263,824469420-117263,2022370464-00117263,514762795-117263,270947743-0000117263
Component 00000000004217,00002-00003-00005-4217,00005-00002-117990,292937784-004217,5298686-004217,1865143235-0004217,1374827060-004217,665538903-00004217,1518646609-004217,295142079-0000004217
Component 00000000117518,00003-00002-00011-117518,00001-00003-00005-78291,576730831-117518,318133453-117518,59536075-0117518,919659880-117518,65163123-00117518,1048958569-117518,1711194920-0000117518
Component 00000000070356,00001-00006-70356,00001-00006-00004-116731,896064333-070356,1203689217-070356,1511314101-0070356,783485678-070356,1392844905-00070356,629673236-070356,291544648-0000070356
Component 00000000098992,00002-00005-00010-98992,00001-00006-00002-53731,222767668-098992,923635612-098992,1624503556-0098992,2002608247-098992,645752174-00098992,1652174275-098992,1746765370-0000098992
Component 00000000002841,00001-00006-00007-2841,00003-00001-00002-79458,246120143-002841,1242444827-002841,91285864-0002841,1323227083-002841,636570957-00002841,825064741-002841,781972596-0000002841
Component 00000000121777,00002-00005-00006-121777,00004-00004-00011-73994,864219278-121777,1276593989-121777,1688968700-0121777,463298115-121777,548908207-00121777,1330852583-121777,1374978087-0000121777
Component 00000000079152,00002-00003-00008-79152,00003-00001-00012-109173,890048962-079152,897718629-079152,905388296-0079152,188285988-079152,149937653-00079152,1258192978-079152,98934040-0000079152
Component 00000000002950,00003-00012-2950,00002-00011-4067,217762389-002950,718890087-002950,1220017785-0002950,900135625-002950,541980782-00002950,649571776-002950,1187696018-0000002950
Component 00000000014457,00002-00002-00001-14457,00004-00007-34080,955788521-014457,1604345265-014457,105418362-0014457,198535900-014457,1250719474-00014457,2021741175-014457,80161456-0000014457
Component 00000000114679,00004-00005-00006-114679,00004-00001-00002-122319,119151018-114679,734894026-114679,1350637034-0114679,2065399495-114679,1134168102-00114679,1757527991-114679,443961608-0000114679
Component 00000000096245,00002-00006-96245,00001-00002-00010-100396,1728512009-096245,1819996654-096245,1911481299-0096245,796808174-096245,339384949-00096245,1824807675-096245,905131557-0000096245
Component 00000000010871,00001-00003-10871,00005-00004-57230,441480433-010871,1124652003-010871,1807823573-0010871,1363046873-010871,94672670-00010871,1021461088-010871,1086720028-0000010871
Component 00000000057734,00004-00005-00001-57734,00004-00009-10409,390779006-057734,981681300-057734,1572583594-0057734,1132252854-057734,325225031-00057734,836801707-057734,363134207-0000057734
Component 00000000083482,00002-00009-83482,00004-00003-00005-113599,2048020990-083482,1805205771-083482,1562390552-0083482,2082642927-083482,1149235375-00083482,1130308713-083482,2088971773-0000083482
Component 00000000085002,00002-00001-00008-85002,00002-00003-00007-32637,308523460-085002,2134060813-085002,1812114519-0085002,1873997377-085002,1336245200-00085002,2034970524-085002,982999565-0000085002
Component 00000000029761,00001-00004-00004-29761,00005-00010-91985,1708625198-029761,657018295-029761,1752895039-0029761,1171556107-029761,2134623328-00029761,623617735-029761,11796245-0000029761
Component 00000000013353,00003-00004-00002-13353,00003-00010-3195,2079226678-013353,702010107-013353,1472277183-0013353,782474218-013353,1226106132-00013353,397340680-013353,716310467-0000013353
Component 00000000017118,00003-00003-00010-17118,00004-00006-108595,662737614-017118,220304666-017118,1925355365-0017118,679576106-017118,744257199-00017118,900792580-017118,436055576-0000017118
Component 00000000013023,00003-00003-00010-13023,00002-00012-117467,1326059465-013023,141538304-013023,1104500790-0013023,785099802-013023,265254666-00013023,303618559-013023,577611737-0000013023
Component 00000000060502,00002-00001-60502,00002-00005-87932,1745357281-060502,1302383713-060502,859410145-0060502,1735975703-060502,1803359896-00060502,1957462487-060502,605501433-0000060502
Component 00000000012748,00003-00001-00008-12748,00003-00006-20520,636086093-012748,1338407595-012748,2040729097-0012748,338940588-012748,1122300372-00012748,2135263484-012748,1315485892-0000012748
Component 00000000014730,00002-00001-14730,00002-00002-00001-41757,102249705-014730,1253365047-014730,256996742-0014730,96768970-014730,783643201-00014730,1668694946-014730,1982092143-0000014730
Component 00000000041487,00002-00005-00004-41487,00003-00006-00005-49678,21610525-041487,1703534008-041487,1237973844-0041487,1064262688-041487,1244579861-00041487,1297042770-041487,1089413060-0000041487
Component 00000000010801,00001-00011-10801,00004-00003-00003-17384,1377792486-010801,1249927608-010801,1122062730-0010801,1618796844-010801,110637587-00010801,1682729283-010801,2046233804-0000010801
Component 00000000114744,00004-00006-114744,00001-00005-616,1018964335-114744,1179394808-114744,1339825281-0114744,1283649511-114744,481497146-00114744,129692451-114744,1893539531-0000114744
Component 00000000024859,00004-00002-00003-24859,00002-00005-00003-40017,2050780182-024859,1137879303-024859,224978424-0024859,1798502314-024859,2068039415-00024859,1181210930-024859,1835683476-0000024859
Component 00000000106530,00004-00008-106530,00003-00003-00003-17748,414601453-106530,853929380-106530,1293257307-0106530,1320911266-106530,1271755278-00106530,27505479-106530,1534100259-0000106530
Component 00000000101742,00002-00004-00004-101742,00001-00004-00010-7186,203462583-101742,1480830796-101742,610715362-0101742,952536974-101742,1008146850-00101742,1387594691-101742,709615645-0000101742
Component 00000000016659,00004-00006-00006-16659,00005-00011-95730,1530090843-016659,1387078095-016659,1244065347-0016659,1036423506-016659,1751487246-00016659,1107929880-016659,2072118551-0000016659
Component 00000000076220,00004-00001-76220,00004-00009-33835,1099115607-076220,547224778-076220,2142817596-0076220,1175955988-076220,1787926486-00076220,378159579-076220,614907787-0000076220
Component 00000000119860,00006-119860,00002-00006-00008-20327,1126767671-119860,1227325964-119860,1327884257-0119860,635135764-119860,132344299-00119860,1658598441-119860,779758792-0000119860
Component 00000000113574,00004-00006-00006-113574,00001-00007-91371,1795016693-113574,473017293-113574,1298501540-0113574,2102555203-113574,122617615-00113574,616071256-113574,1303021142-0000113574
Component 00000000056920,00003-00006-56920,00003-00006-00010-111173,594955598-056920,1830273279-056920,918107313-0056920,1452062834-056920,1717925370-00056920,1908145817-056920,412577724-0000056920
Component 00000000095366,00001-00005-00011-95366,00004-00006-00010-75774,1460695096-095366,1033349159-095366,606003222-0095366,1135511798-095366,1124757836-00095366,275442943-095366,610745641-0000095366
Component 00000000004538,00003-00002-00001-4538,00001-00004-00009-3441,1394167648-004538,1423224216-004538,1452280784-0004538,655927549-004538,510644709-00004538,641399265-004538,644027896-0000004538
Component 00000000117771,00001-00003-00004-117771,00004-00005-85384,1232247147-117771,2131942730-117771,884154666-0117771,844068159-117771,640557538-00117771,1467962191-117771,805490250-0000117771
Component 00000000053968,00003-00005-00005-53968,00004-00006-00002-28524,1534393409-053968,1680023735-053968,1825654061-0053968,7529632-053968,1426861649-00053968,2082198116-053968,1371048821-0000053968
Component 00000000036984,00004-00003-00012-36984,00004-00005-00004-47129,383760083-036984,994089432-036984,1604418781-0036984,993704275-036984,89541177-00036984,1762281424-036984,1591133344-0000036984
Component 00000000111529,00004-00005-00002-111529,00002-00001-34112,1199720929-111529,1632585916-111529,2065450903-0111529,1792578152-111529,1775736864-00111529,502403835-111529,1036997829-0000111529
Component 00000000065817,00002-00003-00011-65817,00001-00005-113170,1660644749-065817,198019018-065817,882876934-0065817,516515323-065817,1387193037-00065817,174086365-065817,2049532070-0000065817
Component 00000000038842,00002-00006-00011-38842,00004-00005-00001-99139,270715554-038842,1369781185-038842,321363169-0038842,962049306-038842,1909172092-00038842,1486258314-038842,493042460-0000038842
Component 00000000051151,00001-00002-00009-51151,00002-00006-00001-70552,615629738-051151,1237505176-051151,1859380614-0051151,711817423-051151,1897407527-00051151,400879704-051151,1736129140-0000051151
Component 00000000113938,00003-00006-00006-113938,00003-00007-101563,2020339943-113938,752054372-113938,1631252448-0113938,1711773689-113938,1610750603-00113938,1272174651-113938,1157513852-0000113938
Component 00000000054305,00006-00004-54305,00004-00002-00002-37949,968841407-054305,200572813-054305,1579787866-0054305,215036597-054305,1908895920-00054305,599170894-054305,1887078453-0000054305
Component 00000000031978,00003-00002-00011-31978,00004-00004-00004-30489,703788252-031978,1182424122-031978,1661059992-0031978,295307830-031978,49612127-00031978,55989895-031978,1609239793-0000031978
Component 00000000103869,00004-00003-00012-103869,00003-00003-00006-66748,1366981206-103869,1574116801-103869,1781252396-0103869,1749381152-103869,713703177-00103869,572071531-103869,1702141843-0000103869
Component 00000000018100,00005-00004-18100,00004-00001-00001-12559,910873712-018100,568007326-018100,225140940-0018100,1461723167-018100,1028571450-00018100,1633156360-018100,1959122560-0000018100
Component 00000000061885,00005-00005-61885,00003-00002-00009-3103,1561963832-061885,747551868-061885,2080623551-0061885,717689224-061885,494781750-00061885,1124895206-061885,893874476-0000061885
Component 00000000080840,00004-00006-80840,00003-00006-00005-39668,1251956817-080840,4771775-080840,905070380-0080840,893024396-080840,686498665-00080840,1516616917-080840,2048588167-0000080840
Component 00000000117356,00001-00001-00005-117356,00002-00007-73717,442158827-117356,1774624150-117356,959605826-0117356,1715959406-117356,1496083732-00117356,2123468568-117356,760928909-0000117356
Component 00000000041256,00001-00005-00007-41256,00003-00001-43200,510996256-041256,1916857250-041256,1175234597-0041256,2123261408-041256,1536407379-00041256,1420330911-041256,1079814519-0000041256
Component 00000000028749,00004-00006-28749,00002-00003-00012-63647,1132520152-028749,1164331834-028749,1196143516-0028749,527903082-028749,368844672-00028749,511997241-028749,485882732-0000028749
Component 00000000104023,00003-00003-00010-104023,00001-00003-00001-71046,1506622408-104023,318670040-104023,1278201319-0104023,1872991029-104023,1370301928-00104023,319483566-104023,1295458325-0000104023
Component 00000000059751,00001-00006-00003-59751,00001-00012-66871,1495008653-059751,723906221-059751,2100287436-0059751,603762700-059751,164307566-00059751,989313916-059751,2141733488-0000059751
Component 00000000064777,00002-00006-00011-64777,00004-00001-00006-84064,30324539-064777,1958950789-064777,1740093392-0064777,1226900843-064777,173704181-00064777,262587718-064777,27490173-0000064777
Component 00000000115129,00004-00001-115129,00002-00005-00008-11422,561914871-115129,540070121-115129,518225371-0115129,1649928143-115129,1759151893-00115129,1660850518-115129,969642354-0000115129
Component 00000000023638,00003-00006-00004-23638,00004-00001-00002-44059,922594977-023638,1947793314-023638,825508004-0023638,178848617-023638,1495307873-00023638,739991272-023638,671004617-0000023638
Component 00000000053844,00004-00011-53844,00002-00004-25055,2062344025-053844,659739399-053844,1404618420-0053844,608012721-053844,1178584910-00053844,1309315034-053844,794107403-0000053844
Component 00000000009484,00004-00006-00007-9484,00004-00003-18424,1751078914-009484,480864921-009484,1358134575-0009484,1348984193-009484,1257603217-00009484,910349366-009484,1153034620-0000009484
Component 00000000025781,00001-00002-25781,,1744105769-025781,927001811-025781,109897853-0025781,769269452-025781,559821948-00025781,1177821431-025781,574416080-0000025781
Component 00000000106220,00002-00010-106220,00004-00006-00007-9029,1110926985-106220,1144385305-106220,1177843625-0106220,586171858-106220,418880258-00106220,569442698-106220,145235072-0000106220
Component 00000000049201,00001-00005-00009-49201,00002-00006-18577,606395452-049201,2060370049-049201,1366860999-0049201,1330944879-049201,503522835-00049201,1677699404-049201,831782330-0000049201
Component 00000000005042,00002-00002-00011-5042,00003-17563,2089761660-005042,1773536859-005042,1457312058-0005042,711502517-005042,145142875-00005042,1943356741-005042,338293497-0000005042
Component 00000000010572,00002-00002-00003-10572,00003-00003-48818,1449813114-010572,164044940-010572,1025760413-0010572,1367082438-010572,1353472367-00010572,2009966525-010572,1135270674-0000010572
Component 00000000019872,00002-00006-00008-19872,00003-00004-00003-62143,1412187531-019872,539065357-019872,1813426830-0019872,2015435032-019872,2086078608-00019872,304512472-019872,207904449-0000019872
Component 00000000103321,00001-00001-00010-103321,00001-00002-00007-51396,1380229466-103321,2071344475-103321,614975837-0103321,1613310874-103321,305219476-00103321,194011546-103321,1757087708-0000103321
Component 00000000107822,00002-00001-107822,00004-00003-53914,1627299752-107822,1713321101-107822,1799342450-0107822,430626061-107822,519316-00107822,1461357210-107822,1865801240-0000107822
Component 00000000005324,00004-00004-00007-5324,00003-00001-25455,1220319553-005324,1687746491-005324,7689782-0005324,268205929-005324,78554886-00005324,34492460-005324,1746854341-0000005324
Component 00000000030270,00002-00006-30270,00005-00007-106230,184471691-030270,1963794622-030270,1595633906-0030270,1656029788-030270,1349349721-00030270,1840110146-030270,568716793-0000030270
Component 00000000071655,00003-00012-71655,00002-00004-00001-29537,687705338-071655,1841402845-071655,847616705-0071655,1881201429-071655,407681188-00071655,230610852-071655,40249371-0000071655
Component 00000000016135,00002-16135,00004-00004-81085,1319804948-016135,643889280-016135,2115457259-0016135,750149755-016135,1982244448-00016135,1088107589-016135,1341924927-0000016135
