Component 00000000046420,00003-00010-46420,00001-64260,1848325235-046420,1852590989-046420,1856856743-0046420,2055214304-046420,2033885534-00046420,2053081427-046420,1844294423-0000046420
Component 00000000093408,00003-00003-93408,00004-00005-20909,631417006-093408,395889629-093408,160362252-0093408,1019499280-093408,49652518-00093408,63521145-093408,1570364121-0000093408
Component 00000000014732,00002-00004-00003-14732,,1279152281-014732,1713531418-014732,426908-0014732,1945445779-014732,1921033741-00014732,654514387-014732,1332764616-0000014732
Component 00000000019088,00003-00006-00004-19088,00003-00012-30198,1065727383-019088,2054588511-019088,895965992-0019088,1780851857-019088,1131513511-00019088,1286421293-019088,1883190805-0000019088
Component 00000000000059,00004-00003-00007-59,00003-00002-00012-1598,366291565-000059,1784802998-000059,1055830784-0000059,1518361185-000059,868254961-00000059,1882847292-000059,860718443-0000000059
Component 00000000084458,00003-00003-00010-84458,00001-00002-00004-17411,1967736995-084458,935820795-084458,2051388242-0084458,1311925176-084458,29055235-00084458,1827883276-084458,1894774519-0000084458
Component 00000000066446,00001-00002-00003-66446,00001-00006-00001-7216,635781094-066446,1590485908-066446,397707075-0066446,1841807986-066446,1363251210-00066446,1364455579-066446,761757779-0000066446
Component 00000000059354,00004-00001-00009-59354,00001-00001-00012-55756,1316845469-059354,419918229-059354,1670474636-0059354,765547269-059354,955216175-00059354,1214010889-059354,532982955-0000059354
Component 00000000107408,00003-00002-107408,00002-00008-42310,1125078704-107408,1436053423-107408,1747028142-0107408,101225223-107408,693835275-00107408,1019479687-107408,1703733870-0000107408
Component 00000000069835,00003-00012-69835,00003-00004-00007-102148,644843878-069835,1324585058-069835,2004326238-0069835,1400036403-069835,148814150-00069835,1060165813-069835,979517490-0000069835
Component 00000000008020,00005-00012-8020,00004-100919,287733526-008020,617590814-008020,947448102-0008020,1253426465-008020,1751623672-00008020,1088497821-008020,563539562-0000008020
Component 00000000097668,00003-00004-00012-97668,00003-00004-00003-16643,1272574955-097668,92016266-097668,1058941224-0097668,923795184-097668,384137688-00097668,440332705-097668,1808044344-0000097668
Component 00000000058760,00002-58760,00003-00006-00009-39178,623420107-058760,1143233401-058760,1663046695-0058760,64561102-058760,1760461926-00058760,1952138102-058760,1740129702-0000058760
Component 00000000063449,00004-00001-00009-63449,00004-00005-00006-46884,672853503-063449,365102992-063449,57352481-0063449,1853081072-063449,1244349980-00063449,933214504-063449,667272335-0000063449
Component 00000000046342,00002-00002-00010-46342,00004-00005-62080,548095400-046342,29594023-046342,1658576293-0046342,96840556-046342,541863794-00046342,1429833068-046342,309478140-0000046342
Component 00000000080902,00002-00003-00003-80902,00001-00006-00007-111586,984600300-080902,993445184-080902,1002290068-0080902,1413577174-080902,1369352754-00080902,1409154732-080902,2077318805-0000080902
Component 00000000081836,00001-00006-00001-81836,00001-00003-00011-67546,564112950-081836,1998605812-081836,1285615027-0081836,1417540053-081836,687526684-00081836,700293622-081836,1245268393-0000081836
Component 00000000036362,00002-00004-00001-36362,00001-00004-00012-29691,600995740-036362,1093909367-036362,1586822994-0036362,1958728356-036362,1641643868-00036362,638529719-036362,1532887495-0000036362
Component 00000000118630,00001-00005-118630,00003-00006-00002-109423,798069484-118630,20726614-118630,1390867391-0118630,1751645935-118630,1343392991-00118630,2140317370-118630,1626169618-0000118630
Component 00000000115668,00003-00007-115668,00002-00002-00003-26497,1870640432-115668,796266469-115668,1869376153-0115668,229368931-115668,1306271452-00115668,1840297736-115668,1948101564-0000115668
Component 00000000101762,00002-00003-00011-101762,00005-00011-40220,635666438-101762,1765406410-101762,747662735-0101762,1740963905-101762,387231339-00101762,1176093919-101762,364998352-0000101762
Component 00000000007711,00001-00004-00002-7711,00001-00001-92261,1331431599-007711,702768844-007711,74106089-0007711,1979800863-007711,828147344-00007711,1220390417-007711,904096803-0000007711
Component 00000000008811,00001-00005-00010-8811,00001-00005-00002-123086,239351053-008811,878969591-008811,1518588129-0008811,1196079088-008811,145470045-00008811,876269819-008811,522390423-0000008811
Component 00000000083266,00001-00001-00001-83266,00002-00005-00005-114847,1509094948-083266,469125884-083266,1576640467-0083266,462719225-083266,1367597251-00083266,982703757-083266,1381645450-0000083266
Component 00000000000679,00004-00003-679,00002-1092,688240705-000679,570142313-000679,452043921-0000679,1402919634-000679,1993411594-00000679,1461968830-000679,1039536062-0000000679
Component 00000000041540,00002-00005-41540,00001-00002-00009-51151,638030545-041540,376697060-041540,115363575-0041540,1922000228-041540,1081184006-00041540,978925147-041540,1581810475-0000041540
Component 00000000008338,00003-00001-00005-8338,00003-00002-00003-109853,1282123038-008338,540679685-008338,1946719979-0008338,755600593-008338,167850064-00008338,52580446-008338,866391366-0000008338
Component 00000000098726,00001-00005-00004-98726,00003-46270,464118265-098726,1472655118-098726,333708324-0098726,1059773578-098726,312056607-00098726,1629246975-098726,1673931754-0000098726
Component 00000000050285,00004-00001-50285,00003-00008-48940,840888128-050285,1427059627-050285,2013231126-0050285,279176595-050285,1643286394-00050285,1059832669-050285,231607019-0000050285
Component 00000000023124,00004-00003-00010-23124,00002-00003-00003-37222,1625196384-023124,230395635-023124,983078533-0023124,1623094938-023124,7164095-00023124,1246753489-023124,1028471304-0000023124
Component 00000000052332,00002-00007-52332,00005-00007-106230,1511930349-052332,1219192207-052332,926454065-0052332,199032344-052332,1662723054-00052332,345401415-052332,1425772059-0000052332
Component 00000000024964,00004-00002-00004-24964,00002-00005-00005-81177,264248079-024964,1245634298-024964,79536870-0024964,1690581290-024964,1078617489-00024964,126146357-024964,402044754-0000024964
Component 00000000120897,00002-00010-120897,00001-00002-00001-49401,1975147311-120897,1328945311-120897,682743311-0120897,699121369-120897,1782647722-00120897,1022222369-120897,500256824-0000120897
Component 00000000003605,00004-3605,00003-00002-00004-100858,626781278-003605,1822054648-003605,869844371-0003605,615481254-003605,1081565345-00003605,17844569-003605,463946781-0000003605
Component 00000000073651,00001-00004-00006-73651,00001-00006-00001-85476,1999340455-073651,94318667-073651,336780526-0073651,1947580558-073651,735271263-00073651,752607805-073651,923619048-0000073651
Component 00000000122988,00003-00005-00008-122988,00003-00004-00001-107888,416651027-122988,1899635887-122988,1235137100-0122988,1474456386-122988,501983027-00122988,732963956-122988,1318415424-0000122988
Component 00000000064619,00004-00002-00009-64619,00003-00006-00009-79673,781609454-064619,528192416-064619,274775378-0064619,1375784993-064619,495386536-00064619,1502493512-064619,412788845-0000064619
Component 00000000043238,00003-00006-43238,00002-00001-69602,1496503781-043238,877491931-043238,258480081-0043238,1539200114-043238,339292070-00043238,1848706039-043238,125444667-0000043238
Component 00000000005350,00002-00007-5350,00004-00003-26159,1047521255-005350,54498719-005350,1208959830-0005350,130568493-005350,800713879-00005350,627079761-005350,1338262028-0000005350
Component 00000000030613,00003-00002-00011-30613,00003-00004-115808,1495007624-030613,1084313687-030613,673619750-0030613,1977446326-030613,1883432364-00030613,1109051471-030613,338577721-0000030613
Component 00000000050540,00009-50540,00003-00007-56063,1871354564-050540,1161983695-050540,452612826-0050540,752863946-050540,4750997-00050540,33807557-050540,1217892997-0000050540
Component 00000000082769,00004-00001-00011-82769,00003-00006-00008-93673,1752018920-082769,358277225-082769,1112019177-0082769,1801281593-082769,180055480-00082769,1424410617-082769,629847970-0000082769
Component 00000000044524,00004-00004-00012-44524,00002-00003-00006-11147,1620441741-044524,1112129675-044524,603817609-0044524,589626657-044524,983703340-00044524,843782690-044524,1543446158-0000044524
Component 00000000052134,00004-00005-00004-52134,00002-00003-00004-71907,1820466384-052134,2028530853-052134,89111675-0052134,100433072-052134,1207594374-00052134,1070142661-052134,62185208-0000052134
Component 00000000044154,00004-00005-00006-44154,00002-00007-800,1918246285-044154,1267241632-044154,616236979-0044154,1483033496-044154,443089467-00044154,734793999-044154,319895324-0000044154
Component 00000000025959,00004-00003-00011-25959,00004-00002-109085,1627265235-025959,843915623-025959,60566011-0025959,142031052-025959,1911295465-00025959,533705858-025959,1120904003-0000025959
Component 00000000042338,00003-00002-00010-42338,00002-00002-73502,272712723-042338,1032522059-042338,1792331395-0042338,616243520-042338,1112164134-00042338,236338852-042338,2082832261-0000042338
Component 00000000048110,00006-00010-48110,00002-00006-00006-111572,181622497-048110,1964807120-048110,1600508096-0048110,1840472656-048110,1514484129-00048110,2022622168-048110,296413656-0000048110
Component 00000000066007,00002-00004-00006-66007,00001-00001-00003-118511,794312158-066007,1976220737-066007,1010645669-0066007,1208561594-066007,1741469640-00066007,1691349128-066007,608216253-0000066007
Component 00000000082407,00002-00003-82407,00001-00003-00003-83541,1714969240-082407,2010304867-082407,158156847-0082407,2080103444-082407,603425309-00082407,858693807-082407,999436900-0000082407
Component 00000000027610,00002-00011-27610,1436259974,2067270405-027610,56128997-027610,192471236-0027610,1163676232-027610,481965037-00027610,21763289-027610,1245720708-0000027610
Component 00000000094841,00001-00005-00006-94841,00002-00004-00002-61037,1862246041-094841,210916550-094841,707070706-0094841,155918843-094841,1970115357-00094841,2055325412-094841,2011678478-0000094841
Component 00000000111484,00004-00002-00009-111484,00003-00004-00006-32883,1174926750-111484,489318656-111484,1951194209-0111484,135188896-111484,1415745719-00111484,477992943-111484,1336285102-0000111484
Component 00000000022307,00002-00005-00012-22307,00002-00006-00005-6817,715877468-022307,1850861679-022307,838362243-0022307,1001778703-022307,1769308589-00022307,1508028421-022307,981608132-0000022307
Component 00000000006057,00002-00002-00012-6057,00004-00005-00012-9749,285825237-006057,1757812517-006057,1082316150-0006057,810247966-006057,2040246154-00006057,74254326-006057,656110839-0000006057
Component 00000000027094,00004-00004-00002-27094,00003-00005-00011-17288,1999048587-027094,1661707983-027094,1324367379-0027094,670414822-027094,209634195-00027094,839085124-027094,1136030548-0000027094
Component 00000000057125,00005-00003-57125,00003-00010-116945,684565583-057125,63589377-057125,1590096818-0057125,631990650-057125,1589388033-00057125,942478753-057125,183183335-0000057125
Component 00000000058075,00003-00004-58075,00004-00002-00004-19959,1047730576-058075,1578320398-058075,2108910220-0058075,1011533179-058075,506067716-00058075,746238268-058075,1769913968-0000058075
Component 00000000081287,00002-00003-00011-81287,00004-00008-52164,2104831099-081287,1310525025-081287,516218951-0081287,88208509-081287,1912255232-00081287,485361546-081287,378775412-0000081287
Component 00000000106289,00004-00001-00001-106289,00003-00003-00008-10993,1939092228-106289,1861218615-106289,1783345002-0106289,1383447468-106289,1772815533-00106289,348642451-106289,1115076597-0000106289
Component 00000000042517,00002-00006-00007-42517,00003-00005-00005-78538,1518897081-042517,1877206092-042517,88031456-0042517,643273115-042517,999211707-00042517,1537860433-042517,1978489341-0000042517
Component 00000000078530,00004-00010-78530,00004-00006-00010-98524,539152745-078530,1091502021-078530,1643851297-0078530,1558288867-078530,944026134-00078530,1282114229-078530,295782510-0000078530
Component 00000000120596,00001-00008-120596,00003-00006-00004-40928,928976269-120596,2103575496-120596,1130691076-0120596,988722133-120596,1558176939-00120596,1475164343-120596,1659545090-0000120596
Component 00000000062770,00001-00006-62770,00004-00003-00003-27849,1996773203-062770,2097804801-062770,51352752-0062770,454354765-062770,2096680422-00062770,403838966-062770,435656068-0000062770
Component 00000000110119,00004-00002-00009-110119,00003-00006-00003-118173,1975618291-110119,74798288-110119,321461932-0110119,1053903143-110119,1968068570-00110119,930571321-110119,1969999091-0000110119
Component 00000000070180,00005-00006-70180,00003-00005-111818,1636084349-070180,335281205-070180,1181961708-0070180,824157628-070180,885722407-00070180,1474559200-070180,177548016-0000070180
Component 00000000111374,00004-00004-00003-111374,00003-00003-55695,548915937-111374,203289836-111374,2005147382-0111374,2039661038-111374,1620307896-00111374,1138732265-111374,278045448-0000111374
Component 00000000101236,00001-00002-00005-101236,00001-00003-00001-116546,1741259466-101236,647192783-101236,1700609747-0101236,1292374692-101236,320257166-00101236,765666210-101236,1042106815-0000101236
Component 00000000069916,00001-00002-69916,00004-00003-104419,1332234007-069916,1115685579-069916,899137151-0069916,1567053484-069916,502311977-00069916,1675327698-069916,1372030647-0000069916
Component 00000000050920,00002-00012-50920,00002-00001-66717,1736529430-050920,421342433-050920,1253639083-0050920,1300727662-050920,1434211706-00050920,884579337-050920,1830863530-0000050920
Component 00000000123083,00003-00002-00012-123083,00004-00001-00007-110559,226111461-123083,1816566942-123083,1259538776-0123083,1127532821-123083,1765190004-00123083,1406046904-123083,611597454-0000123083
Component 00000000109469,00004-00003-00009-109469,00002-00001-00003-52627,497528342-109469,1033339972-109469,1569151602-0109469,714588633-109469,183014130-00109469,446682818-109469,638998217-0000109469
Component 00000000111938,00003-00001-00008-111938,00004-00003-00003-45594,1559459572-111938,605971171-111938,1799966417-0111938,1486170534-111938,1958645245-00111938,889172911-111938,631979663-0000111938
Component 00000000066466,00001-00001-00010-66466,00003-00006-00009-105153,108558511-066466,1424762219-066466,593482280-0066466,1667412586-066466,1528844987-00066466,1009310732-066466,2055433022-0000066466
Component 00000000056347,00002-00004-00005-56347,00001-00008-95116,253163268-056347,1062396680-056347,1871630092-0056347,846278104-056347,1095078338-00056347,441661398-056347,750389509-0000056347
Component 00000000109792,00002-00004-00007-109792,00001-00006-00007-27866,762255490-109792,1872230213-109792,834721289-0109792,1982680204-109792,727773883-00109792,353951019-109792,2073338699-0000109792
Component 00000000047557,00002-00006-00003-47557,00004-00002-00010-76554,851954707-047557,1515338790-047557,31239226-0047557,1887569851-047557,718133083-00047557,482135986-047557,2058566101-0000047557
Component 00000000091459,00004-00004-00004-91459,00001-00002-00001-89896,1790461820-091459,990935282-091459,191408744-0091459,1668130373-091459,1370795769-00091459,2067893642-091459,1418882329-0000091459
Component 00000000111387,00002-00003-00003-111387,00001-00004-00008-30181,2053865000-111387,289542042-111387,672702731-0111387,236063770-111387,467743972-00111387,1118225249-111387,2141222196-0000111387
Component 00000000042741,00001-00006-00010-42741,00004-00006-00009-84769,947135990-042741,315383778-042741,1831115213-0042741,371924766-042741,1383202179-00042741,687800872-042741,690215756-0000042741
Component 00000000067929,00004-00001-00004-67929,00003-00005-00012-48788,1360378924-067929,1443385032-067929,1526391140-0067929,1091207868-067929,676177328-00067929,1049704814-067929,1892112698-0000067929
Component 00000000021924,00004-00006-21924,00001-00003-119616,889331808-021924,1488541202-021924,2087750596-0021924,2033700006-021924,1185136683-00021924,1734095309-021924,1772786898-0000021924
Component 00000000012736,00001-00003-00009-12736,00003-00001-00006-109453,1085634240-012736,1324744936-012736,1563855632-0012736,1945084761-012736,749531281-00012736,1825529413-012736,286366255-0000012736
Component 00000000066504,00004-00004-00009-66504,00006-00009-8875,1996572459-066504,803934658-066504,1758780504-0066504,1061955756-066504,582693820-00066504,584532833-066504,217019852-0000066504
Component 00000000050834,00004-00004-50834,00003-00005-00008-64293,1866694770-050834,849908853-050834,1980606583-0050834,870959853-050834,1659922144-00050834,305610988-050834,504795550-0000050834
Component 00000000071521,00001-00002-00008-71521,00003-00005-00001-25793,1472407672-071521,753568523-071521,34729374-0071521,2042189121-071521,1341417572-00071521,1327866872-071521,2121951772-0000071521
Component 00000000029212,00002-00001-00001-29212,00003-00002-00007-76603,1292900806-029212,77985578-029212,1010553997-0029212,351570717-029212,2131179563-00029212,959028331-029212,768847077-0000029212
Component 00000000086321,00001-00004-00001-86321,00002-00006-00009-69572,1913652634-086321,1700121462-086321,1486590290-0086321,147325380-086321,1214981240-00086321,254090966-086321,533790425-0000086321
Component 00000000069227,00002-00004-00002-69227,00003-00004-00001-85138,966546079-069227,793484303-069227,620422527-0069227,1162984531-069227,2028293411-00069227,1249515419-069227,1979767639-0000069227
Component 00000000013532,00002-00001-00012-13532,00003-00010-8200,1791040433-013532,1231223986-013532,671407539-0013532,1483488341-013532,2135086929-00013532,689654741-013532,1294168641-0000013532
Component 00000000060035,00003-00001-60035,00004-00003-74854,5994852-060035,1395153972-060035,636829445-0060035,808219115-060035,304874456-00060035,113639555-060035,1264505884-0000060035
Component 00000000034931,00001-00001-34931,00003-00009-113200,513259590-034931,495728521-034931,478197452-0034931,736744567-034931,824399912-00034931,1819251925-034931,414663814-0000034931
Component 00000000048233,00003-00003-00003-48233,00001-00003-00004-115041,2045814420-048233,325423250-048233,752515727-0048233,211221261-048233,223242523-00048233,1071416846-048233,836946183-0000048233
Component 00000000004853,00003-00002-00004-4853,00003-00001-00011-6693,1381419712-004853,344637092-004853,1455338119-0004853,489586523-004853,1378532329-00004853,1007977833-004853,390919492-0000004853
Component 00000000059838,00003-00002-00012-59838,00004-00004-00007-96324,650069279-059838,1408725292-059838,19897658-0059838,2011405734-059838,365609316-00059838,558335904-059838,823469652-0000059838
Component 00000000024742,00002-00004-00003-24742,00002-00002-00010-75007,2144170806-024742,189850807-024742,383014455-0024742,775189499-024742,1956854906-00024742,678607675-024742,1853395608-0000024742
Component 00000000107731,00001-00001-107731,00001-00003-51366,1677267090-107731,1423158332-107731,1169049574-0107731,90410562-107731,1360954352-00107731,217464941-107731,1393850555-0000107731
Component 00000000114004,00004-00002-00007-114004,00001-00003-103405,349920648-114004,1937652615-114004,1377900935-0114004,1119251579-114004,1770526332-00114004,1399127419-114004,647623571-0000114004
Component 00000000012241,00001-00005-00008-12241,00002-00006-00001-95577,1276297509-012241,349971378-012241,1571128894-0012241,372894919-012241,709558280-00012241,1909799808-012241,9283477-0000012241
Component 00000000100734,00004-00004-00010-100734,00010-102515,587313268-100734,1122209094-100734,1657104920-0100734,759957065-100734,232961582-00100734,492509152-100734,1862358921-0000100734
Component 00000000027538,00003-00004-27538,00002-00002-00008-29752,470677839-027538,782987471-027538,1095297103-0027538,585309462-027538,1171244949-00027538,429154646-027538,1380518837-0000027538
Component 00000000021309,00004-00001-00002-21309,00001-00005-00011-29391,1225173031-021309,956092584-021309,687012137-0021309,2133415057-021309,1331333645-00021309,1194213457-021309,1472066410-0000021309
Component 00000000057356,00001-00005-57356,00002-00001-00005-123362,198406074-057356,1986518261-057356,1627146801-0057356,2096243087-057356,1745616740-00057356,128445170-057356,2034244867-0000057356
Component 00000000009627,00002-00002-00007-9627,00004-00005-00011-22384,1739008555-009627,1527786396-009627,1316564237-0009627,1158410255-009627,67037403-00009627,190279511-009627,101151529-0000009627
Component 00000000093673,00003-00006-00008-93673,00004-00006-00005-5634,1326007485-093673,526330148-093673,1874136458-0093673,122620463-093673,1973523501-00093673,1596200955-093673,2092742046-0000093673
Component 00000000059252,00002-00004-00011-59252,00002-00003-00005-52902,326032616-059252,2039212180-059252,1604908097-0059252,1810862884-059252,1834899652-00059252,954273102-059252,1404972178-0000059252
Component 00000000071519,00004-00006-71519,00005-00003-25730,554078923-071519,681466969-071519,808855015-0071519,289948213-071519,1800491630-00071519,226254190-071519,1624124866-0000071519
Component 00000000015676,00001-00003-00011-15676,00001-00006-00010-68221,850150194-015676,87108548-015676,1471550549-0015676,349852362-015676,2017576945-00015676,731373185-015676,1404978955-0000015676
Component 00000000066932,00002-00005-00008-66932,00003-00002-00005-92318,1085585411-066932,1569011335-066932,2052437259-0066932,909422608-066932,639776635-00066932,667709646-066932,1174074730-0000066932
Component 00000000113894,00004-00004-00001-113894,00002-00001-00007-100367,1936637406-113894,2006852684-113894,2077067962-0113894,1047111095-113894,696034705-00113894,1012003456-113894,507978227-0000113894
Component 00000000122980,00004-122980,00003-00004-00003-107643,1868991232-122980,418287135-122980,1115066685-0122980,1303061055-122980,2114130599-00122980,954671280-122980,49272756-0000122980
Component 00000000066124,00004-00002-00006-66124,00002-00004-121797,957068915-066124,839670470-066124,722272025-0066124,631953450-066124,1218945675-00066124,1764394496-066124,1774661008-0000066124
Component 00000000038826,00001-00004-00008-38826,1436259974,1889581149-038826,883602145-038826,2025106788-0038826,344239689-038826,1079167415-00038826,847229191-038826,1275699507-0000038826
Component 00000000081176,00001-00004-00004-81176,00004-00007-49095,1982039511-081176,725243371-081176,1615930878-0081176,1156968837-081176,998498596-00081176,1785366907-081176,1498076561-0000081176
Component 00000000031335,00003-00005-31335,00003-00005-00009-12528,798596918-031335,1733594439-031335,521108313-0031335,2122561923-031335,1742541612-00031335,581321339-031335,688318884-0000031335
Component 00000000075806,00001-00003-00003-75806,00001-00006-00001-22231,319769271-075806,480943003-075806,642116735-0075806,1694244332-075806,888375672-00075806,1613657466-075806,135998315-0000075806
Component 00000000039885,00006-00001-39885,00002-00004-00008-4792,918134330-039885,541072036-039885,164009742-0039885,1957965894-039885,1695793717-00039885,2146497041-039885,2092719226-0000039885
Component 00000000030125,00004-00004-30125,00003-00004-00007-102148,1221408366-030125,1029522889-030125,837637412-0030125,1578639143-030125,390582881-00030125,600840058-030125,1321222133-0000030125
Component 00000000038793,00003-00006-00001-38793,00002-00002-00010-97757,1651800262-038793,15974422-038793,527632229-0038793,1771141961-038793,1360336573-00038793,441571234-038793,526227308-0000038793
Component 00000000031533,00003-00005-00008-31533,00002-00001-00007-43492,799486170-031533,1690844042-031533,434718267-0031533,1080670022-031533,918847956-00031533,634991086-031533,1132176758-0000031533
Component 00000000079851,00001-00002-00005-79851,00001-00006-00003-11976,731843299-079851,756295137-079851,780746975-0079851,1917757442-079851,1795498252-00079851,1905531523-079851,1019703285-0000079851
Component 00000000065675,00001-00012-65675,00003-00001-00008-109208,195729762-065675,1205675935-065675,68138461-0065675,859737095-065675,104973524-00065675,1428505832-065675,1677105709-0000065675
Component 00000000059412,00002-00003-00002-59412,00001-00007-57415,1958982036-059412,856402912-059412,1901307435-0059412,23502050-059412,1241430376-00059412,574791612-059412,965990664-0000059412
Component 00000000017821,00001-00006-00011-17821,00005-00011-4730,3055189-017821,1101948003-017821,53357170-0017821,1759749140-017821,560252364-00017821,1210302733-017821,987671183-0000017821
Component 00000000072304,00004-00001-00011-72304,00003-00003-00007-47743,1793237060-072304,869873027-072304,2093992641-0072304,1033496223-072304,1355349094-00072304,421436416-072304,646789170-0000072304
Component 00000000034642,00002-00006-00010-34642,00004-00002-00007-55764,444314979-034642,1985969500-034642,1380140374-0034642,1126373426-034642,2008035409-00034642,1429287989-034642,1464817730-0000034642
Component 00000000038086,00001-00006-00009-38086,00005-00011-77985,647614232-038086,176962057-038086,1853793529-0038086,369562038-038086,575339266-00038086,1678629949-038086,868196018-0000038086
Component 00000000105974,00004-00001-00011-105974,00001-00005-2150,957002697-105974,79201620-105974,1348884190-0105974,259581579-105974,353619670-00105974,1772223941-105974,1301430695-0000105974
Component 00000000064602,00002-00006-00005-64602,1436259974,1913637576-064602,1857732415-064602,1801827254-0064602,275979091-064602,555504896-00064602,1377673495-064602,2096344101-0000064602
Component 00000000027168,00003-00001-00011-27168,00001-00009-19405,79781524-027168,2092348097-027168,1957431023-0027168,2126238023-027168,653339746-00027168,46212913-027168,2093456245-0000027168
Component 00000000039929,00004-00001-00006-39929,00002-00005-6050,1404812950-039929,1488638049-039929,1572463148-0039929,101621134-039929,1829979286-00039929,1133450408-039929,13929945-0000039929
Component 00000000060994,00004-00003-00011-60994,00001-00004-101686,1387169094-060994,283512155-060994,1327338863-0060994,473156904-060994,1696474305-00060994,2098727197-060994,985452954-0000060994
Component 00000000031897,00002-00005-00008-31897,00003-00003-00012-28248,886659182-031897,490890905-031897,95122628-0031897,2092992394-031897,1924350132-00031897,1217134709-031897,497724912-0000031897
Component 00000000070083,00003-00006-70083,00001-00007-109116,1997956840-070083,1857066306-070083,1716175772-0070083,1607216882-070083,164185905-00070083,1677662149-070083,1254912116-0000070083
Component 00000000123228,00003-00001-123228,00002-00003-00008-114642,349276434-123228,84360801-123228,1966928815-0123228,1459511939-123228,636606457-00123228,518227932-123228,327178538-0000123228
Component 00000000120211,00001-120211,00001-00002-00004-30151,1539596547-120211,1889346713-120211,91613232-0120211,1322610422-120211,1721343239-00120211,1147735339-120211,1123920900-0000120211
Component 00000000022735,00006-00011-22735,00001-00003-00006-18791,27631828-022735,582105119-022735,1136578410-0022735,76040854-022735,1598641693-00022735,872546032-022735,1860896967-0000022735
Component 00000000082687,00002-00003-00007-82687,00001-00007-91371,1714277459-082687,1354684593-082687,995091727-0082687,1453892634-082687,1104373317-00082687,1633689067-082687,454976675-0000082687
Component 00000000116264,00004-00001-00005-116264,00004-00009-43169,953483725-116264,1251862307-116264,1550240889-0116264,392459423-116264,1048050160-00116264,243270132-116264,838973585-0000116264
Component 00000000096080,00005-00010-96080,00001-00001-00003-95761,2147153940-096080,2113751163-096080,2080348386-0096080,1600861079-096080,1767874964-00096080,543820644-096080,552757646-0000096080
Component 00000000033616,00001-00002-00011-33616,00003-00004-76388,532331456-033616,94927041-033616,1805006273-0033616,1866795622-033616,1906334050-00033616,1011756006-033616,970969498-0000033616
Component 00000000109985,00001-00005-109985,00003-00006-00002-114428,1504108333-109985,1546175607-109985,1588242881-0109985,1396887475-109985,1186551105-00109985,1375853838-109985,547405085-0000109985
Component 00000000095819,00004-00003-00009-95819,00004-00002-00002-88454,1843634528-095819,1433740965-095819,1023847402-0095819,217407722-095819,119391890-00095819,1496096327-095819,1751066600-0000095819
Component 00000000110740,00006-110740,00003-00004-12068,1655786011-110740,2126524089-110740,449778520-0110740,864262677-110740,658055934-00110740,628893638-110740,1896695554-0000110740
Component 00000000033280,00002-33280,00003-00001-66963,1698102248-033280,1565859632-033280,1433617016-0033280,1726786313-033280,240515746-00033280,1792907621-033280,253284196-0000033280
Component 00000000047445,00006-00008-47445,00003-00001-00005-92968,1402636719-047445,1616500055-047445,1830363391-0047445,1037590280-047445,2115757247-00047445,930658612-047445,70104162-0000047445
Component 00000000069903,00003-00001-00002-69903,00001-00003-00012-104051,105607213-069903,2039559681-069903,1826028502-0069903,1560505090-069903,480677338-00069903,593528856-069903,969861933-0000069903
Component 00000000031211,00001-00005-00011-31211,00001-00002-00009-50241,1082498943-031211,907080050-031211,731661157-0031211,90875397-031211,967969862-00031211,1252326667-031211,697698654-0000031211
Component 00000000023838,00003-00003-00009-23838,00003-00006-00005-49678,183120259-023838,278128169-023838,373136079-0023838,496036600-023838,20997050-00023838,448532645-023838,521812362-0000023838
Component 00000000108259,00004-00004-00008-108259,00002-00001-00010-66102,895223611-108259,1390487453-108259,1885751295-0108259,1293199831-108259,964364268-00108259,1045567910-108259,1868789152-0000108259
Component 00000000029543,00003-00003-00007-29543,00006-00010-85875,1381820415-029543,794308842-029543,206797269-0029543,1878538359-029543,521128930-00029543,1098552322-029543,1732510306-0000029543
Component 00000000043493,00003-00002-00008-43493,00003-00005-00012-68808,600272807-043493,1756348293-043493,764940132-0043493,835359056-043493,1497432567-00043493,257321313-043493,1425640896-0000043493
Component 00000000104862,00002-00002-00004-104862,00003-00005-00010-94533,43592140-104862,337256933-104862,630921726-0104862,327690895-104862,1006850577-00104862,1254600322-104862,193423862-0000104862
Component 00000000070197,00002-00001-00010-70197,00002-00003-112310,1807552220-070197,1984006156-070197,12976445-0070197,1775633528-070197,893363848-00070197,1687406560-070197,1193253503-0000070197
Component 00000000048220,00004-00003-48220,00002-00003-00008-114642,1583897470-048220,1604423103-048220,1624948736-0048220,1505648847-048220,1403020682-00048220,421644207-048220,294496048-0000048220
Component 00000000049244,00004-00006-49244,00004-00001-00005-19804,1099698778-049244,1038129355-049244,976559932-0049244,1334807233-049244,1642654348-00049244,291850121-049244,547805630-0000049244
Component 00000000037508,00003-00002-00003-37508,00002-00003-61805,1441433884-037508,2074673288-037508,560429045-0037508,2088773920-037508,1070060547-00037508,1772154218-037508,1321458846-0000037508
Component 00000000044621,00001-00003-00005-44621,00004-00005-00008-13879,1530374980-044621,583202269-044621,1783513205-0044621,1763396907-044621,56809521-00044621,1163241439-044621,1274997289-0000044621
Component 00000000106446,00001-00004-00002-106446,00003-00002-15353,285613920-106446,490501093-106446,695388266-0106446,558965399-106446,1682013181-00106446,1530263636-106446,726373954-0000106446
Component 00000000021529,00004-00004-00001-21529,00003-108563,601620982-021529,328826947-021529,56032912-0021529,1329753990-021529,546240518-00021529,392409184-021529,676245823-0000021529
