Component 00000000092151,00001-00003-00007-92151,00005-109270,515055907-092151,1245366982-092151,1975678057-0092151,501662869-092151,1145074788-00092151,1210249155-092151,1685218635-0000092151
Component 00000000077335,00006-00011-77335,00002-00008-65060,1249542636-077335,1812743710-077335,228461137-0077335,647507314-077335,2126469238-00077335,365906777-077335,1830204889-0000077335
Component 00000000010180,00002-00001-10180,00003-00002-00002-37858,1130323763-010180,1051151405-010180,971979047-0010180,1585431694-010180,1981293484-00010180,1625017873-010180,1968798846-0000010180
Component 00000000102929,00004-00001-00008-102929,00001-00004-00006-40436,1304954113-102929,84215655-102929,1010960844-0102929,81197369-102929,1889922365-00102929,691566598-102929,139021566-0000102929
Component 00000000097961,00001-00003-00006-97961,00004-00010-24840,1966002647-097961,1312024609-097961,658046571-0097961,312838862-097961,1435245405-00097961,639827881-097961,2056094564-0000097961
Component 00000000121940,121940,00003-00009-78568,1784978697-121940,1357692784-121940,930406871-0121940,1462706563-121940,1451652481-00121940,602607696-121940,19995076-0000121940
Component 00000000119444,00004-00003-119444,00001-00002-00003-8661,1401112437-119444,45684670-119444,837740550-0119444,1161116971-119444,1495804865-00119444,765089031-119444,697855345-0000119444
Component 00000000007966,00001-00010-7966,00001-00004-00009-99446,1613557985-007966,1183553448-007966,753548911-0007966,1159432587-007966,1161971625-00007966,300693032-007966,1588584900-0000007966
Component 00000000094489,00004-00003-00005-94489,00001-00002-00009-51151,1575375517-094489,658470018-094489,1889048166-0094489,1128873579-094489,1418433780-00094489,513584505-094489,871439168-0000094489
Component 00000000025126,00001-00003-00010-25126,00002-00002-00004-85752,195020745-025126,1050636271-025126,1906251797-0025126,890184463-025126,907074127-00025126,462376700-025126,1022945863-0000025126
Component 00000000041126,00001-00001-00007-41126,00001-00003-39546,327613395-041126,945472018-041126,1563330641-0041126,1302727376-041126,360917908-00041126,2067539888-041126,577397174-0000041126
Component 00000000024314,00004-00003-00004-24314,00003-00003-00005-63003,973720487-024314,1117943370-024314,1262166253-0024314,452337548-024314,1878706780-00024314,1453967930-024314,1624226387-0000024314
Component 00000000014525,00004-14525,00004-00004-35984,143870078-014525,1524189530-014525,757025335-0014525,517370443-014525,58224124-00014525,1974694364-014525,398156624-0000014525
Component 00000000009016,00001-00007-9016,00003-00009-5313,1803334020-009016,73468682-009016,491086991-0009016,1656727360-009016,1716119462-00009016,374176382-009016,348354268-0000009016
Component 00000000087112,00002-00004-00012-87112,00004-00004-00011-91739,1894029443-087112,33223482-087112,319901168-0087112,765511685-087112,1479606902-00087112,622172842-087112,1886021958-0000087112
Component 00000000015241,00001-00002-00005-15241,00003-00005-00003-56033,718083419-015241,21491796-015241,1472383820-0015241,219386232-015241,1554860700-00015241,1641423867-015241,2105151748-0000015241
Component 00000000031205,00006-00005-31205,00006-00009-8875,1540048815-031205,1719459925-031205,1898871035-0031205,1651553062-031205,754497512-00031205,1561847507-031205,915017802-0000031205
Component 00000000046094,00004-00006-00009-46094,00002-00001-00005-55112,1050162049-046094,992284101-046094,934406153-0046094,390565218-046094,679954958-00046094,419504192-046094,992397403-0000046094
Component 00000000051513,00003-00007-51513,00002-00006-00010-83327,748441312-051513,1037853015-051513,1327264718-0051513,826265202-051513,1526690334-00051513,1755301174-051513,1252200873-0000051513
Component 00000000116362,00002-00001-00012-116362,00001-00004-00002-45931,1421082653-116362,1116108610-116362,811134567-0116362,588485273-116362,2113355488-00116362,1814714118-116362,1551101094-0000116362
Component 00000000026482,00002-00001-00001-26482,00001-00002-156,1346395868-026482,368945165-026482,1538978109-0026482,110935183-026482,703221404-00026482,1673402358-026482,30975825-0000026482
Component 00000000113078,00003-00004-113078,00003-00003-77493,1375026081-113078,1508573151-113078,1642120221-0113078,1409608035-113078,741872685-00113078,1342834500-113078,268987619-0000113078
Component 00000000084266,00001-84266,00002-00004-00012-12037,812291462-084266,1502406926-084266,45038743-0084266,2070636761-084266,767543088-00084266,1725579029-084266,852992315-0000084266
Component 00000000106453,00003-00004-00009-106453,00002-00004-00002-15537,657867874-106453,1140651774-106453,1623435674-0106453,450566907-106453,184131054-00106453,209174957-106453,1371878369-0000106453
Component 00000000121315,00005-00012-121315,00003-00007-61068,934955899-121315,1176276211-121315,1417596523-0121315,1901572796-121315,694971236-00121315,1780912640-121315,1320749691-0000121315
Component 00000000003622,00002-00003-00008-3622,00004-00003-00001-101349,1886269276-003622,1134547192-003622,382825108-0003622,1934970201-003622,1398613327-00003622,163347596-003622,620189301-0000003622
Component 00000000057449,00004-00002-57449,00003-00006-00010-2428,771673080-057449,980553180-057449,1189433280-0057449,164939695-057449,1268022842-00057449,60499645-057449,525077545-0000057449
Component 00000000009267,00002-00006-00011-9267,00006-00012-12375,1950683295-009267,880227766-009267,1957255884-0009267,499455843-009267,1556766194-00009267,2108425431-009267,133354100-0000009267
Component 00000000082613,00003-00006-00011-82613,1436259974,598603028-082613,1868890248-082613,991693821-0082613,2077991082-082613,21522276-00082613,1442847472-082613,1780682057-0000082613
Component 00000000009310,00002-9310,00002-00002-00005-13512,517893100-009310,1646746718-009310,628116689-0009310,1580202398-009310,230901602-00009310,1015775589-009310,1932321459-0000009310
Component 00000000000837,00002-00004-00005-837,00006-00004-23365,109577604-000837,414912232-000837,720246860-0000837,2033405180-000837,506732040-00000837,1880737866-000837,1286359283-0000000837
Component 00000000105698,00003-00005-00008-105698,00003-00001-00009-117958,791801523-105698,830843570-105698,869885617-0105698,1611598979-105698,1416388744-00105698,518336132-105698,2077573194-0000105698
Component 00000000010111,00001-00003-00010-10111,00004-00002-00009-35954,1548706102-010111,198028452-010111,994834449-0010111,465349487-010111,776286796-00010111,1140688312-010111,1286373097-0000010111
Component 00000000117631,00001-00003-00007-117631,00004-00002-00009-81454,2095343265-117631,31262694-117631,114665770-0117631,1845425157-117631,1428409777-00117631,1803723619-117631,505264447-0000117631
Component 00000000108610,00005-00008-108610,00002-00005-00007-75927,716562913-108610,507959442-108610,299355971-0108610,262970981-108610,1305988336-00108610,1441014540-108610,1927547365-0000108610
Component 00000000084452,00002-00004-00004-84452,00002-00002-00006-17257,518143405-084452,353675915-084452,189208425-0084452,1131404728-084452,1953742178-00084452,1213638473-084452,631113975-0000084452
Component 00000000070196,00001-00009-70196,00012-112280,526223454-070196,842345983-070196,1158468512-0070196,1899522405-070196,318909760-00070196,667719317-070196,766528042-0000070196
Component 00000000107182,00002-00005-00010-107182,00001-00002-00001-48946,1713752237-107182,1802497799-107182,1891243361-0107182,1722944700-107182,1279216890-00107182,1678571919-107182,1900798072-0000107182
Component 00000000009404,00004-00003-00005-9404,00006-16120,1794811235-009404,1724889654-009404,1654968073-0009404,1624840027-009404,1974447932-00009404,586058994-009404,803325560-0000009404
Component 00000000024313,00003-00002-00003-24313,00005-00011-62970,1975060549-024313,1993420319-024313,2011780089-0024313,718025747-024313,626226897-00024313,708845862-024313,477992284-0000024313
Component 00000000043678,00003-00005-00011-43678,00001-00003-00005-111051,1688158599-043678,975787045-043678,263415491-0043678,1497876582-043678,764767058-00043678,1854062359-043678,1635817838-0000043678
Component 00000000085677,00002-00004-00007-85677,00002-00005-51550,795631475-085677,1536685603-085677,130256084-0085677,229534684-085677,819231338-00085677,2006491267-085677,749309661-0000085677
Component 00000000117916,00001-00001-00006-117916,00001-00004-00009-89436,1489140529-117916,726595930-117916,2111534978-0117916,2086691300-117916,1604447001-00117916,1394221776-117916,1335592612-0000117916
Component 00000000037858,00003-00002-00002-37858,00001-00003-00008-52216,1008357439-037858,356458596-037858,1852043400-0037858,529776435-037858,1641787003-00037858,1929467680-037858,361060504-0000037858
Component 00000000073988,00003-00005-00005-73988,00001-00010-94871,1459129358-073988,35404634-073988,759163557-0073988,1127956948-073988,1804129627-00073988,1839819310-073988,1775138519-0000073988
Component 00000000020190,00002-00001-20190,00002-00006-00006-71077,1189009419-020190,1658265078-020190,2127520737-0020190,1399330587-020190,1200535939-00020190,90960934-020190,1261580209-0000020190
Component 00000000017411,00001-00002-00004-17411,00003-00003-00002-24013,949491414-017411,72411484-017411,1342815201-0017411,1360787749-017411,1451220105-00017411,1799327714-017411,1770761982-0000017411
Component 00000000021807,00002-00002-00006-21807,00001-00011-116361,587051531-021807,1126597186-021807,1666142841-0021807,2058953858-021807,1508709230-00021807,715439207-021807,706945281-0000021807
Component 00000000032906,00001-00006-00003-32906,00004-00007-52969,92980705-032906,273900876-032906,454821047-0032906,1351416234-032906,446815379-00032906,187214325-032906,1217204437-0000032906
Component 00000000033780,00005-00006-33780,00002-00011-80962,19540900-033780,877314174-033780,1735087448-0033780,819355396-033780,825456320-00033780,390468759-033780,1104783186-0000033780
Component 00000000009158,00003-00002-00006-9158,00003-00003-9243,1301229898-009158,681915418-009158,62600938-0009158,1329248676-009158,130853782-00009158,1638905916-009158,2034486833-0000009158
Component 00000000028132,00002-00006-28132,00002-00001-00004-46362,1689044432-028132,763001692-028132,1984442599-0028132,1873128129-028132,60890888-00028132,188665852-028132,380465726-0000028132
Component 00000000047310,00004-00003-47310,00003-00004-00007-74848,645583790-047310,510614558-047310,375645326-0047310,542026979-047310,1216873139-00047310,609511595-047310,2053492190-0000047310
Component 00000000008683,00003-00003-00012-8683,00001-00004-00001-13976,1343266497-008683,1071158380-008683,799050263-0008683,2104666528-008683,1317723466-00008683,1166978763-008683,1050428214-0000008683
Component 00000000113761,00001-00004-00011-113761,00002-00003-00010-96652,1409714404-113761,507208468-113761,1752186179-0113761,587849448-113761,805411834-00113761,1039102416-113761,1630328677-0000113761
Component 00000000055718,00003-00005-55718,00004-00006-00005-77524,1446711157-055718,230988634-055718,1162749758-0055718,1539969084-055718,1176130758-00055718,1074088522-055718,1219004752-0000055718
Component 00000000028187,00002-00005-00003-28187,00003-00004-00006-47898,2073795866-028187,34973726-028187,143635233-0028187,1975169838-028187,1431862303-00028187,847097261-028187,1269449453-0000028187
Component 00000000106126,00001-00006-00007-106126,00003-00004-00005-6388,347550519-106126,467123788-106126,586697057-0106126,778144948-106126,180278603-00106126,1792100137-106126,1814404593-0000106126
Component 00000000083354,00004-00005-00011-83354,00003-00010-110068,1683135323-083354,1434752620-083354,1186369917-0083354,1447734286-083354,542164154-00083354,498183814-083354,114210197-0000083354
Component 00000000066669,00004-00001-00005-66669,00002-00002-00005-13512,1068148919-066669,1609974794-066669,4317022-0066669,503158269-066669,2088996188-00066669,1305987155-066669,819088154-0000066669
Component 00000000057117,00002-00004-00008-57117,00004-00002-00011-116699,1954100230-057117,918692634-057117,2030768685-0057117,1128955705-057117,2011026391-00057117,1646659503-057117,702706019-0000057117
Component 00000000033515,00006-00001-33515,00002-00011-73565,1085593681-033515,962462494-033515,839331307-0033515,482440229-033515,1098096164-00033515,1617747646-033515,705024338-0000033515
Component 00000000062873,00003-00006-00005-62873,00001-00001-00008-30766,1926931034-062873,1209175061-062873,491419088-0062873,401762872-062873,1843059090-00062873,1834382682-062873,1912704777-0000062873
Component 00000000100078,00003-00006-00004-100078,00001-00003-84126,1640178454-100078,1081245583-100078,522312712-0100078,1375479798-100078,2022660506-00100078,581204410-100078,380246283-0000100078
Component 00000000032940,00005-00011-32940,00003-00011-57445,512059011-032940,896789305-032940,1281519599-0032940,1991609094-032940,67957624-00032940,1799243947-032940,1004398728-0000032940
Component 00000000104045,00004-00006-104045,00003-00008-71690,905019965-104045,1079049255-104045,1253078545-0104045,755505942-104045,2032843139-00104045,668491297-104045,1253551702-0000104045
Component 00000000085031,00001-00002-00011-85031,00002-00005-33467,1372492939-085031,1802430520-085031,84884454-0085031,1823370971-085031,1821166713-00085031,534660357-085031,1063511386-0000085031
Component 00000000022785,00009-22785,00001-00003-00003-36676,1519778500-022785,25229904-022785,678164955-0022785,2048615592-022785,931423984-00022785,648406243-022785,1651739773-0000022785
Component 00000000010671,00001-00003-00011-10671,00002-00003-00006-51642,701895147-010671,1945995021-010671,1042611248-0010671,911196920-010671,1133148491-00010671,289146983-010671,689844740-0000010671
Component 00000000036958,00003-00005-00012-36958,00003-00004-00009-46393,11305124-036958,1370809991-036958,582831211-0036958,449039940-036958,93966546-00036958,843029330-036958,1668953402-0000036958
Component 00000000084423,00003-00003-00001-84423,00003-00001-16458,1600732296-084423,1397405099-084423,1194077902-0084423,1403039653-084423,272191991-00084423,430961428-084423,733383681-0000084423
Component 00000000017774,00004-00001-00003-17774,00001-00006-3471,864621950-017774,1270882907-017774,1677143864-0017774,167183718-017774,283362580-00017774,1037795063-017774,460133211-0000017774
Component 00000000100746,00001-00002-00009-100746,00004-38584,1136421424-100746,147779915-100746,1306622053-0100746,1505690295-100746,6446899-00100746,926269226-100746,2006606856-0000100746
Component 00000000044899,00004-00001-00010-44899,00002-00003-00002-21647,1624915570-044899,993784257-044899,362652944-0044899,6076124-044899,1014249042-00044899,1395383604-044899,1537272002-0000044899
Component 00000000026268,00003-00004-00008-26268,00002-00010-117712,164753128-026268,824476051-026268,1484198974-0026268,1022802012-026268,2019154691-00026268,1766682374-026268,838628974-0000026268
Component 00000000094410,00001-00004-94410,00007-6650,1196052258-094410,191975937-094410,1335383263-0094410,816732747-094410,1542147058-00094410,245029084-094410,1303164978-0000094410
Component 00000000042030,00002-00001-42030,00001-00002-00010-64906,1250303513-042030,117267599-042030,1131715332-0042030,2132636506-042030,1355365135-00042030,551670816-042030,1534984139-0000042030
Component 00000000020575,00002-00009-20575,00002-00001-00004-81852,1779527086-020575,1186897873-020575,594268660-0020575,2028039490-020575,696218261-00020575,1250612273-020575,443466006-0000020575
Component 00000000111522,00002-00005-00008-111522,00003-00006-00011-33928,128988070-111522,1398101684-111522,519731651-0111522,1551456233-111522,1648339104-00111522,916899426-111522,2037227687-0000111522
Component 00000000089503,00003-00001-00011-89503,00001-00003-35155,1096043034-089503,897806402-089503,699569770-0089503,71500970-089503,1062684130-00089503,170619286-089503,1096670699-0000089503
Component 00000000120771,00001-00001-120771,00001-00007-45871,80546729-120771,216405326-120771,352263923-0120771,1300979566-120771,621686581-00120771,159308444-120771,1745715969-0000120771
Component 00000000012974,00004-00003-12974,00001-00005-00009-116086,1986962846-012974,2115774205-012974,97101917-0012974,718120993-012974,74064198-00012974,1727457137-012974,1284685112-0000012974
Component 00000000078894,00004-00004-00010-78894,00003-00001-00012-108718,764067943-078894,1997130209-078894,1082708828-0078894,438045728-078894,715185339-00078894,1968998242-078894,587174069-0000078894
Component 00000000077738,00003-00003-00011-77738,00004-00003-00010-76359,1095699004-077738,1470026972-077738,1844354940-0077738,2070736276-077738,199096436-00077738,1883572292-077738,300399065-0000077738
Component 00000000092872,00002-00003-92872,00002-00003-00008-5897,1276961093-092872,1052053488-092872,827145883-0092872,32618662-092872,1157156687-00092872,1218814288-092872,1442756806-0000092872
Component 00000000084833,00003-00008-84833,00001-00012-27910,451942995-084833,659881129-084833,867819263-0084833,1947007906-084833,907317236-00084833,1843038839-084833,187742749-0000084833
Component 00000000015232,00002-00009-15232,00003-00005-00005-55788,1675087965-015232,578637204-015232,1629670090-0015232,1110575408-015232,150378272-00015232,585058965-015232,1787147425-0000015232
Component 00000000101746,00001-00001-00008-101746,00004-00001-00003-7309,596161290-101746,2016836558-101746,1290028179-0101746,779435084-101746,118509685-00101746,69097450-101746,1683793249-0000101746
Component 00000000026576,00001-00004-00004-26576,00002-2795,496851751-026576,404838759-026576,312825767-0026576,329188933-026576,789253893-00026576,375195429-026576,939297029-0000026576
Component 00000000006522,00002-00005-00009-6522,00001-00001-00004-59011,553899810-006522,1217509909-006522,1881120008-0006522,1600476730-006522,429909882-00006522,194929857-006522,1958841079-0000006522
Component 00000000001413,00003-00006-00009-1413,00005-00004-39485,1068494285-001413,990831650-001413,913169015-0001413,523081958-001413,911395133-00001413,1635655099-001413,1573494284-0000001413
Component 00000000014866,00001-00005-00007-14866,00003-00002-00008-23928,1620272538-014866,925750865-014866,231229192-0014866,1221967926-014866,399608997-00014866,495486939-014866,1352672586-0000014866
Component 00000000040776,00001-00001-00008-40776,00001-00006-00003-29721,795488235-040776,1609594375-040776,276216868-0040776,1624930379-040776,1849366973-00040776,1217877309-040776,108856129-0000040776
Component 00000000026222,00002-00001-26222,00001-00004-36166,989585161-026222,1022612431-026222,1055639701-0026222,443924109-026222,278787759-00026222,427410474-026222,1420082316-0000026222
Component 00000000005977,00002-00006-00010-5977,00002-00003-43722,152475555-005977,721958133-005977,1291440711-0005977,2002576824-005977,1302647581-00005977,1717835535-005977,1194960843-0000005977
Component 00000000092775,00004-00007-92775,00001-00006-00002-3226,101387873-092775,1044232918-092775,1987077963-0092775,1805957792-092775,1386699861-00092775,260793446-092775,1876186787-0000092775
Component 00000000016882,00002-00005-00008-16882,00004-00006-102024,1678982517-016882,1649842282-016882,1620702047-0016882,1339422943-016882,1485124118-00016882,280251237-016882,551404020-0000016882
Component 00000000100443,00003-00005-100443,00006-94380,823015162-100443,616689295-100443,410363428-0100443,479887024-100443,1511516359-00100443,1656791781-100443,1577844437-0000100443
Component 00000000021732,00002-00004-00009-21732,00003-00003-00012-114243,1342607517-021732,1804320929-021732,118550694-0021732,113387882-021732,2099788116-00021732,2030014823-021732,766439118-0000021732
Component 00000000098411,00001-00005-00001-98411,00004-00004-00010-37489,722871836-098411,182169766-098411,1788951343-0098411,268625205-098411,824651908-00098411,538976240-098411,1155154141-0000098411
Component 00000000023701,00001-00006-00002-23701,00001-00007-45871,342864168-023701,1776418033-023701,1062488251-0023701,77008093-023701,1499173356-00023701,433972984-023701,2049421383-0000023701
Component 00000000000520,00002-520,00004-00004-00012-14494,1201504990-000520,389820539-000520,1725619735-0000520,1563256586-000520,1326711547-00000520,895356988-000520,1557343373-0000000520
Component 00000000119649,00004-00005-00010-119649,00001-00006-14371,1406759795-119649,971833315-119649,536906835-0119649,1787661985-119649,1814810738-00119649,2005125225-119649,1521108569-0000119649
Component 00000000103247,00002-00004-00001-103247,00004-00005-49340,2128119127-103247,2028703812-103247,1929288497-0103247,527701820-103247,1024778395-00103247,1651151301-103247,2120278729-0000103247
Component 00000000085785,00011-85785,00004-00001-00011-54559,553552077-085785,680232552-085785,806913027-0085785,1328845997-085785,695443622-00085785,191763936-085785,2098401568-0000085785
Component 00000000119836,00001-00003-00002-119836,00002-00003-00009-19652,1076688062-119836,143285608-119836,1357366801-0119836,903825630-119836,1275870606-00119836,1370526857-119836,1669039071-0000119836
Component 00000000048468,00003-00004-48468,00001-00009-121611,520412110-048468,465716140-048468,411020170-0048468,15141212-048468,288621062-00048468,42489197-048468,1122088542-0000048468
Component 00000000001797,00002-00005-00003-1797,00005-00011-50230,1618542706-001797,1179114588-001797,739686470-0001797,1781115453-001797,1830772396-00001797,2000829512-001797,631740498-0000001797
Component 00000000049358,00003-00001-00010-49358,00001-00006-00008-22966,1947823639-049358,480857179-049358,1161374366-0049358,1666910680-049358,411808392-00049358,252910263-049358,424397642-0000049358
Component 00000000027465,00004-00009-27465,00003-00005-27695,1258720471-027465,793356401-027465,327992331-0027465,163399546-027465,342736249-00027465,396081581-027465,512808540-0000027465
Component 00000000019502,00002-00002-19502,00001-00003-00004-51796,1485769600-019502,1027211273-019502,568652946-0019502,1794269034-019502,1939577022-00019502,949806374-019502,1537622701-0000019502
Component 00000000119967,00002-00001-00003-119967,00001-00005-00001-23336,177323296-119967,373373254-119967,569423212-0119967,1095811671-119967,115561881-00119967,997786692-119967,1644451123-0000119967
Component 00000000050886,00001-00003-00004-50886,00004-00006-00010-65764,1555041974-050886,1476199381-050886,1397356788-0050886,952401684-050886,1346614649-00050886,2065564804-050886,893257181-0000050886
Component 00000000109644,00004-00003-00002-109644,00004-00005-00008-104879,604241669-109644,736703713-109644,869165757-0109644,586199862-109644,2071373289-00109644,519968840-109644,1771666026-0000109644
Component 00000000091246,00001-00001-00012-91246,00001-00004-83941,616812100-091246,327426400-091246,38040700-0091246,1613991179-091246,913436032-00091246,1758684029-091246,1618488736-0000091246
Component 00000000097037,00002-00003-00005-97037,00003-00005-00008-122533,1068573729-097037,1315227054-097037,1561880379-0097037,1220099933-097037,2134316955-00097037,23031447-097037,553162737-0000097037
Component 00000000109254,00004-00005-00002-109254,00001-00006-00004-93981,1302342859-109254,568974082-109254,1983088952-0109254,1167437350-109254,539313941-00109254,460379915-109254,1553194156-0000109254
Component 00000000090881,00001-00011-90881,00002-00005-00003-73687,612905984-090881,579068157-090881,545230330-0090881,45513198-090881,214702333-00090881,1136173935-090881,412708978-0000090881
Component 00000000059402,00002-00005-59402,00003-00004-00003-57138,1467137393-059402,1505496838-059402,1543856283-0059402,106345005-059402,2062031427-00059402,1160907106-059402,2134179238-0000059402
Component 00000000075093,00003-00004-00005-75093,00004-00006-00012-2274,1298904156-075093,1474883813-075093,1650863470-0075093,170241109-075093,1437826471-00075093,1155993104-075093,1232509253-0000075093
Component 00000000103647,00002-00005-00011-103647,60515,1306159262-103647,522265129-103647,1885854643-0103647,868257634-103647,492761005-00103647,186462877-103647,1892580897-0000103647
Component 00000000045118,00003-00003-00008-45118,00002-00004-00006-27787,697591241-045118,1526652360-045118,208229832-0045118,1178608043-045118,1328269742-00045118,1837819307-045118,1297698015-0000045118
Component 00000000017905,00006-00004-17905,00004-00003-00009-7094,301614058-017905,964953994-017905,1628293930-0017905,261346249-017905,1239613863-00017905,2077159928-017905,1368153147-0000017905
Component 00000000082628,00003-82628,00002-00005-00008-89682,1088365439-082628,944030675-082628,799695911-0082628,530580326-082628,1252254146-00082628,602747708-082628,886863552-0000082628
Component 00000000077697,00002-00004-00009-77697,00002-00004-75222,871551480-077697,959194388-077697,1046837296-0077697,827265224-077697,389050684-00077697,783443770-077697,1562354583-0000077697
Component 00000000034825,00011-34825,00005-00006-110220,1361885133-034825,1778718861-034825,48068942-0034825,103484471-034825,166799478-00034825,2042551254-034825,1095019966-0000034825
Component 00000000107287,00002-00005-00011-107287,00002-00005-00010-38932,1511301898-107287,1350590135-107287,1189878372-0107287,1232974157-107287,2036532972-00107287,239588215-107287,818922945-0000107287
Component 00000000055344,00004-00002-00003-55344,00004-00001-67054,1782956752-055344,495401692-055344,1355330279-0055344,1613562105-055344,1608886464-00055344,109855988-055344,1460005101-0000055344
Component 00000000008246,00001-00004-8246,00004-00001-00002-107304,1883881088-008246,760503777-008246,1784610113-0008246,13430856-008246,1335350117-00008246,1648861335-008246,2023235677-0000008246
Component 00000000030471,00001-00012-30471,00004-00005-00001-111879,566425247-030471,1690334105-030471,666759316-0030471,1388913685-030471,64336689-00030471,826959256-030471,809597656-0000030471
Component 00000000122556,00001-00005-122556,00003-00005-00009-95793,1623996809-122556,1377610084-122556,1131223359-0122556,1485400705-122556,569850683-00122556,534852244-122556,124542991-0000122556
Component 00000000039480,00012-39480,00001-00001-00006-117006,842387978-039480,363074757-039480,2031245183-0039480,144275053-039480,393357511-00039480,1457673487-039480,1071017867-0000039480
Component 00000000065326,00001-00002-00001-65326,00001-00004-00009-99446,1604290233-065326,362054725-065326,1267302864-0065326,1485410211-065326,1254136810-00065326,2106527965-065326,2092788619-0000065326
Component 00000000100258,00003-00004-00002-100258,00001-00004-00011-89191,2035269773-100258,1894859117-100258,1754448461-0100258,1667803898-100258,222373531-00100258,1738009226-100258,1681261816-0000100258
Component 00000000099597,00002-00001-00004-99597,00002-00005-00009-70677,1081377808-099597,164534425-099597,1395174689-0099597,637888496-099597,927138117-00099597,22568364-099597,1567981922-0000099597
Component 00000000014290,00003-00003-14290,00004-00008-29414,247478758-014290,1849582996-014290,1304203587-0014290,640123009-014290,1219536407-00014290,1986554537-014290,1499105707-0000014290
Component 00000000120515,00003-00005-120515,00001-00004-00011-38686,1099012928-120515,1030719731-120515,962426534-0120515,1008018344-120515,1349484329-00120515,2115906766-120515,831659386-0000120515
Component 00000000114850,00001-00008-114850,00004-00003-00006-3594,789514633-114850,12103966-114850,1382176946-0114850,666061106-114850,258147147-00114850,2128508263-114850,928906976-0000114850
Component 00000000082176,00001-00003-00003-82176,00003-00012-77063,1161722577-082176,1538588776-082176,1915454975-0082176,1186122229-082176,1449274881-00082176,2071430953-082176,587523389-0000082176
Component 00000000105140,00009-105140,00003-00002-00001-102363,2074626708-105140,1023743149-105140,2120343237-0105140,1572639801-105140,384606655-00105140,1024339757-105140,1510715724-0000105140
Component 00000000117033,00003-00007-117033,00002-00008-64722,1470000366-117033,1561895436-117033,1653790506-0117033,1631943967-117033,1172468617-00117033,1585996432-117033,1119219234-0000117033
Component 00000000045472,00002-00011-45472,00003-00005-00006-62718,1744850468-045472,1119964966-045472,495079464-0045472,1502674679-045472,332134895-00045472,1815117430-045472,930896043-0000045472
Component 00000000042940,00002-00001-42940,00002-00001-00007-90357,847109407-042940,662761314-042940,478413221-0042940,1569903308-042940,344160126-00042940,588335531-042940,315490518-0000042940
Component 00000000003011,00001-00001-00008-3011,00001-00004-4151,1780250807-003011,1473644533-003011,1167038259-0003011,1942232047-003011,1327779770-00003011,2095535184-003011,2139853667-0000003011
Component 00000000113147,00002-00006-00008-113147,00003-00001-00002-79458,589424681-113147,1849282397-113147,961656466-0113147,1562981791-113147,1706144152-00113147,933052933-113147,1393762462-0000113147
Component 00000000020487,00002-00005-00012-20487,00002-00003-00006-79397,1777007578-020487,1947725839-020487,2118444100-0020487,393166825-020487,1687059167-00020487,1381549518-020487,1799186937-0000020487
Component 00000000004912,00002-00005-00011-4912,00001-00004-00005-13941,1251910972-004912,541153892-004912,1977880459-0004912,1139930944-004912,398749050-00004912,1495309484-004912,1594660337-0000004912
Component 00000000101926,00001-00006-00006-101926,00004-00008-12345,1771261147-101926,1014876234-101926,258491321-0101926,520073042-101926,7030313-00101926,1972007322-101926,1653866290-0000101926
Component 00000000089060,00006-00010-89060,00001-00006-00010-22721,333153828-089060,1524328393-089060,568019311-0089060,1196803585-089060,1683381701-00089060,1674958126-089060,654682563-0000089060
Component 00000000059644,00004-00004-59644,00003-00004-00011-63893,2026614654-059644,864252844-059644,1849374681-0059644,1486641691-059644,855999800-00059644,2067822596-059644,92780751-0000059644
Component 00000000030480,00002-00008-30480,,1639641451-030480,1931822252-030480,76519406-0030480,1851766594-030480,390862589-00030480,631934370-030480,20476622-0000030480
Component 00000000111965,00009-111965,00002-00001-00004-46362,848086017-111965,1068162811-111965,1288239605-0111965,784392291-111965,1831491968-00111965,674353894-111965,2112485836-0000111965
Component 00000000105097,00002-00006-00005-105097,00004-00005-00007-101134,1263628508-105097,427270917-105097,1738396973-0105097,428732814-105097,315553475-00105097,1920653433-105097,2016090281-0000105097
Component 00000000011162,00002-00004-00008-11162,00002-00003-00007-65397,902380568-011162,68017041-011162,1381137161-0011162,164196978-011162,41047319-00011162,1655120565-011162,842893244-0000011162
Component 00000000056924,00004-00010-56924,00003-00001-00006-78513,2049209543-056924,767346691-056924,1632967486-0056924,8403337-056924,2122750303-00056924,649334763-056924,1379542503-0000056924
Component 00000000084540,00001-00001-84540,00003-00001-00005-19713,779854231-084540,1549257443-084540,171177008-0084540,1588688014-084540,2036639248-00084540,1203986408-084540,791099456-0000084540
Component 00000000050134,00004-00006-50134,00005-00002-44735,230012381-050134,137878041-050134,45743701-0050134,56464185-050134,517135885-00050134,102531355-050134,1428137489-0000050134
Component 00000000021816,00001-00004-00002-21816,00001-00005-00005-116576,1150780038-021816,1167178915-021816,1183577792-0021816,872383749-021816,790389364-00021816,1937926134-021816,1802864061-0000021816
Component 00000000022071,00001-00010-22071,00003-00001-00010-218,27641877-022071,1208752423-022071,242379322-0022071,1476928536-022071,2013826747-00022071,886373263-022071,206925141-0000022071
Component 00000000107953,00003-00006-00001-107953,00003-00005-57538,1990008369-107953,1576105591-107953,1162202813-0107953,1243076459-107953,1165106702-00107953,1450027848-107953,1030505400-0000107953
Component 00000000010997,00002-00012-10997,00001-00001-00012-60761,816939940-010997,43110219-010997,1416764145-0010997,867162294-010997,441343605-00010997,180335331-010997,1642439306-0000010997
