Component 00000000011892,00002-00006-00010-11892,00003-85813,765188718-011892,1019854467-011892,1274520216-0011892,1305317486-011892,31988741-00011892,104242788-011892,1143141531-0000011892
Component 00000000103149,00004-00004-00007-103149,00001-00005-00010-46576,896570131-103149,1476064380-103149,2055558629-0103149,11011973-103149,1408508022-00103149,795006672-103149,723820778-0000103149
Component 00000000054630,00002-00004-54630,00004-00005-00007-87939,1861334840-054630,1964108703-054630,2066882566-0054630,1477158078-054630,963288763-00054630,352029323-054630,576340715-0000054630
Component 00000000098412,00002-00006-00002-98412,00004-00006-00001-37519,1123756497-098412,353142400-098412,1730011950-0098412,1329936615-098412,888039806-00098412,641501840-098412,456475492-0000098412
Component 00000000104222,00002-00006-00001-104222,00004-00005-00012-76634,1156551780-104222,1384092565-104222,1611633350-0104222,381119794-104222,1390899516-00104222,1341091225-104222,1656373198-0000104222
Component 00000000000891,00001-00002-00007-891,00006-00001-24870,1293775413-000891,1681410865-000891,2069046317-0000891,766742012-000891,976048399-00000891,572924286-000891,1663608389-0000000891
Component 00000000098801,00001-00003-00001-98801,00001-00001-00005-12706,1764598370-098801,149765588-098801,682416453-0098801,754619735-098801,238849057-00098801,1562036126-098801,1998061326-0000098801
Component 00000000092884,00004-00001-00012-92884,00005-00008-6235,1720163560-092884,2006500494-092884,145353781-0092884,575119330-092884,1290918307-00092884,431950863-092884,1800348734-0000092884
Component 00000000096625,00004-00009-96625,111020,291622346-096625,1367401798-096625,295697603-0096625,927318240-096625,1990871921-00096625,389428514-096625,1525347529-0000096625
Component 00000000021298,00003-00004-00004-21298,00001-00001-102116,1440386485-021298,362220995-021298,1431539152-0021298,688967748-021298,1784827904-00021298,1228050493-021298,157904962-0000021298
Component 00000000114473,00003-00002-00008-114473,00001-00003-00001-116546,1466479725-114473,1967245797-114473,320528222-0114473,2131314100-114473,1774967387-00114473,1880931064-114473,774760592-0000114473
Component 00000000020555,00003-00002-20555,00002-00011-81300,659991389-020555,801105523-020555,942219657-0020555,1061575947-020555,356005277-00020555,991018880-020555,1514264815-0000020555
Component 00000000111657,00002-111657,00005-00009-37735,1090941910-111657,2130882545-111657,1023339533-0111657,1062197003-111657,157461122-00111657,1615968509-111657,377468340-0000111657
Component 00000000057456,00001-00009-57456,00002-00003-00003-2642,116778833-057456,9683206-057456,2050071226-0057456,291350041-057456,826828176-00057456,1418639678-057456,2129561152-0000057456
Component 00000000025833,00003-00003-00002-25833,00004-00004-00010-41584,492928590-025833,485041369-025833,477154148-0025833,1184140195-025833,1223576300-00025833,114341982-025833,1154347526-0000025833
Component 00000000045741,00001-00003-00007-45741,00001-00006-00012-45226,999682913-045741,1178732665-045741,1357782417-0045741,1093661297-045741,198412537-00045741,1004136421-045741,1762559232-0000045741
Component 00000000052255,00008-52255,00002-00001-00008-104112,1794428356-052255,341494714-052255,1036044719-0052255,46623423-052255,868840692-00052255,773090244-052255,1174178788-0000052255
Component 00000000103538,00003-00001-00006-103538,00001-00006-00003-57476,394625365-103538,243187994-103538,91750623-0103538,566105636-103538,1323292491-00103538,1715566145-103538,1051571197-0000103538
Component 00000000107092,00002-00006-00011-107092,00002-00005-33467,74435231-107092,457036510-107092,839637789-0107092,376986263-107092,611463515-00107092,1259427447-107092,635135996-0000107092
Component 00000000078345,00001-00007-78345,00001-00005-00009-93336,556442088-078345,19140018-078345,1629321595-0078345,267095457-078345,806122160-00078345,535746492-078345,532553746-0000078345
Component 00000000088442,00002-00004-00003-88442,00001-00002-00011-5406,442246023-088442,305175824-088442,168105625-0088442,1310534136-088442,1995885131-00088442,305327412-088442,42682199-0000088442
Component 00000000026015,00003-00002-26015,00001-00004-110621,741835544-026015,1868679062-026015,848038933-0026015,1706654992-026015,367404696-00026015,1143233233-026015,82607885-0000026015
Component 00000000084617,00002-00001-84617,00001-00010-116711,15093218-084617,1056986808-084617,2098880398-0084617,1154808452-084617,240307796-00084617,633861657-084617,1507910445-0000084617
Component 00000000101862,00002-00005-00007-101862,00002-00004-00002-10532,1384469664-101862,1813723882-101862,95494453-0101862,728462767-101862,729675324-00101862,513835658-101862,531541657-0000101862
Component 00000000007120,00001-00009-7120,00003-00001-00001-75713,230289788-007120,1016110122-007120,1801930456-0007120,1835353988-007120,53735965-00007120,1442443821-007120,1815375470-0000007120
Component 00000000057401,00001-00001-00006-57401,00001-00005-00010-1076,1631750478-057401,735084390-057401,1985901949-0057401,1093118150-057401,1281481296-00057401,1541451194-057401,720098683-0000057401
Component 00000000088530,00001-88530,00003-00004-00002-7893,1692135839-088530,363165879-088530,1181679566-0088530,1661602189-088530,1864001048-00088530,178603522-088530,1168643904-0000088530
Component 00000000054023,00003-00004-00008-54023,00003-00002-30058,1304847893-054023,1698310903-054023,2091773913-0054023,1060451055-054023,1240619652-00054023,863719550-054023,858423749-0000054023
Component 00000000120670,00004-00004-120670,00005-00007-42985,364080832-120670,623084205-120670,882087578-0120670,1114584364-120670,1967051146-00120670,2058824501-120670,1954870211-0000120670
Component 00000000040374,00004-00005-00009-40374,00003-18515,829312180-040374,1030603111-040374,1231894042-0040374,928245922-040374,2069274914-00040374,1901342280-040374,60960197-0000040374
Component 00000000087475,00003-00011-87475,00001-00003-101871,1503696172-087475,1934746220-087475,218312621-0087475,934787030-087475,927020437-00087475,719262006-087475,1436720637-0000087475
Component 00000000085436,00001-00001-85436,00001-00003-00011-44796,427764497-085436,693599085-085436,959433673-0085436,435840133-085436,1254150840-00085436,302922839-085436,2141795060-0000085436
Component 00000000068230,00001-00006-68230,00003-57200,1167980958-068230,612163440-068230,56345922-0068230,2128118746-068230,612239042-00068230,258543858-068230,265912136-0000068230
Component 00000000122563,00003-00012-122563,00002-00002-00002-96007,1625368729-122563,898787541-122563,172206353-0122563,745919463-122563,83858109-00122563,1109210057-122563,495995958-0000122563
Component 00000000053512,00002-00004-00004-53512,00003-00003-00010-15753,1713498939-053512,422360040-053512,1278704788-0053512,296546277-053512,309789831-00053512,2015857550-053512,1680106216-0000053512
Component 00000000005031,00001-00005-5031,00003-00005-00011-17288,2006246271-005031,1734922736-005031,1463599201-0005031,658214882-005031,2014832557-00005031,1867618473-005031,1738622161-0000005031
Component 00000000036606,00001-00003-00011-36606,00001-00003-00006-36536,294231982-036606,1123289883-036606,1952347784-0036606,775092711-036606,924770500-00036606,1434305584-036606,527665758-0000036606
Component 00000000112228,00003-00004-00012-112228,00004-00002-00009-53699,1669175313-112228,1196696192-112228,724217071-0112228,1302516238-112228,1517428196-00112228,465013975-112228,2076168606-0000112228
Component 00000000004317,00002-00005-00001-4317,00004-00001-00005-120814,165134449-004317,639381592-004317,1113628735-0004317,617542591-004317,393790523-00004317,1454160843-004317,1561052828-0000004317
Component 00000000090372,00002-00002-00009-90372,00002-00010-59472,1540555168-090372,454066872-090372,1515062223-0090372,385480340-090372,1522954526-00090372,928724488-090372,1722867733-0000090372
Component 00000000052094,00004-00003-52094,00002-00004-00009-99537,703560233-052094,991694694-052094,1279829155-0052094,719437886-052094,1426249228-00052094,1649112479-052094,1151782732-0000052094
Component 00000000087070,00004-00009-87070,00002-00004-00010-90542,2078409450-087070,1258495358-087070,438581266-0087070,967281634-087070,771884800-00087070,1377238680-087070,133602911-0000087070
Component 00000000071287,00002-00006-00008-71287,00002-00004-00003-19282,1495582102-071287,1861574805-071287,80083861-0071287,992617198-071287,1310137330-00071287,1883362670-071287,1439471562-0000071287
Component 00000000080107,00002-00006-00001-80107,00004-00005-00006-19129,336100637-080107,1446116833-080107,408649382-0080107,484794968-080107,1377164929-00080107,2077270517-080107,46464229-0000080107
Component 00000000088447,00002-00002-00008-88447,00004-00001-00008-5559,1799825130-088447,1911906736-088447,2023988342-0088447,793332080-088447,232924050-00088447,737291277-088447,409719780-0000088447
Component 00000000101577,00002-00008-101577,00004-00006-2580,484973988-101577,1925116440-101577,1217775245-0101577,1612406206-101577,854144887-00101577,892334980-101577,433141711-0000101577
Component 00000000074665,00003-00006-74665,00004-00004-113845,1911745481-074665,1881560410-074665,1851375339-0074665,1521511361-074665,1672436716-00074665,462862073-074665,1681757747-0000074665
Component 00000000078969,00004-00002-00007-78969,00002-00006-110805,803323634-078969,1346579836-078969,1889836038-0078969,1381445667-078969,812648304-00078969,1109817566-078969,739638390-0000078969
Component 00000000077810,00005-00005-77810,00003-00002-00002-78353,992012222-077810,1109347573-077810,1226682924-0077810,1314067628-077810,727390873-00077810,181658129-077810,2054294780-0000077810
Component 00000000062059,00004-00004-00010-62059,00003-00001-00010-7953,748869304-062059,1449466246-062059,2579541-0062059,368082639-062059,1160065223-00062059,17784168-062059,1858885542-0000062059
Component 00000000045088,00003-00001-00004-45088,00002-00005-00004-26927,1056036956-045088,2008374185-045088,813227767-0045088,1073494152-045088,606775301-00045088,1671067361-045088,1024325053-0000045088
Component 00000000003731,00001-3731,00003-00004-00011-104388,1700834492-003731,1734530992-003731,1768227492-0003731,1187631095-003731,1019148595-00003731,1170782845-003731,209378935-0000003731
Component 00000000056856,00001-00002-00007-56856,00003-00002-00007-109363,1045967388-056856,1595123210-056856,2144279032-0056856,1910220991-056856,1311925528-00056856,1635643080-056856,266296415-0000056856
Component 00000000079250,00003-00002-79250,00001-00001-118665,1194460450-079250,775133821-079250,355807192-0079250,1258213590-079250,1207363088-00079250,394135081-079250,81658042-0000079250
Component 00000000020704,00004-00005-00008-20704,00001-00006-00001-85476,106180452-020704,497829554-020704,889478656-0020704,1921292723-020704,2110530860-00020704,1725468172-020704,861970817-0000020704
Component 00000000102957,00002-00001-00010-102957,00004-00002-00007-41204,1831339432-102957,1570630139-102957,1309920846-0102957,998098780-102957,154161598-00102957,54711603-102957,1968929055-0000102957
Component 00000000059725,00001-00003-59725,00004-00005-00003-66134,1136958828-059725,764250216-059725,391541604-0059725,240460322-059725,2104003382-00059725,426814628-059725,890963376-0000059725
Component 00000000042346,00001-00003-00005-42346,00002-00007-73717,1486306177-042346,209898179-042346,1080973828-0042346,1857544037-042346,1797133086-00042346,348264389-042346,330378351-0000042346
Component 00000000101428,00003-00005-00002-101428,00004-00002-00009-121949,1448880592-101428,963384459-101428,477888326-0101428,450896435-101428,730893453-00101428,1767386325-101428,148040047-0000101428
Component 00000000002183,00003-00006-00012-2183,00002-00001-00007-3452,2047300945-002183,1351739859-002183,656178773-0002183,524842979-002183,1855164762-00002183,872623522-002183,521768335-0000002183
Component 00000000023251,00001-00004-00007-23251,00001-00004-00012-37426,359880922-023251,487435162-023251,614989402-0023251,103810621-023251,1613523068-00023251,40033501-023251,675080617-0000023251
Component 00000000063153,00003-00006-00012-63153,00004-00003-00010-38594,1804334236-063153,1373047352-063153,941760468-0063153,214273185-063153,223223958-00063153,429916627-063153,1023352447-0000063153
Component 00000000081728,00003-00003-00010-81728,00003-00010-64568,1299597538-081728,1505697266-081728,1711796994-0081728,558016111-081728,1675001118-00081728,454966247-081728,1430856444-0000081728
Component 00000000069688,00003-00003-00008-69688,00002-00004-00012-98032,890035090-069688,1044231319-069688,1198427548-0069688,852359432-069688,81378287-00069688,1849003141-069688,1111548137-0000069688
Component 00000000114051,00001-00002-114051,00001-00006-00011-104726,967876583-114051,484303146-114051,729709-0114051,63143182-114051,333526720-00114051,1378671724-114051,1138867625-0000114051
Component 00000000098302,00002-00001-00009-98302,00003-00004-00003-34388,1571921320-098302,693506072-098302,1962574471-0098302,1918454732-098302,2015563678-00098302,210178709-098302,290130582-0000098302
Component 00000000115924,00004-00004-00003-115924,00003-00006-33683,411926897-115924,2058538794-115924,1557667044-0115924,1889450786-115924,98842242-00115924,2139886661-115924,900753182-0000115924
Component 00000000011375,11375,00002-00001-00008-71352,485601204-011375,1272644937-011375,2059688670-0011375,1076258432-011375,1436007061-00011375,1756478389-011375,1465932341-0000011375
Component 00000000038173,00003-00002-00005-38173,00001-00004-00010-80441,1571706035-038173,2106824516-038173,494459350-0038173,681406776-038173,153298018-00038173,1487589359-038173,971087931-0000038173
Component 00000000082813,00003-00003-00003-82813,00001-00002-00001-94901,992139542-082813,1605701505-082813,71779821-0082813,1758865513-082813,838539345-00082813,378342708-082813,1466803299-0000082813
Component 00000000009536,00001-00002-00007-9536,00004-00010-19835,304830436-009536,678465824-009536,1052101212-0009536,1246277578-009536,1525584285-00009536,1059459884-009536,1956738780-0000009536
Component 00000000097695,00003-97695,00002-00003-00002-11182,1704342444-097695,628587556-097695,1700316315-0097695,1069837904-097695,6161403-00097695,1607715348-097695,1900175707-0000097695
Component 00000000120744,00004-00001-120744,00002-00006-00001-45072,1459549578-120744,1649767926-120744,1839986274-0120744,2095204868-120744,1144113128-00120744,2000095694-120744,777391445-0000120744
Component 00000000119927,00002-00003-00002-119927,00004-00002-00008-22199,1091164974-119927,2038654059-119927,838659497-0119927,873487186-119927,431009055-00119927,1473484467-119927,22157613-0000119927
Component 00000000059347,00002-00001-00002-59347,00003-00011-55573,1810369884-059347,53588630-059347,444291023-0059347,358341298-059347,552312980-00059347,1236731925-059347,838946657-0000059347
Component 00000000010891,00001-00006-00010-10891,00002-00004-57815,2027870230-010891,2135343259-010891,95332641-0010891,1871603019-010891,1334237874-00010891,744124681-010891,481997523-0000010891
Component 00000000114115,00001-00001-114115,00004-00001-00008-106569,1061463390-114115,602489293-114115,143515196-0114115,1349797979-114115,1497184817-00114115,505543204-114115,799119601-0000114115
Component 00000000070277,00002-00004-00012-70277,00002-00007-114550,613010697-070277,114650459-070277,1763773868-0070277,64859271-070277,409176814-00070277,314039390-070277,804987843-0000070277
Component 00000000002439,00004-00003-00008-2439,00001-00006-00010-68221,324725271-002439,1212618196-002439,2100511121-0002439,1511601017-002439,1367103686-00002439,2141396378-002439,963167345-0000002439
Component 00000000111750,00002-00002-111750,00004-00003-00005-40344,1873303836-111750,773064930-111750,1820309671-0111750,51324423-111750,1257551659-00111750,601443876-111750,262030780-0000111750
Component 00000000059798,00003-00004-00011-59798,00001-00004-00006-68191,821363174-059798,1636525726-059798,304204631-0059798,1702041300-059798,1921195834-00059798,1294460024-059798,187791533-0000059798
Component 00000000102608,00003-00002-00012-102608,00001-00004-00007-31441,1198512006-102608,1649858174-102608,2101204342-0102608,1613964684-102608,1504717491-00102608,1388291600-102608,60824920-0000102608
Component 00000000018904,00004-00004-00002-18904,00004-00001-00003-35064,1768838702-018904,1015958873-018904,263079044-0018904,687647171-018904,157079022-00018904,2137828909-018904,87905539-0000018904
Component 00000000038864,00004-00007-38864,00002-00002-00003-99752,418939223-038864,873751726-038864,1328564229-0038864,2076250972-038864,1949672104-00038864,775102897-038864,1596121154-0000038864
Component 00000000109011,00001-00006-109011,00001-87165,1318346923-109011,1344243991-109011,1370141059-0109011,426871074-109011,297385734-00109011,413922540-109011,70271517-0000109011
Component 00000000120660,00001-00007-120660,00003-00010-67298,1144746189-120660,867631763-120660,590517337-0120660,589598410-120660,1975170540-00120660,728155623-120660,1400233886-0000120660
Component 00000000085486,00001-00002-00011-85486,00003-00006-00002-46178,2137050795-085486,1620928879-085486,1104806963-0085486,727457986-085486,1160583919-00085486,985518944-085486,1933180761-0000085486
Component 00000000093646,00001-00007-93646,00003-27573,1504740820-093646,1274770900-093646,1044800980-0093646,1088617935-093646,90983888-00093646,1203602895-093646,1353483986-0000093646
Component 00000000112450,00002-112450,00002-00005-00002-59932,1226528031-112450,1252406197-112450,1278284363-0112450,334135435-112450,204744605-00112450,321196352-112450,763618869-0000112450
Component 00000000104434,00004-00001-00005-104434,00002-00010-82560,1514062549-104434,464018692-104434,1561458482-0104434,1052801189-104434,2008053180-00104434,504081294-104434,573288177-0000104434
Component 00000000038934,00004-00012-38934,1436259974,274265363-038934,1277610990-038934,133472970-0038934,618146215-038934,2043869021-00038934,1190215225-038934,1714933012-0000038934
Component 00000000058094,00004-00001-00010-58094,00005-00005-20480,800550769-058094,1480808836-058094,13583256-0058094,507070490-058094,1400747449-00058094,1240683280-058094,1725207200-0000058094
Component 00000000005154,00004-00002-00006-5154,00002-00005-20727,1737467952-005154,71045074-005154,552105843-0005154,372853308-005154,115033110-00005154,1206064747-005154,1562103292-0000005154
Component 00000000056130,00004-00009-56130,00003-00005-00001-89038,1910913407-056130,56845323-056130,350260886-0056130,35440860-056130,715846692-00056130,962474902-056130,2044141094-0000056130
Component 00000000045383,00003-00002-45383,00002-35217,1215808300-045383,499876549-045383,1931428445-0045383,1926598552-045383,1211290013-00045383,1210822604-045383,884966477-0000045383
Component 00000000013152,00002-00006-00009-13152,00001-121121,2025449095-013152,587725371-013152,1297485294-0013152,1015325185-013152,1761492864-00013152,1734187047-013152,1820176642-0000013152
Component 00000000122079,00004-00006-00009-122079,00002-00008-82467,605322503-122079,213788329-122079,1969737802-0122079,943267887-122079,753455110-00122079,1139034974-122079,593897264-0000122079
Component 00000000072149,00004-00012-72149,00004-00007-43414,589817283-072149,1804109401-072149,870917872-0072149,1500926537-072149,1871916888-00072149,893780478-072149,481785511-0000072149
Component 00000000052112,00002-00004-00008-52112,00003-00010-100058,841003376-052112,363957245-052112,2034394761-0052112,252844316-052112,490591324-00052112,1565109205-052112,1875263303-0000052112
Component 00000000008133,00003-00006-00008-8133,00012-13090,380902166-008133,1017596003-008133,1654289840-0008133,122040379-008133,1233538488-00008133,877435284-008133,1216960857-0000008133
Component 00000000039302,00002-00004-00003-39302,00001-00001-00006-112001,119424550-039302,1879137746-039302,1491367295-0039302,1713652323-039302,1505020931-00039302,833795725-039302,895765257-0000039302
Component 00000000036180,00004-00001-36180,00006-00003-24625,1760539712-036180,1600960897-036180,1441382082-0036180,1537159949-036180,187570377-00036180,543207533-036180,815696291-0000036180
Component 00000000074195,00002-00004-74195,00003-00006-00001-100673,835242993-074195,1520079250-074195,57431860-0074195,763804929-074195,1634590938-00074195,1495128624-074195,493949131-0000074195
Component 00000000120146,00001-00005-120146,00003-00005-00003-28278,1741524960-120146,1581927961-120146,1422330962-0120146,1517263273-120146,167764621-00120146,523319949-120146,873535345-0000120146
Component 00000000002625,00012-2625,00001-00004-00004-73441,1857708338-002625,773684494-002625,1837144297-0002625,822159432-002625,1947311358-00002625,1364171354-002625,1934510367-0000002625
Component 00000000068826,00001-00002-00004-68826,00002-00003-00010-73902,340646152-068826,1539730203-068826,591330607-0068826,1587905980-068826,2034936666-00068826,2062105778-068826,1568757208-0000068826
Component 00000000118545,00011-118545,00004-00006-107029,120101842-118545,1797184365-118545,1326783241-0118545,927967445-118545,1132489418-00118545,1163168007-118545,68283218-0000118545
Component 00000000117384,00004-00001-00007-117384,00001-00003-00004-74546,872731842-117384,559341981-117384,245952120-0117384,1779450936-117384,1198916594-00117384,862404043-117384,746238772-0000117384
Component 00000000120968,00003-00001-00003-120968,00001-00005-00012-51336,719813791-120968,571358781-120968,422903771-0120968,2109680394-120968,704471797-00120968,36424252-120968,637674616-0000120968
Component 00000000040418,00003-00001-40418,00004-00004-00010-19744,1258723353-040418,1231599836-040418,1204476319-0040418,1016974602-040418,1152592187-00040418,2104278184-040418,425681538-0000040418
Component 00000000105935,00004-00011-105935,00001-00003-00006-1046,1085156646-105935,1940112587-105935,647584881-0105935,674588668-105935,694776257-00105935,1320852521-105935,457545589-0000105935
Component 00000000061228,00003-00006-00011-61228,00001-00006-00001-108226,1861478229-061228,1926143689-061228,1990809149-0061228,702785745-061228,379458445-00061228,670453015-061228,1601984909-0000061228
Component 00000000002127,00002-00006-00008-2127,00002-00010-59472,2051051364-002127,1642674850-002127,1234298336-0002127,1572143258-002127,1466542181-00002127,1776331515-002127,2036674527-0000002127
Component 00000000044463,00003-00006-00003-44463,00003-00006-00003-9428,926125558-044463,1088070731-044463,1250015904-0044463,1264273684-044463,454547819-00044463,109559274-044463,1480438872-0000044463
Component 00000000058505,00006-00005-58505,00003-00003-31993,654572005-058505,1219301370-058505,1784030735-0058505,1200400620-058505,524237442-00058505,1991777761-058505,739197041-0000058505
Component 00000000050313,00003-00004-00003-50313,00003-00006-00005-49678,1980670644-050313,1561845649-050313,1143020654-0050313,2068753033-050313,2015394361-00050313,1204423707-050313,1568375127-0000050313
Component 00000000088273,00003-00003-00003-88273,00002-00005-00001-677,953763745-088273,571494124-088273,189224503-0088273,667298126-088273,431162584-00088273,1932174760-088273,64123355-0000088273
Component 00000000093386,00001-00006-00007-93386,00002-00006-00008-20327,1357795565-093386,2121790934-093386,738302656-0093386,830607139-093386,1305597588-00093386,1522351278-093386,192912300-0000093386
Component 00000000110186,00001-00006-00011-110186,00002-00001-120107,5083448-110186,1089502877-110186,26438659-0110186,2133560050-110186,1006430199-00110186,517608512-110186,1252492114-0000110186
Component 00000000067194,00004-00001-00010-67194,00001-00004-00002-28186,1896717976-067194,914696181-067194,2080158033-0067194,439559329-067194,1054701010-00067194,2004312050-067194,497864393-0000067194
Component 00000000121179,00004-00002-00006-121179,00008-57260,1608674382-121179,382273769-121179,1303356803-0121179,1184044944-121179,873597068-00121179,723503427-121179,686295338-0000121179
Component 00000000064691,00001-00004-00003-64691,00001-00004-81670,1700199642-064691,861050769-064691,21901896-0064691,729926771-064691,630703842-00064691,75759384-064691,355482537-0000064691
Component 00000000109725,00005-109725,00001-00004-00009-107181,2017806286-109725,454981899-109725,1039641159-0109725,309009338-109725,1680680332-00109725,16679708-109725,581107520-0000109725
Component 00000000014046,00001-00004-00006-14046,00003-22568,1634588741-014046,1471435694-014046,1308282647-0014046,1237858726-014046,2053623961-00014046,245693426-014046,887446438-0000014046
Component 00000000093211,00001-00006-00001-93211,00004-00009-15414,1092940198-093211,139818626-093211,1334180701-0093211,2111184190-093211,434341109-00093211,440261329-093211,1174718745-0000093211
Component 00000000024095,00001-00006-24095,00002-00003-00004-56892,541907059-024095,1509323556-024095,329256406-0024095,1290708753-024095,748593562-00024095,1880742328-024095,323310170-0000024095
Component 00000000079849,00004-00003-79849,00004-00006-11914,1471588775-079849,54671608-079849,785238088-0079849,396841056-079849,1038975950-00079849,31557816-079849,245508158-0000079849
Component 00000000059831,00001-00002-00005-59831,00003-00004-00009-69143,292596434-059831,553263532-059831,813930630-0059831,50048805-059831,894196962-00059831,2067198903-059831,1905691128-0000059831
Component 00000000095455,00003-00009-95455,00005-00004-8090,12928562-095455,1227639270-095455,294866331-0095455,944339431-095455,1313236832-00095455,336984077-095455,864741569-0000095455
Component 00000000117541,00001-00004-00008-117541,00003-00012-78935,336750964-117541,461429360-117541,586107756-0117541,2088685876-117541,1465293896-00117541,2026346678-117541,1669507798-0000117541
Component 00000000063255,00003-00010-63255,00003-00006-41450,1773075776-063255,1862761887-063255,1952447998-0063255,754143042-063255,305712487-00063255,1783041810-063255,677793836-0000063255
Component 00000000067359,00004-00005-00006-67359,00003-00011-32823,1403073536-067359,1237462123-067359,1071850710-0067359,887112770-067359,1715169835-00067359,2043660300-067359,2031484571-0000067359
Component 00000000033186,00001-00006-00010-33186,00003-00002-00003-64353,1606315785-033186,622367590-033186,1785903042-0033186,55726738-033186,680500419-00033186,1621442659-033186,1396667801-0000033186
Component 00000000016496,00001-00004-00012-16496,00002-00009-91217,713912062-016496,1026952214-016496,1339992366-0016496,863973905-016496,1446256792-00016496,707453829-016496,1557649852-0000016496
Component 00000000005973,00003-00002-00006-5973,00003-00002-00006-9613,924157286-005973,1161957607-005973,1399757928-0005973,646312796-005973,1604794838-00005973,1601154459-005973,1888968912-0000005973
Component 00000000019976,00001-00005-00008-19976,00002-00008-65060,1710826012-019976,1342447464-019976,974068916-0019976,1024335610-019976,718744703-00019976,1208524884-019976,1814912983-0000019976
Component 00000000045499,00004-00006-00012-45499,00001-00006-00004-38471,1862291520-045499,872018672-045499,2029229471-0045499,1078698626-045499,1735095572-00045499,1573835050-045499,772071772-0000045499
Component 00000000008830,00003-00003-8830,00004-00003-00003-94,781515759-008830,1870232203-008830,811465000-0008830,2044655765-008830,896040839-00008830,1500297543-008830,891540490-0000008830
Component 00000000033915,00011-33915,00005-00006-84740,1568796961-033915,187419423-033915,953525532-0033915,1143979425-033915,1608416174-00033915,1834668194-033915,1668639120-0000033915
Component 00000000116330,00004-00006-116330,00001-00003-00009-45041,1286802981-116330,1467423276-116330,1648043571-0116330,383210877-116330,1627593049-00116330,1366642553-116330,243220268-0000116330
Component 00000000071476,00001-00006-00002-71476,00004-00001-00007-24564,489934526-071476,648904594-071476,807874662-0071476,1757531883-071476,962681543-00071476,1678046849-071476,1013848195-0000071476
Component 00000000090060,00005-00009-90060,00001-00004-00004-50691,944100675-090060,325553273-090060,1854489518-0090060,1009322736-090060,1954576099-00090060,1318596437-090060,61776934-0000090060
Component 00000000060020,00002-00012-60020,00004-00012-74424,28592001-060020,110852468-060020,193112935-0060020,796999180-060020,385696845-00060020,1829610770-060020,1982559233-0000060020
Component 00000000079218,00003-00006-00009-79218,00008-117775,581442589-079218,695121514-079218,808800439-0079218,726161334-079218,157766709-00079218,1743063695-079218,490574246-0000079218
Component 00000000019378,00003-00002-00008-19378,00002-00006-00006-48327,731357318-019378,742714326-019378,754071334-0019378,1282172206-019378,1225387166-00019378,1276493702-019378,1055084718-0000019378
Component 00000000094698,00003-00002-00006-94698,00010-57015,1240647004-094698,174832988-094698,1256502619-0094698,1088274756-094698,2122377542-00094698,1621181764-094698,1399355278-0000094698
Component 00000000094157,00002-00011-94157,00004-00005-00006-41879,1433646332-094157,1917081856-094157,253033733-0094157,1257949129-094157,988255156-00094157,1016231367-094157,1526911123-0000094157
Component 00000000096954,00004-00004-96954,00005-00006-120230,130320378-096954,1839522113-096954,1401240201-0096954,348484116-096954,392410029-00096954,567625072-096954,551211236-0000096954
Component 00000000017617,00002-00005-00002-17617,00004-00003-00004-122594,1354461717-017617,1631914839-017617,1909367961-0017617,1926036252-017617,538770642-00017617,1787309691-017617,1782852727-0000017617
Component 00000000056338,00003-00002-00009-56338,00001-00010-94871,926953756-056338,130285190-056338,1481100271-0056338,943233951-056338,631609487-00056338,1341568234-056338,216121556-0000056338
Component 00000000105086,00001-00002-00007-105086,00001-00005-00011-100826,162346068-105086,199148671-105086,235951274-0105086,873530490-105086,689517475-00105086,1928871012-105086,634765229-0000105086
Component 00000000074880,00001-74880,00002-00001-00002-119862,25905386-074880,2004734207-074880,1836079381-0074880,436080913-074880,1279355043-00074880,520408326-074880,546987630-0000074880
Component 00000000041171,00001-00004-41171,00001-00005-00003-40836,849091149-041171,979206759-041171,1109322369-0041171,717247293-041171,66669243-00041171,652189488-041171,398322079-0000041171
Component 00000000108902,00002-00003-00001-108902,00001-00003-84126,934794487-108902,932629960-108902,930465433-0108902,1903556751-108902,1914379386-00108902,830897191-108902,384194847-0000108902
Component 00000000021028,00003-00007-21028,00004-00001-00002-94564,722159469-021028,144488475-021028,1714301128-0021028,622403671-021028,1363274994-00021028,911239168-021028,1962939179-0000021028
Component 00000000043796,00001-00004-00012-43796,00002-00009-114305,1677926683-043796,1165049497-043796,652172311-0043796,425703279-043796,842605562-00043796,682141872-043796,1907015358-0000043796
Component 00000000068110,00003-68110,00002-00006-00002-53822,949947374-068110,394646219-068110,1986828711-0068110,861386944-068110,1490409072-00068110,65295698-068110,508751691-0000068110
Component 00000000021349,00004-00006-00003-21349,00002-00002-00004-103497,1308848866-021349,1813417681-021349,170502849-0021349,1084374453-021349,709014025-00021349,1905831869-021349,2068551077-0000021349
Component 00000000019184,00004-00004-00009-19184,00002-00005-00009-42922,718920698-019184,1408742779-019184,2098564860-0019184,889295098-019184,1735151987-00019184,1618125881-019184,1912907251-0000019184
Component 00000000048478,00003-00003-00001-48478,00004-00005-00001-121889,292975540-048478,1742319644-048478,1044180101-0048478,1866687880-048478,1062418301-00048478,1142015828-048478,1339535534-0000048478
Component 00000000037744,00004-00005-37744,00001-00002-68406,1715652624-037744,771531000-037744,1974893023-0037744,1022910447-037744,1448551273-00037744,1494971259-037744,1163399224-0000037744
