Component 00000000040663,00003-00012-40663,00002-00001-26560,667039773-040663,2051784525-040663,1289045630-0040663,1255167188-040663,773894369-00040663,562794812-040663,2048927854-0000040663
Component 00000000030386,00001-00006-00005-30386,00001-00006-109486,222474362-030386,587534400-030386,952594438-0030386,748017029-030386,1070200486-00030386,565487010-030386,292972284-0000030386
Component 00000000094728,00003-00004-00010-94728,00001-00003-57905,695161827-094728,964911496-094728,1234661165-0094728,1966860715-094728,618112370-00094728,758244057-094728,1704587554-0000094728
Component 00000000066539,00004-00004-00005-66539,00002-00001-00003-9857,548188186-066539,593542280-066539,638896374-0066539,600378098-066539,373607628-00066539,577701051-066539,1870742207-0000066539
Component 00000000077474,00004-00005-00007-77474,00003-00006-00002-68928,120159471-077474,2056983104-077474,1846323090-0077474,640567027-077474,1693867097-00077474,745897034-077474,748361038-0000077474
Component 00000000023318,00003-00001-00009-23318,00004-00003-00007-35094,637536-023318,1827454112-023318,1506787041-0023318,554411945-023318,10263653-00023318,1788487304-023318,1300719308-0000023318
Component 00000000038299,00004-00002-00001-38299,00001-00004-83941,1077589576-038299,2045853433-038299,866633643-0038299,1867488230-038299,1321136239-00038299,309614478-038299,2139501141-0000038299
Component 00000000028360,00003-00007-28360,00003-00003-00007-52748,1048557234-028360,1938525475-028360,681010069-0028360,188602159-028360,33728248-00028360,817359862-028360,1731512398-0000028360
Component 00000000107791,00001-00005-00008-107791,00004-00006-00010-53024,621088002-107791,1293924523-107791,1966761044-0107791,2115146389-107791,898447431-00107791,704986305-107791,1096633790-0000107791
Component 00000000053836,00001-00006-00003-53836,00004-00001-00005-24809,733758833-053836,1486646541-053836,92050602-0053836,741590672-053836,1272119426-00053836,365146818-053836,1634779834-0000053836
Component 00000000066893,00003-00001-00008-66893,00004-00006-00001-19774,234779611-066893,273357814-066893,311936017-0066893,1032080633-066893,839189618-00066893,2086533355-066893,1590462114-0000066893
Component 00000000003250,00002-3250,00002-00005-00007-90942,781786408-003250,2013607851-003250,1097945647-0003250,1469326101-003250,1752669827-00003250,1927157203-003250,2145872402-0000003250
Component 00000000060778,00003-00004-00003-60778,00003-00004-00010-95638,1022960373-060778,307886571-060778,1740296416-0060778,701619328-060778,2129504691-00060778,1059156229-060778,1516185465-0000060778
Component 00000000109103,00003-00001-00007-109103,00004-00004-00005-89744,477043509-109103,831438200-109103,1185832891-0109103,1559058670-109103,1934568862-00109103,308119501-109103,1566457233-0000109103
Component 00000000078733,00003-00004-00005-78733,00004-00002-00009-104204,2087847643-078733,2053716293-078733,2019584943-0078733,432477168-078733,603133918-00078733,449542843-078733,678634683-0000078733
Component 00000000107570,00001-00008-107570,00002-00006-00009-46822,1475876192-107570,337795550-107570,1347198555-0107570,2113539877-107570,1361492146-00107570,535096551-107570,711370978-0000107570
Component 00000000006719,00004-00006-00011-6719,00002-00004-00005-64537,148273517-006719,2110939005-006719,1926120846-0006719,848269217-006719,1772360012-00006719,2014420120-006719,907536036-0000006719
Component 00000000094847,00002-00004-00012-94847,00002-00005-61222,939329662-094847,293796609-094847,1795747203-0094847,769489473-094847,1849671091-00094847,18514176-094847,2062798763-0000094847
Component 00000000082168,00003-00002-00008-82168,00004-00003-00006-76849,1385745744-082168,381648926-082168,1525035755-0082168,2079173952-082168,657207101-00082168,433738714-082168,1901421645-0000082168
Component 00000000112822,00002-00003-00008-112822,00004-00001-00005-70309,519312729-112822,693248108-112822,867183487-0112822,1438985846-112822,569308951-00112822,278276333-112822,1433161748-0000112822
Component 00000000031401,00001-00006-00006-31401,00004-00003-14339,2124802947-031401,196842200-031401,416365100-0031401,2034245362-031401,936630862-00031401,1924483912-031401,729964117-0000031401
Component 00000000064452,00002-00003-00011-64452,00001-00006-00005-74976,476040224-064452,1971784434-064452,1320044997-0064452,5190411-064452,1116403949-00064452,1404801953-064452,745557629-0000064452
Component 00000000073126,00001-00004-00001-73126,00001-00001-00012-70771,165676224-073126,1773891630-073126,1234623389-0073126,854712123-073126,1403569681-00073126,50604420-073126,2137990800-0000073126
Component 00000000089781,00001-00006-00003-89781,00002-00003-00005-42892,1964934439-089781,1712552448-089781,1460170457-0089781,1535567934-089781,649994242-00089781,588017106-089781,1155362562-0000089781
Component 00000000040768,00003-40768,1436259974,1848435730-040768,1804274058-040768,1760112386-0040768,1854078285-040768,2074886645-00040768,1876159121-040768,2042464039-0000040768
Component 00000000044581,00001-00005-00004-44581,00001-00003-00001-61491,1823445122-044581,2023313359-044581,75697949-0044581,1853378205-044581,854037020-00044581,679702263-044581,111157921-0000044581
Component 00000000087667,00002-00006-00008-87667,00004-00004-00007-107244,1898458940-087667,1669425242-087667,1440391544-0087667,1527742822-087667,525427665-00087667,1642259671-087667,988855380-0000087667
Component 00000000064840,00006-00009-64840,00003-85813,1784867418-064840,2103310718-064840,274270371-0064840,49498292-064840,604765439-00064840,2037760289-064840,205363085-0000064840
Component 00000000040582,00002-00003-00009-40582,00003-00008-24318,366504054-040582,584324707-040582,802145360-0040582,1267129313-040582,178026048-00040582,84477163-040582,1228004835-0000040582
Component 00000000045590,00006-00012-45590,00001-00003-00010-41051,2146843661-045590,755378967-045590,1511397920-0045590,1232799059-045590,1747671588-00045590,1928531406-045590,1223200087-0000045590
Component 00000000103546,00001-00002-00001-103546,00001-00004-00010-57691,1069920493-103546,1163150338-103546,1256380183-0103546,222858858-103546,1904193280-00103546,1249985759-103546,1114681055-0000103546
Component 00000000007311,00001-00003-00005-7311,00004-00004-81085,559367813-007311,1714453073-007311,722054686-0007311,746428101-007311,1413452742-00007311,168885471-007311,1557872860-0000007311
Component 00000000101124,00004-00002-00010-101124,00003-00007-113445,998462528-101124,1623816758-101124,101687341-0101124,1263371625-101124,284084122-00101124,950694510-101124,585294473-0000101124
Component 00000000114418,00003-00003-00005-114418,00003-00010-115073,1780182054-114418,1315375939-114418,850569824-0114418,1785663770-114418,1962210698-00114418,944325004-114418,399141498-0000114418
Component 00000000099644,00004-00006-00012-99644,00002-00006-00009-36812,1279878749-099644,1942242097-099644,457121798-0099644,1192246422-099644,27913329-00099644,861064748-099644,1388172618-0000099644
Component 00000000010825,00003-00009-10825,00003-00001-55940,1249691729-010825,260941180-010825,1419674278-0010825,1613672160-010825,114973964-00010825,1034305611-010825,777145570-0000010825
Component 00000000018485,00005-00012-18485,00004-00001-25494,920225150-018485,1962488410-018485,857268023-0018485,2077869379-018485,1161520373-00018485,1556737749-018485,1630565229-0000018485
Component 00000000111682,00002-00004-00012-111682,00001-00008-38410,121128852-111682,1669663106-111682,1070713713-0111682,63112526-111682,910375844-00111682,1436329046-111682,580338220-0000111682
Component 00000000092476,00001-00006-00007-92476,00002-00006-00004-3982,205265156-092476,1744699759-092476,1136650715-0092476,779657580-092476,1672419153-00092476,1083682102-092476,830150401-0000092476
Component 00000000078912,00002-00001-00002-78912,00003-00001-00008-109208,566643065-078912,1257834915-078912,1949026765-0078912,1877193085-078912,568717482-00078912,1531597160-078912,1336060280-0000078912
Component 00000000029903,00003-00006-00003-29903,00003-00005-95945,1696102472-029903,1449682128-029903,1203261784-0029903,482134023-029903,1714235743-00029903,605344195-029903,749008217-0000029903
Component 00000000043212,00002-00001-43212,00002-00004-97972,725337121-043212,86905600-043212,1595957726-0043212,899921234-043212,1944595192-00043212,145395171-043212,184517382-0000043212
Component 00000000102126,00001-00003-00011-102126,00003-00006-00006-17933,968981939-102126,1435986871-102126,1902991803-0102126,2143884671-102126,1956343658-00102126,1910382205-102126,448073330-0000102126
Component 00000000054801,00001-00005-00006-54801,00002-00006-00009-51827,857257573-054801,98375160-054801,1486976394-0054801,1632424365-054801,1131869136-00054801,938123748-054801,571235652-0000054801
Component 00000000120574,00004-00006-00012-120574,00003-40313,1378033605-120574,1158797102-120574,939560599-0120574,408739621-120574,1504922136-00120574,1592099696-120574,1422838056-0000120574
Component 00000000089107,00002-00004-00005-89107,00001-00001-24011,1846382189-089107,168746117-089107,638593692-0089107,2085411283-089107,1883657055-00089107,776745672-089107,1225556156-0000089107
Component 00000000114601,00001-00004-00006-114601,00002-00003-00004-120137,766973644-114601,243085126-114601,1866680255-0114601,1128184285-114601,1600143228-00114601,1390128544-114601,715440698-0000114601
Component 00000000050678,00003-00005-00004-50678,00002-00005-00002-59932,358120033-050678,1268310176-050678,31016672-0050678,478927205-050678,222943784-00050678,1097573957-050678,1715855700-0000050678
Component 00000000090004,00004-00005-00005-90004,00001-00002-00003-49156,1341845589-090004,732530794-090004,123215999-0090004,781107266-090004,1680197594-00090004,12022840-090004,660631979-0000090004
Component 00000000073696,00001-00012-73696,00003-00006-00002-86673,1585268223-073696,1180441856-073696,775615489-0073696,204800423-073696,81448611-00073696,1480955430-073696,1307522214-0000073696
Component 00000000098610,00001-00005-98610,00001-00003-00003-43046,1561325380-098610,1995450181-098610,282091335-0098610,67799935-098610,44659577-00098610,924479358-098610,1832016927-0000098610
Component 00000000018530,00001-00005-18530,00006-00003-24625,1580434376-018530,1566979766-018530,1553525156-0018530,927885791-018530,995158841-00018530,934613096-018530,2081576122-0000018530
Component 00000000004092,00002-00004-00010-4092,00004-00004-00011-114489,1421259954-004092,1859888934-004092,151034267-0004092,1219929014-004092,1174267761-00004092,1000614524-004092,2074959469-0000004092
Component 00000000101421,00001-00005-00008-101421,00001-00001-00008-121766,559810607-101421,1448037356-101421,188780458-0101421,1762876817-101421,1616710366-00101421,245021619-101421,419418956-0000101421
Component 00000000013586,00001-00006-00001-13586,00004-00004-00010-9734,667318207-013586,1573782648-013586,332763442-0013586,607428832-013586,370073921-00013586,1227938435-013586,966290992-0000013586
Component 00000000047588,00003-00002-00008-47588,00004-00002-00005-96959,551971037-047588,200894898-047588,1997302406-0047588,1778389295-047588,1386286343-00047588,880185541-047588,855656375-0000047588
Component 00000000053164,00004-00006-00007-53164,00001-6020,702006118-053164,39559797-053164,1524597123-0053164,1859356078-053164,876620389-00053164,1116837415-053164,1100046075-0000053164
Component 00000000056971,00001-00005-00005-56971,00004-00005-112585,325415225-056971,345769282-056971,366123339-0056971,238845166-056971,137074881-00056971,1302409961-056971,153255022-0000056971
Component 00000000102388,00003-00006-102388,00001-00003-00003-25301,1407232745-102388,1403961374-102388,1400690003-0102388,174829428-102388,191186283-00102388,1250206937-102388,606686802-0000102388
Component 00000000043424,00004-00003-00004-43424,00002-00008-68700,1965537872-043424,946107956-043424,2074161687-0043424,1915310827-043424,570009466-00043424,277542138-043424,501722830-0000043424
Component 00000000016949,00004-00002-00010-16949,00001-00009-103866,1133396398-016949,48618482-016949,1111324213-0016949,61275000-016949,1190197286-00016949,603663958-016949,1522283848-0000016949
Component 00000000080163,00003-00006-00005-80163,00002-00005-20727,931935012-080163,728031577-080163,524128142-0080163,706294826-080163,1725812001-00080163,1881988367-080163,916106018-0000080163
Component 00000000083531,00001-00006-83531,00001-00001-115011,1907054966-083531,1149577269-083531,392099572-0083531,602866837-083531,95288028-00083531,2055347509-083531,1331959518-0000083531
Component 00000000109054,00004-00001-00010-109054,00003-00004-00006-88393,1824349191-109054,562270940-109054,1447676336-0109054,1816837957-109054,1684778271-00109054,1374135259-109054,1472343021-0000109054
Component 00000000099455,00006-00005-99455,00002-00005-00010-66687,935069990-099455,2113818800-099455,1145083963-0099455,122328806-099455,671035697-00099455,1680438048-099455,283116873-0000099455
Component 00000000118158,00003-00005-00001-118158,00001-00004-00004-96191,286085585-118158,270378928-118158,254672271-0118158,598054544-118158,676587829-00118158,1679649696-118158,622588034-0000118158
Component 00000000070965,00006-00011-70965,1436259974,1174261621-070965,1752947784-070965,184150300-0070965,249511292-070965,1651047771-00070965,1033910034-070965,1480002223-0000070965
Component 00000000062347,00002-00005-00012-62347,00004-00006-16029,1936408936-062347,2087321856-062347,90751129-0062347,665750968-062347,2058670015-00062347,590294508-062347,1415862051-0000062347
Component 00000000010125,00003-00011-10125,00004-00003-00006-36354,1967481609-010125,1026220104-010125,84958599-0010125,339713380-010125,751053611-00010125,1884085956-010125,1195155115-0000010125
Component 00000000090551,00001-00006-00006-90551,,1121917996-090551,515389246-090551,2056344143-0090551,1770044679-090551,507721135-00090551,2073309054-090551,591805444-0000090551
Component 00000000070491,00001-00001-00005-70491,00001-00001-00009-120506,1804156464-070491,489392115-070491,1322111413-0070491,1388853124-070491,1520223928-00070491,972493475-070491,218949089-0000070491
Component 00000000089290,00005-00006-89290,00003-00006-00009-29168,2142554395-089290,195101544-089290,395132340-0089290,1106629766-089290,106475786-00089290,1006614368-089290,156796554-0000089290
Component 00000000069788,00003-00005-00004-69788,00001-00005-00011-100826,1080490368-069788,977178847-069788,873867326-0069788,1438590717-069788,1955148322-00069788,416504654-069788,444466801-0000069788
Component 00000000090212,00002-00003-00005-90212,00003-00001-00007-54958,2078454772-090212,499838880-090212,1068706635-0090212,677511655-090212,2128140174-00090212,1466819601-090212,678353204-0000090212
Component 00000000106232,00002-00009-106232,1436259974,311741026-106232,889659099-106232,1467577172-0106232,1497221979-106232,755115261-00106232,134521119-106232,557521645-0000106232
Component 00000000098772,00002-00002-00011-98772,00004-00010-47590,85150598-098772,1563804417-098772,894974589-0098772,2006642292-098772,1055824138-00098772,193573559-098772,625609150-0000098772
Component 00000000110730,00004-00009-110730,00001-00003-11791,2108701779-110730,1680417823-110730,1252133867-0110730,664282736-110730,658218869-00110730,878424714-110730,1361222629-0000110730
Component 00000000041015,00002-41015,00002-00012-36477,289178291-041015,1069082330-041015,1848986369-0041015,533560360-041015,929007459-00041015,1217350164-041015,1776648439-0000041015
Component 00000000101433,00003-00003-00007-101433,00004-00003-00008-122104,908752342-101433,1540711988-101433,25187987-0101433,1494024115-101433,481709532-00101433,1178044292-101433,1719831148-0000101433
Component 00000000072115,00001-00004-72115,00004-00004-00010-42494,927054577-072115,572495295-072115,217936013-0072115,910798576-072115,536111339-00072115,1088078217-072115,2085785640-0000072115
Component 00000000000211,00001-00001-00003-211,00002-00001-00004-5867,897028961-000211,1936388449-000211,828264290-0000211,1913840248-000211,1012010102-00000211,1394160504-000211,1923838768-0000000211
Component 00000000104808,00003-00004-00002-104808,00004-00001-00005-93059,1137529452-104808,2016732985-104808,748452871-0104808,1902969686-104808,1801919315-00104808,389626096-104808,717652066-0000104808
Component 00000000118048,00003-00008-118048,00001-00002-00006-93151,1284933634-118048,1305951303-118048,1326968972-0118048,1230548757-118048,1125460412-00118048,146298099-118048,970437500-0000118048
Component 00000000038818,00003-00003-38818,00003-00003-00005-98493,110172811-038818,1581302845-038818,904949232-0038818,593019109-038818,1827303527-00038818,2004937739-038818,75500513-0000038818
Component 00000000021354,00004-00004-00008-21354,00002-00003-00003-103652,2024537379-021354,16038755-021354,155023778-0021354,1249118230-021354,554193115-00021354,105883895-021354,284244376-0000021354
Component 00000000053786,00001-00005-00005-53786,00004-00002-00009-85094,1799513795-053786,1108601534-053786,417689273-0053786,1576265665-053786,735859676-00053786,847979972-053786,707467746-0000053786
Component 00000000067139,00004-00002-00007-67139,00003-00006-00007-26683,566768819-067139,1515817841-067139,317383216-0067139,1498489799-067139,1048211983-00067139,1023965288-067139,1143475196-0000067139
Component 00000000009657,00002-00004-00011-9657,00004-00004-00009-15544,1996988261-009657,766751083-009657,1683997552-0009657,312543597-009657,21278546-00009657,927662186-009657,830428967-0000009657
Component 00000000083603,00003-00002-83603,00001-00001-00006-117006,1607284828-083603,1724091793-083603,1840898758-0083603,1903713513-083603,1319678688-00083603,771568207-083603,65967237-0000083603
Component 00000000115942,00002-00001-00008-115942,00003-00006-00009-34173,1771839898-115942,535801628-115942,1447247005-0115942,1953525919-115942,1691266328-00115942,424061407-115942,2057473361-0000115942
Component 00000000011622,00002-00002-11622,00002-00002-00002-78262,278261366-011622,1132099589-011622,1985937812-0011622,1960967712-011622,1986743891-00011622,460306777-011622,1950800329-0000011622
Component 00000000078687,00002-00011-78687,00001-00007-102915,1861303706-078687,94552336-078687,475284613-0078687,2073208141-078687,169546756-00078687,809100179-078687,1213105897-0000078687
Component 00000000085132,00002-00005-00008-85132,00001-00003-00008-36291,374760715-085132,675564911-085132,976369107-0085132,2078862339-085132,574841359-00085132,1928460241-085132,1273586603-0000085132
Component 00000000080628,00003-00002-00002-80628,00002-00002-00007-33742,624586083-080628,1178467026-080628,1732347969-0080628,644266231-080628,22345163-00080628,1441067583-080628,831750810-0000080628
Component 00000000085077,00002-00006-00005-85077,00002-00006-00011-13362,621377130-085077,790169316-085077,958961502-0085077,217863563-085077,1521386280-00085077,133467470-085077,1027617390-0000085077
Component 00000000032077,00002-00003-00006-32077,00003-00005-00003-33283,451768229-032077,1043692792-032077,1635617355-0032077,169080300-032077,1504424779-00032077,946859842-032077,900433778-0000032077
Component 00000000014840,00007-14840,00001-00005-00002-44826,1449529723-014840,1191857320-014840,934184917-0014840,763578236-014840,2051940251-00014840,1966156261-014840,628198898-0000014840
Component 00000000119470,00001-119470,00001-00002-00010-9396,582274313-119470,633972854-119470,685671395-0119470,2015911728-119470,1757419023-00119470,916320634-119470,1957727902-0000119470
Component 00000000010506,00001-00006-00002-10506,00001-00006-00007-46976,1180442179-010506,126066784-010506,1219175036-0010506,509101226-010506,1486010907-00010506,2110030747-010506,296874043-0000010506
Component 00000000028501,00001-00004-00005-28501,00003-00006-00011-56678,693075018-028501,285051954-028501,2024512537-0028501,231309237-028501,123940910-00028501,435320769-028501,1391391028-0000028501
Component 00000000058740,00003-00006-58740,00003-00005-38563,567726123-058740,1594765261-058740,474320752-0058740,987000435-058740,146772039-00058740,473480866-058740,297677630-0000058740
Component 00000000001740,00004-00011-1740,00003-00004-48633,1426945489-001740,1750654-001740,724039466-0001740,2098214519-001740,634254106-00001740,1737070113-001740,1623688123-0000001740
Component 00000000073876,00001-00005-00010-73876,00003-91770,1148425913-073876,2037459767-073876,779009974-0073876,1316894892-073876,1166692916-00073876,872377965-073876,2107456794-0000073876
Component 00000000067071,00001-00004-00004-67071,00004-00006-00001-24779,706651831-067071,777839510-067071,849027189-0067071,938028792-067071,582090397-00067071,1976176776-067071,975036928-0000067071
Component 00000000119943,00003-00005-00005-119943,00004-00005-00009-22629,1960318125-119943,1522385728-119943,1084453331-0119943,1121691517-119943,1163869855-00119943,266915892-119943,353902734-0000119943
Component 00000000104885,00004-00001-104885,00003-00001-00009-95208,1696611654-104885,1864260554-104885,2031909454-0104885,1237648716-104885,399404216-00104885,1153824266-104885,267114658-0000104885
Component 00000000096704,00004-00006-00010-96704,00005-113230,1103420546-096704,768314-096704,1045599729-0096704,1311878469-096704,382688688-00096704,1863204585-096704,31112292-0000096704
Component 00000000122962,00002-00008-122962,00001-00004-00009-107181,4149156-122962,2032600636-122962,1913568469-0122962,1747281821-122962,194959009-00122962,733056081-122962,159378264-0000122962
Component 00000000078346,00001-00002-00008-78346,00001-93366,403004396-078346,1546709761-078346,542931479-0078346,1111881600-078346,1835805716-00078346,1613770741-078346,733537054-0000078346
Component 00000000011848,00003-00004-00005-11848,00002-00001-84617,1055913259-011848,1725414418-011848,247431930-0011848,240722942-011848,1188184441-00011848,979714186-011848,881617211-0000011848
Component 00000000076582,00002-00002-00012-76582,00001-00004-00009-43936,146730844-076582,786171947-076582,1425613050-0076582,21111458-076582,1118873237-00076582,775132730-076582,824689881-0000076582
Component 00000000076753,00003-00005-00001-76753,00003-00005-00012-48788,648346100-076753,2130753174-076753,1465676601-0076753,1678128838-076753,708544409-00076753,936925301-076753,1069420212-0000076753
Component 00000000050340,00003-00004-50340,00001-00006-00010-50476,1790016663-050340,1471563173-050340,1153109683-0050340,1377407927-050340,822191730-00050340,1536634672-050340,465349108-0000050340
Component 00000000070438,00003-00004-00004-70438,00003-00003-00001-119003,770042844-070438,2044896093-070438,1172265695-0070438,1397141481-070438,1465326177-00070438,1833456680-070438,755284079-0000070438
Component 00000000083674,00004-00003-00006-83674,00003-00005-00005-119033,662217044-083674,938540365-083674,1214863686-0083674,105254407-083674,871121449-00083674,1040834570-083674,1462749582-0000083674
Component 00000000023482,00002-00004-00004-23482,00005-00002-39730,1910518988-023482,1175679643-023482,440840298-0023482,1704290931-023482,1083520362-00023482,997968780-023482,1601642278-0000023482
Component 00000000026921,00001-00006-00011-26921,00003-00003-00005-12498,1877903097-026921,1011546207-026921,145189317-0026921,661783225-026921,698600381-00026921,1094961670-026921,731851898-0000026921
Component 00000000013049,00004-00001-00010-13049,00004-00004-00012-118234,786757109-013049,1253648647-013049,1720540185-0013049,1956160232-013049,1769186189-00013049,1722714463-013049,1046959844-0000013049
Component 00000000018504,00004-00003-00005-18504,00004-00005-00008-23889,1293724006-018504,2082339397-018504,723471141-0018504,1960606647-018504,165013339-00018504,492557128-018504,414463671-0000018504
Component 00000000045817,00002-00002-00005-45817,00006-00003-47375,1295109792-045817,820401734-045817,345693676-0045817,1894089096-045817,2120145739-00045817,2131443125-045817,1871082289-0000045817
Component 00000000039539,00004-00003-00006-39539,00003-00001-00010-62553,93833082-039539,138188196-039539,182543310-0039539,97572464-039539,2023280541-00039539,75394907-039539,1563694591-0000039539
Component 00000000106557,00002-00003-00009-106557,00004-00003-18424,1355905840-106557,826825185-106557,297744530-0106557,391556013-106557,889475641-00106557,1729838164-106557,2146806721-0000106557
Component 00000000076056,00001-00001-00006-76056,00001-00001-00011-29261,1634783773-076056,1628513084-076056,1622242395-0076056,256913533-076056,288266978-00076056,1333790701-076056,50911691-0000076056
Component 00000000085476,00001-00006-00001-85476,00002-00003-117897,1206822594-085476,1414107937-085476,1621393280-0085476,1596485318-085476,560058603-00085476,419100823-085476,800430839-0000085476
Component 00000000091222,00002-00005-00001-91222,00004-00004-00008-83234,986133812-091222,159815545-091222,1480980925-0091222,638145332-091222,474769373-00091222,2125046289-091222,419005190-0000091222
Component 00000000012361,00001-00006-00011-12361,00004-00002-00011-98954,1967013912-012361,1587229017-012361,1207444122-0012361,1801057504-012361,1552498332-00012361,917208128-012361,573926293-0000012361
Component 00000000117891,00001-00004-00007-117891,00005-00005-88730,90636887-117891,1371448668-117891,504776802-0117891,1006724326-117891,1045116362-00117891,1440060259-117891,2137976941-0000117891
Component 00000000120992,00002-00004-00001-120992,00001-00003-00002-52041,823614115-120992,1964238637-120992,957379512-0120992,309328610-120992,1048656941-00120992,1886499996-120992,1135572798-0000120992
Component 00000000106897,00002-00011-106897,00002-00009-27972,716830068-106897,161589355-106897,1753832289-0106897,631201075-106897,1259920993-00106897,1982563255-106897,1873364018-0000106897
Component 00000000080516,00001-00002-00007-80516,00001-00005-00005-30581,1668782300-080516,1490447879-080516,1312113458-0080516,535755646-080516,1427427751-00080516,1698664680-080516,1293956065-0000080516
Component 00000000080759,00004-00003-80759,00002-00003-00009-37397,1537791430-080759,1263611391-080759,989431352-0080759,51219597-080759,1422119792-00080759,1262051440-080759,364609763-0000080759
Component 00000000017983,00003-00004-17983,00002-00010-9305,928386945-017983,2092692218-017983,1109513844-0017983,488876040-017983,1109800616-00017983,980465227-017983,811772276-0000017983
Component 00000000102277,00002-00006-102277,00003-00004-00012-22138,152394126-102277,468492735-102277,784591344-0102277,1524532957-102277,2091523559-00102277,292741829-102277,810296559-0000102277
Component 00000000012541,00001-00004-00009-12541,00004-00004-00002-103989,1601281698-012541,1014675082-012541,428068466-0012541,1068148233-012541,1853697666-00012541,1361451541-012541,1768630248-0000012541
Component 00000000110558,00003-00006-110558,00001-00006-00003-6971,270174546-110558,2044510822-110558,1671363451-0110558,426138052-110558,144391260-00110558,1686453561-110558,160255425-0000110558
Component 00000000081729,00004-00004-00011-81729,00002-00007-112730,1231749486-081729,1285992151-081729,1340234816-0081729,641293268-081729,370079943-00081729,1687913759-081729,1854130210-0000081729
Component 00000000046659,00004-00004-00002-46659,00003-00001-00012-70953,79168553-046659,645720332-046659,1212272111-0046659,713384247-046659,28108999-00046659,1503850181-046659,877070793-0000046659
Component 00000000001290,00002-00003-1290,00002-00006-00002-36077,1201546752-001290,1361868668-001290,1522190584-0001290,387225090-001290,1733099157-00001290,307064132-001290,508144840-0000001290
Component 00000000063827,00002-00001-00010-63827,00001-00006-00003-57476,706928832-063827,1232625517-063827,1758322202-0063827,1507156114-063827,1026156336-00063827,170565948-063827,272798459-0000063827
Component 00000000051807,00002-00002-51807,00004-00001-00008-91554,433582549-051807,350622375-051807,267662201-0051807,704981404-051807,1119782274-00051807,746461491-051807,1449411803-0000051807
Component 00000000049023,00003-00002-49023,00002-00006-13572,1608621935-049023,1597924430-049023,1587226925-0049023,16051119-049023,69538644-00049023,1095141695-049023,2031720316-0000049023
Component 00000000088010,00006-88010,00004-00003-00010-116854,254365916-088010,1984714232-088010,1567578901-0088010,424397009-088010,362590017-00088010,1706706498-088010,1026182691-0000088010
Component 00000000105710,00003-00007-105710,00004-118265,1677618521-105710,1491930231-105710,1306241941-0105710,1261671044-105710,42628847-00105710,1354515189-105710,1971826470-0000105710
Component 00000000087080,00006-87080,00004-00001-00001-90819,130949442-087080,1053155360-087080,1975361278-0087080,1908263525-087080,1592201229-00087080,1447160566-087080,754985907-0000087080
Component 00000000027614,00004-00006-00002-27614,00004-00001-00011-31809,1399229436-027614,628852146-027614,2005958503-0027614,543152870-027614,100072026-00027614,928341515-027614,753110125-0000027614
Component 00000000066445,00001-00002-66445,00003-00005-00007-106958,179093389-066445,278141953-066445,377190517-0066445,687981449-066445,192738629-00066445,638457167-066445,1475521634-0000066445
Component 00000000103976,00001-00005-00002-103976,00001-00006-00007-69726,1201609194-103976,2030991156-103976,712889471-0103976,624445058-103976,772502542-00103976,209754077-103976,447341743-0000103976
Component 00000000060728,00003-00003-00005-60728,00008-97755,926743793-060728,639556057-060728,352368321-0060728,2030524126-060728,1318979159-00060728,26634347-060728,144158544-0000060728
Component 00000000110964,00004-00009-110964,00004-18330,329705470-110964,1160482922-110964,1991260374-0110964,1967706246-110964,2108786280-00110964,1552317520-110964,2094978642-0000110964
Component 00000000005319,00004-00006-00002-5319,00001-00003-00003-25301,1672453658-005319,383071985-005319,1241173959-0005319,340726457-005319,345183881-00005319,2059159117-005319,1847464292-0000005319
Component 00000000027219,00004-00003-00010-27219,00001-00003-00012-20786,112269238-027219,848143546-027219,1584017854-0027219,1442434824-027219,2058030578-00027219,1074497670-027219,1139994064-0000027219
Component 00000000010213,00003-00008-10213,00004-00001-00004-38809,2057971169-010213,1170904540-010213,283837911-0010213,911170779-010213,1051536630-00010213,280962270-010213,198478337-0000010213
Component 00000000072721,00001-00005-00012-72721,00004-00012-59409,49433594-072721,531395488-072721,1013357382-0072721,1949748983-072721,1687423160-00072721,1708768036-072721,1664506339-0000072721
Component 00000000054870,00004-00010-54870,00001-00001-00006-53761,199777117-054870,836949579-054870,1474122041-0054870,1037870466-054870,2146975450-00054870,719284235-054870,1542360877-0000054870
Component 00000000052995,00005-00007-52995,00001-00006-00009-1231,1264662926-052995,401085926-052995,1684992573-0052995,183367719-052995,206285425-00052995,615156219-052995,1179331561-0000052995
Component 00000000030590,00001-30590,00001-00004-00003-115196,1126095281-030590,1909229665-030590,544880402-0030590,453407259-030590,832702633-00030590,61840067-030590,1911939477-0000030590
Component 00000000012180,00012-12180,00003-00006-00006-93918,2102093832-012180,2108786465-012180,2115479098-0012180,1352944709-012180,1319481544-00012180,275856569-012180,373986666-0000012180
Component 00000000035172,00002-00004-00007-35172,00004-00002-00003-119954,1462054642-035172,1778934380-035172,2095814118-0035172,1798336406-035172,213937716-00035172,1639896537-035172,114081524-0000035172
Component 00000000113185,00002-00007-113185,00001-00001-00005-80501,1554937271-113185,2092501085-113185,482581252-0113185,1856978486-113185,1316643063-00113185,1588196579-113185,334639323-0000113185
Component 00000000005642,00002-5642,00002-00001-00011-34357,1415665066-005642,1898643096-005642,234137479-0005642,1217779404-005642,950372901-00005642,976290389-005642,1045128553-0000005642
