Component 00000000083064,00004-00002-00007-83064,00001-00002-00007-101901,1600831610-083064,451981592-083064,1450615221-0083064,1716180559-083064,1017979708-00083064,143121921-083064,976712288-0000083064
Component 00000000030112,00002-00005-00004-30112,00004-00006-00002-101779,290443826-030112,1241185204-030112,44442935-0030112,1304244072-030112,845504476-00030112,828873383-030112,2009651944-0000030112
Component 00000000088591,00001-00006-00009-88591,00001-00004-9611,1420620148-088591,1483716072-088591,1546811996-0088591,185805168-088591,2017809195-00088591,154257206-088591,723966376-0000088591
Component 00000000036880,00004-00012-36880,00002-00002-00003-58347,914870148-036880,1518856895-036880,2122843642-0036880,1217198143-036880,344748055-00036880,1988946593-036880,835458530-0000036880
Component 00000000076911,00001-00002-00003-76911,00002-00004-00002-106082,1689908341-076911,1772389577-076911,1854870813-0076911,1395280993-076911,982874813-00076911,1354040375-076911,500258283-0000076911
Component 00000000070323,00003-00001-00006-70323,00003-00004-115808,2121273945-070323,1211749415-070323,302224885-0070323,959007180-070323,1211662536-00070323,1413769445-070323,1835525995-0000070323
Component 00000000121695,00002-121695,00003-00008-71690,869176853-121695,1924640473-121695,832620446-0121695,519554895-121695,1684687736-00121695,2139306732-121695,415028883-0000121695
Component 00000000064458,00003-00002-00004-64458,00006-00003-75130,728025396-064458,1496325559-064458,117142075-0064458,409619479-064458,863085958-00064458,1099211221-064458,867021760-0000064458
Component 00000000058141,00001-00006-00005-58141,00001-00005-00004-21831,2102474227-058141,1632883292-058141,1163292357-0058141,1875892173-058141,2076363201-00058141,1036945817-058141,1991971086-0000058141
Component 00000000010084,00004-00004-00009-10084,00002-00005-00009-35187,1270563609-010084,165185086-010084,1207290210-0010084,273054595-010084,1504979916-00010084,1899485680-010084,98353462-0000010084
Component 00000000031665,00004-00010-31665,00004-00004-00003-21739,1203982529-031665,2023961862-031665,696457548-0031665,1244532710-031665,1439603339-00031665,1908284867-031665,1388094032-0000031665
Component 00000000106344,00004-00004-106344,00003-00003-00005-12498,909981727-106344,2145102539-106344,1232739704-0106344,683798993-106344,950645874-00106344,66238587-106344,661884608-0000106344
Component 00000000079896,00001-00005-00011-79896,00003-00001-00008-13203,217364394-079896,217614019-079896,217863644-0079896,1303213030-079896,1301964905-00079896,229346394-079896,609974558-0000079896
Component 00000000070172,00002-00004-00011-70172,00002-00006-00006-111572,473447160-070172,955526839-070172,1437606518-0070172,1305733298-070172,1042818550-00070172,2138435282-070172,1127056732-0000070172
Component 00000000076433,00003-00006-76433,00003-00004-39823,831871104-076433,811622609-076433,791374114-0076433,923560920-076433,1024803395-00076433,2007426991-076433,47225282-0000076433
Component 00000000005579,00004-00002-5579,00002-00003-00007-32637,1365370444-005579,1974690958-005579,436527825-0005579,852644315-005579,2101009039-00005579,547984058-005579,406603952-0000005579
Component 00000000029815,00002-00006-29815,00002-93457,1797657483-029815,91420072-029815,532666308-0029815,1723263459-029815,1664515926-00029815,1502640341-029815,832720149-0000029815
Component 00000000009622,00002-00004-00002-9622,00001-00006-00001-22231,1731833729-009622,1417066347-009622,1102298965-0009622,1498001231-009622,924354494-00009622,1655384922-009622,136268194-0000009622
Component 00000000073901,00001-00002-00009-73901,00003-00002-92445,48812385-073901,1052069795-073901,2055327205-0073901,1462156536-073901,740836780-00073901,960527831-073901,146369322-0000073901
Component 00000000099015,00007-99015,00006-00009-54375,438114683-099015,1348718426-099015,111838522-0099015,578981455-099015,320930034-00099015,1197421407-099015,2001593602-0000099015
Component 00000000117004,00004-00006-00004-117004,00003-00006-00002-63923,2093258442-117004,578919989-117004,1212065183-0117004,588545646-117004,1717786970-00117004,271973049-117004,530554740-0000117004
Component 00000000072882,00002-00005-00004-72882,00003-00006-00002-63923,562310320-072882,1143381061-072882,1724451802-0072882,1900695671-072882,1142825613-00072882,536418477-072882,1130829357-0000072882
Component 00000000048166,00001-00006-00001-48166,00003-00004-00012-113138,979316534-048166,1333944170-048166,1688571806-0048166,998887704-048166,1373233171-00048166,821573886-048166,2023546310-0000048166
Component 00000000060265,00002-00010-60265,00007-81270,1657881627-060265,586243542-060265,1662089104-0060265,149300209-060265,1212523340-00060265,1758861075-060265,1099131799-0000060265
Component 00000000095227,00002-00006-00002-95227,00001-00002-71905,1411385932-095227,128202817-095227,992503349-0095227,380288794-095227,353753428-00095227,2095622175-095227,954691541-0000095227
Component 00000000011631,00001-00004-00009-11631,00003-00005-00005-78538,1615930056-011631,2056951009-011631,350488315-0011631,456867983-011631,399246865-00011631,1310099330-011631,764412603-0000011631
Component 00000000006870,00003-00006-6870,00004-00004-68744,1900981002-006870,1115460203-006870,329939404-0006870,1384186073-006870,1016822774-00006870,703204649-006870,1055455511-0000006870
Component 00000000041701,00001-00002-00010-41701,00001-00012-55665,1416409641-041701,2019832747-041701,475772206-0041701,617659224-041701,1895510988-00041701,315947671-041701,702282824-0000041701
Component 00000000095347,00002-00005-95347,00002-00004-75222,1024998806-095347,486016296-095347,2094517433-0095347,654150835-095347,1201579738-00095347,923642090-095347,1024177447-0000095347
Component 00000000015278,00003-00004-00003-15278,00002-00006-00007-57077,547084298-015278,357460312-015278,167836326-0015278,2087739212-015278,888375495-00015278,35067558-015278,515587522-0000015278
Component 00000000046069,00004-00002-00010-46069,00001-00004-00005-54436,123110455-046069,1105514368-046069,2087918281-0046069,1598801825-046069,981749554-00046069,33858045-046069,1003377123-0000046069
Component 00000000112734,00004-00006-00011-112734,00003-00004-00010-67883,945015242-112734,1986685636-112734,880872383-0112734,2073905470-112734,1160520794-00112734,1553070273-112734,737666836-0000112734
Component 00000000009586,00001-00003-00005-9586,00003-00003-00006-21248,1808325210-009586,2060621737-009586,165434617-0009586,86063064-009586,972064076-00009586,1033656624-009586,84302417-0000009586
Component 00000000031754,00004-00002-00008-31754,00001-00006-00007-24226,1531784172-031754,1913471354-031754,147674889-0031754,716259676-031754,955307413-00031754,525416085-031754,2056531266-0000031754
Component 00000000088343,00003-00003-00008-88343,00002-00003-00003-2642,5402635-088343,836507931-088343,1667613227-0088343,1659303845-088343,1798744659-00088343,1243751197-088343,1633112455-0000088343
Component 00000000031017,00002-00012-31017,00004-00003-00006-3594,111351591-031017,505361502-031017,899371413-0031017,967221275-031017,1144655367-00031017,1843958143-031017,76567052-0000031017
Component 00000000093933,00003-00008-93933,00001-00002-35646,1060915186-093933,396565479-093933,1879699419-0093933,2125950925-093933,1152732166-00093933,1384383955-093933,318851766-0000093933
Component 00000000044540,00006-00002-44540,00002-00003-00002-11637,866221074-044540,1118968979-044540,1371716884-0044540,1313334408-044540,49594883-00044540,113218632-044540,590799689-0000044540
Component 00000000052055,00003-00003-52055,00003-00003-00005-98493,501082044-052055,230174070-052055,2106749743-0052055,246947187-052055,1601487057-00052055,382401174-052055,365014748-0000052055
Component 00000000037118,00003-00004-00003-37118,00006-00006-50875,1068714178-037118,1454786854-037118,1840859530-0037118,465886141-037118,683006408-00037118,272849803-037118,1863742889-0000037118
Component 00000000034529,00004-00005-00001-34529,00003-00006-101933,518145381-034529,309611205-034529,101077029-0034529,1141656080-034529,36843313-00034529,1245923168-034529,1065668099-0000034529
Component 00000000034803,00003-00006-00002-34803,00003-00002-00005-109608,1749133867-034803,1743227565-034803,1737321263-0034803,1462678220-034803,1492209730-00034803,1465631371-034803,1753126065-0000034803
Component 00000000046286,00001-00002-00006-46286,60515,740923757-046286,1036785225-046286,1332646693-0046286,57819426-046286,725995733-00046286,2057372339-046286,641303195-0000046286
Component 00000000003599,00004-00001-00011-3599,00004-00002-00006-100704,235065799-003599,716839625-003599,1198613451-0003599,2126259890-003599,1864874407-00003599,1885372977-003599,854641926-0000003599
Component 00000000106940,00001-00002-106940,00003-00006-00009-29168,1507884173-106940,1406659436-106940,1305434699-0106940,1967193546-106940,325833584-00106940,944064091-106940,1824021527-0000106940
Component 00000000082289,00004-00004-00012-82289,1436259974,1328011821-082289,79144082-082289,977759990-0082289,1961210419-082289,1763098173-00082289,1511902465-082289,1706353273-0000082289
Component 00000000075568,00003-00003-00012-75568,00003-00007-15568,658114983-075568,1967946198-075568,1130293766-0075568,834161324-075568,727456190-00075568,1252987540-075568,412129773-0000075568
Component 00000000027230,00008-27230,00004-00005-00012-21124,2073431955-027230,1232619448-027230,391806941-0027230,1022472835-027230,931568076-00027230,369137265-027230,1597660516-0000027230
Component 00000000001292,00002-00004-00005-1292,00002-00001-00006-36107,1209941103-001292,2084024334-001292,810623918-0001292,1727046690-001292,1651597829-00001292,216263251-001292,1185047685-0000001292
Component 00000000039366,00001-00005-00002-39366,00004-00001-00012-113814,1120173525-039366,1574892475-039366,2029611425-0039366,1699206130-039366,1573095027-00039366,1471846655-039366,1295187761-0000039366
Component 00000000055038,00003-00004-00009-55038,00004-00002-00011-58459,263005577-055038,1002034416-055038,1741063255-0055038,672424093-055038,1272247192-00055038,1376651497-055038,744664684-0000055038
Component 00000000044539,00004-00005-00001-44539,00003-00002-00012-11608,323009882-044539,332231374-044539,341452866-0044539,770252244-044539,724144784-00044539,765641498-044539,572278003-0000044539
Component 00000000050921,00001-00003-50921,00003-00003-00006-66748,1847497761-050921,1864312633-050921,1881127505-0050921,515535406-050921,431461046-00050921,507127970-050921,934842408-0000050921
Component 00000000062938,00003-00001-00005-62938,00002-00006-00012-32577,357734457-062938,662288285-062938,966842113-0062938,96209586-062938,720924093-00062938,2091416319-062938,1146111080-0000062938
Component 00000000105616,00001-00004-105616,00004-00001-46424,1663665249-105616,662894006-105616,1809606410-0105616,1444642021-105616,6047295-00105616,871285819-105616,1417712703-0000105616
Component 00000000101936,00001-00002-00003-101936,00004-00006-12590,1681689175-101936,1343298122-101936,1004907069-0101936,1375850457-101936,920322075-00101936,471304160-101936,972587882-0000101936
Component 00000000030558,00003-00003-00008-30558,00004-00006-00004-114274,1702333790-030558,2001171629-030558,152525821-0030558,89841629-030558,743136081-00030558,1014164533-030558,109029249-0000030558
Component 00000000085364,00004-00006-00006-85364,00004-00006-00012-42769,599509294-085364,1991937336-085364,1236881731-0085364,1560276274-085364,1040587005-00085364,864062253-085364,1186321728-0000085364
Component 00000000103708,00003-00003-00007-103708,00001-00001-00009-62266,768721236-103708,1639868681-103708,363532479-0103708,1143441202-103708,1082671271-00103708,1781609303-103708,1237645870-0000103708
Component 00000000079982,00002-00006-79982,00006-00004-15630,1914505304-079982,1620029525-079982,1325553746-0079982,1591073728-079982,915968976-00079982,664569794-079982,1167979123-0000079982
Component 00000000049041,00001-00006-00005-49041,00004-00001-00011-14064,828131232-049041,1603072326-049041,230529773-0049041,1905552292-049041,178330469-00049041,1518081745-049041,7870478-0000049041
Component 00000000117708,00003-00003-00006-117708,00003-00004-00004-83633,268387736-117708,238216411-117708,208045086-0117708,2026303944-117708,29676922-00117708,967647783-117708,1097504868-0000117708
Component 00000000063842,00002-00002-00012-63842,00001-00003-57905,369182684-063842,82477668-063842,1943256299-0063842,1496374937-063842,782416370-00063842,1639727445-063842,1544711003-0000063842
Component 00000000110042,00002-00002-00010-110042,00003-00005-00011-116023,1030062744-110042,1069771886-110042,1109481028-0110042,808472484-110042,609926774-00110042,788617913-110042,1949745302-0000110042
Component 00000000118611,00001-00003-00012-118611,00002-00005-00005-108932,714980146-118611,739461980-118611,763943814-0118611,1902349095-118611,1779939925-00118611,1890108178-118611,459415744-0000118611
Component 00000000056424,00004-00004-00004-56424,00004-00006-00011-97264,242954687-056424,963823367-056424,1684692047-0056424,845347315-056424,1535971209-00056424,484912975-056424,635202890-0000056424
Component 00000000051830,00002-00012-51830,00004-00012-92169,891995587-051830,232742869-051830,1720973798-0051830,1130493469-051830,131789765-00051830,1460119828-051830,76211229-0000051830
Component 00000000063522,00002-00004-00004-63522,00006-00010-102255,1395894357-063522,2095225089-063522,647072174-0063522,953696507-063522,1752010141-00063522,604031141-063522,480176391-0000063522
Component 00000000035071,00001-00001-00010-35071,00003-00003-117068,1817170858-035071,1555894060-035071,1294617262-0035071,2030148037-035071,1189048380-00035071,13302789-035071,974525771-0000035071
Component 00000000108812,00002-00004-00002-108812,00003-00002-00007-81608,391382739-108812,103517190-108812,1963135288-0108812,388547318-108812,1827875063-00108812,1606221916-108812,678224591-0000108812
Component 00000000029959,00004-00006-00007-29959,00002-00004-00003-97542,1984616804-029959,1928717374-029959,1872817944-0029959,1420978096-029959,1700475246-00029959,1448927811-029959,54902794-0000029959
Component 00000000056878,00003-00003-00003-56878,00005-00008-109975,1653218877-056878,1745496760-056878,1837774643-0056878,759987085-056878,298597670-00056878,1787589967-056878,86264369-0000056878
Component 00000000086096,00001-00003-00010-86096,00004-00006-00008-63279,1071416081-086096,1637826332-086096,56752936-0086096,1698767667-086096,1014200059-00086096,341820718-086096,1111721158-0000086096
Component 00000000051476,00001-00005-00009-51476,00002-00002-00001-82252,1888542896-051476,1436934072-051476,985325248-0051476,1460351402-051476,1570911875-00051476,1686155814-051476,1521183534-0000051476
Component 00000000058134,00004-00006-00011-58134,00002-00001-00011-21617,1378175067-058134,231221955-058134,1231752490-0058134,1585523957-058134,877838576-00058134,11516866-058134,1461438949-0000058134
Component 00000000045032,00002-00001-45032,00002-00003-00003-25392,1263928110-045032,467864950-045032,1819285437-0045032,1309570496-045032,994919002-00045032,1707602076-045032,1691770720-0000045032
Component 00000000001169,00004-00012-1169,00011-1610,842026715-001169,1240446129-001169,1638865543-0001169,838015471-001169,993402048-00001169,638805764-001169,1272003060-0000001169
Component 00000000037844,00004-00002-00001-37844,00005-00003-71230,923406350-037844,827203897-037844,731001444-0037844,1626296497-037844,2107308762-00037844,600655900-037844,430728952-0000037844
Component 00000000098378,00003-00007-98378,00002-00002-00003-36507,1586604992-098378,14779981-098378,590438617-0098378,1588761427-098378,857951894-00098378,1300932109-098378,912450919-0000098378
Component 00000000040613,00003-00006-00001-40613,00003-00001-00001-25208,992277418-040613,599049762-040613,205822106-0040613,1248088925-040613,1066743558-00040613,1444702753-040613,1577252069-0000040613
Component 00000000105604,00004-00002-00005-105604,00004-00001-00009-115319,1371909746-105604,856732199-105604,341554652-0105604,1081860657-105604,1510264745-00105604,265707607-105604,531857271-0000105604
Component 00000000009535,00001-00006-9535,00004-00001-00005-19804,1907975316-009535,379378585-009535,998265501-0009535,1859219684-009535,912268751-00009535,1549776226-009535,1692173247-0000009535
Component 00000000081954,00004-00005-00002-81954,00001-00005-00007-70831,972741658-081954,488106244-081954,3470830-0081954,1090244196-081954,1365937619-00081954,1332561903-081954,604720133-0000081954
Component 00000000087131,00001-00002-00005-87131,00001-00001-92261,1754545952-087131,1602547350-087131,1450548748-0087131,825064696-087131,1585057706-00087131,901063997-087131,1026356151-0000087131
Component 00000000107253,00003-00006-00003-107253,00004-00002-00002-37949,57696703-107253,616474547-107253,1175252391-0107253,1388618373-107253,742212800-00107253,1109229451-107253,692903138-0000107253
Component 00000000003165,00001-00006-3165,00001-00003-00003-88546,691359230-003165,1929976085-003165,1021109293-0003165,1708476405-003165,1957843071-00003165,15426154-003165,668375250-0000003165
Component 00000000085260,00006-85260,00004-00005-39884,1146594362-085260,341077230-085260,1683043745-0085260,733719106-085260,466337472-00085260,1136477672-085260,780026108-0000085260
Component 00000000036999,00004-00004-00001-36999,00004-00006-00001-47529,1432807499-036999,1286154490-036999,1139501481-0036999,1836329327-036999,422110725-00036999,835914008-036999,1312909325-0000036999
Component 00000000001998,00003-00003-00009-1998,00004-00003-00011-2754,4988109-001998,1742906458-001998,1333341160-0001998,1615907626-001998,1516250469-00001998,1820690275-001998,1632639608-0000001998
Component 00000000034396,00001-00005-00011-34396,00002-00002-98217,805073504-034396,277555996-034396,1897522135-0034396,990278130-034396,1480382023-00034396,1254036884-034396,344181998-0000034396
Component 00000000099656,00001-00004-00011-99656,00001-00005-00004-72336,376348827-099656,1682119887-099656,840407300-0099656,1429219474-099656,1342815115-00099656,776333944-099656,1170824010-0000099656
Component 00000000101575,00005-00006-101575,00004-00006-00010-2519,1548656975-101575,181391257-101575,961609186-0101575,1808262709-101575,54656711-00101575,344411921-101575,722663940-0000101575
Component 00000000078095,00003-00004-78095,00004-00002-86335,1941816569-078095,391684759-078095,989036596-0078095,1922351429-078095,1083075891-00078095,549933687-078095,387263246-0000078095
Component 00000000103078,00003-00003-00001-103078,00001-00005-00004-44581,782713815-103078,2135057605-103078,1339917748-0103078,1946878220-103078,1627610211-00103078,1270706325-103078,2088608197-0000103078
Component 00000000075749,00004-00002-00011-75749,00004-00005-00003-20634,1863898487-075749,391892056-075749,1067369272-0075749,264805111-075749,1182386325-00075749,2074550150-075749,807628967-0000075749
Component 00000000035429,00004-00002-00004-35429,00006-00011-3625,531537109-035429,1504196262-035429,329371768-0035429,1534607619-035429,966279148-00035429,2122019866-035429,295474-0000035429
Component 00000000019734,00004-00001-19734,00004-00004-58335,360944232-019734,1651288854-019734,794149829-0019734,665632636-019734,656360467-00019734,20460325-019734,1062232238-0000019734
Component 00000000059027,00002-00003-00007-59027,00004-00005-00008-46639,1516700418-059027,139959208-059027,910701645-0059027,1316744790-059027,1757999899-00059027,2005115395-059027,315088232-0000059027
Component 00000000034064,00004-00002-00004-34064,00001-00008-88915,84103902-034064,1657779446-034064,1083971343-0034064,1245440141-034064,1966997009-00034064,458602369-034064,1990181492-0000034064
Component 00000000059176,00001-00005-59176,00002-00004-00004-50782,4628227-059176,1773639684-059176,1395167494-0059176,976079835-059176,720957138-00059176,1165315930-059176,2109954979-0000059176
Component 00000000058453,00003-00003-00005-58453,00001-00003-00001-30551,261317877-058453,1437809049-058453,466816574-0058453,1486564897-058453,2046559978-00058453,898319311-058453,1771964005-0000058453
Component 00000000024448,00003-00004-00008-24448,00003-00003-00006-66748,383484034-024448,1140927992-024448,1898371950-0024448,612293998-024448,1120041502-00024448,233572019-024448,1940376081-0000024448
Component 00000000042249,00004-00004-00012-42249,00009-71015,429608048-042249,1275914523-042249,2122220998-0042249,1747024616-042249,1810459535-00042249,250129555-042249,1319044060-0000042249
Component 00000000012077,00002-00002-12077,00002-00011-90972,62179572-012077,364645840-012077,667112108-0012077,1846891688-012077,334560348-00012077,1695658554-012077,1100600099-0000012077
Component 00000000067445,00001-67445,00002-35217,850802005-067445,675175821-067445,499549637-0067445,922866669-067445,1800997589-00067445,1010679761-067445,1619163778-0000067445
Component 00000000105431,00001-00004-00001-105431,00003-00003-00011-110498,489309485-105431,2136718029-105431,1636642926-0105431,931728930-105431,1284620798-00105431,108024658-105431,418793614-0000105431
Component 00000000103220,00005-103220,00002-00006-00004-48572,32725423-103220,790556535-103220,1548387647-0103220,280312356-103220,786124090-00103220,2048880447-103220,1803680128-0000103220
Component 00000000086911,00001-00006-00006-86911,00001-00009-86121,979771960-086911,1259956385-086911,1540140810-0086911,610072867-086911,1356634389-00086911,1543722478-086911,1038111655-0000086911
Component 00000000054866,00001-00006-54866,00001-00006-00003-75676,1762160926-054866,1815514153-054866,1868867380-0054866,1128566965-054866,861800830-00054866,28148528-054866,932777850-0000054866
Component 00000000041727,00002-00010-41727,00006-00002-56370,120941552-041727,422810943-041727,724680334-0041727,802963310-041727,1441100002-00041727,1725770438-041727,1925453005-0000041727
Component 00000000022741,00001-00005-00004-22741,00001-00006-00009-18976,65857377-022741,2134067483-022741,2054793942-0022741,1589799756-022741,1986167461-00022741,555694703-022741,5743442-0000022741
Component 00000000099129,00004-00002-00004-99129,00003-00004-57568,1059183390-099129,755373451-099129,451563512-0099129,283045054-099129,1802094749-00099129,1508691847-099129,1252883470-0000099129
Component 00000000001224,00004-00006-00002-1224,00005-00006-34235,1580923259-001224,1663163445-001224,1745403631-0001224,1274604986-001224,863404056-00001224,1233484893-001224,1881976819-0000001224
Component 00000000060529,00004-00001-60529,00004-00009-88669,254938225-060529,1269242999-060529,136064126-0060529,56595883-060529,1427522954-00060529,1696927143-060529,822839413-0000060529
Component 00000000026500,00005-00006-26500,00002-00005-00001-677,1730565784-026500,1504802819-026500,1279039854-0026500,444738393-026500,1573553218-00026500,1631361699-026500,611873483-0000026500
Component 00000000027695,00003-00005-27695,00004-00005-38199,1128827730-027695,802768686-027695,476709642-0027695,347349625-027695,1977644845-00027695,510379147-027695,294307823-0000027695
Component 00000000116947,00002-00005-00012-116947,00001-00003-62296,2142667120-116947,1104384107-116947,66101094-0116947,104323047-116947,1000770818-00116947,1697206377-116947,309167140-0000116947
Component 00000000105505,00001-00010-105505,00002-00001-112555,317334820-105505,577644618-105505,837954416-0105505,57458141-105505,903392798-00105505,2074786889-105505,678950592-0000105505
Component 00000000100363,00003-00004-00003-100363,00003-00004-00007-92138,2109272647-100363,609538424-100363,1257287848-0100363,1312865006-100363,221601533-00100363,988990294-100363,1261545014-0000100363
Component 00000000091043,00003-00001-00004-91043,00002-00002-00002-78262,1331034670-091043,731940787-091043,132846904-0091043,1266010579-091043,2113996347-00091043,491815697-091043,2040490757-0000091043
Component 00000000117553,00003-00002-00007-117553,00002-00005-79305,1358173816-117553,1155897423-117553,953621030-0117553,1211445167-117553,75343485-00117553,238841540-117553,1571888145-0000117553
Component 00000000045995,00005-00001-45995,00003-00006-52318,1207991581-045995,85840587-045995,1111173240-0045995,470759547-045995,1786547223-00045995,1031835044-045995,35373566-0000045995
Component 00000000061196,00001-00002-00005-61196,00001-00005-00008-107336,1669866313-061196,100629075-061196,678875484-0061196,723787915-061196,2127523164-00061196,1508406534-061196,1735378650-0000061196
Component 00000000051056,00001-00005-00005-51056,00004-00006-00012-70524,925870973-051056,1237167445-051056,1548463917-0051056,991364336-051056,1582365623-00051056,835716100-051056,472727136-0000051056
Component 00000000099636,00001-00005-00004-99636,00004-00006-00011-71784,1057456585-099636,14069948-099636,1118166958-0099636,919070395-099636,1841036286-00099636,367021890-099636,1925044463-0000099636
Component 00000000085842,00002-00001-00003-85842,00001-00004-56186,1064166250-085842,1780828782-085842,350007667-0085842,1462560700-085842,26731687-00085842,1104229434-085842,180130947-0000085842
Component 00000000015243,00003-00004-00007-15243,00004-00003-00012-56094,1481796288-015243,1924737422-015243,220194909-0015243,1489604817-015243,1422382794-00015243,1268134250-015243,7062792-0000015243
Component 00000000027416,00001-00004-00012-27416,00003-00001-26313,256056114-027416,737933565-027416,1219811016-0027416,1078534194-027416,816630586-00027416,1911337292-027416,1195615435-0000027416
Component 00000000031819,00004-00004-00008-31819,00002-00004-00011-26037,1283529735-031819,1265325679-031819,1247121623-0031819,400633019-031819,491653299-00031819,409735047-031819,1591041799-0000031819
Component 00000000052082,00002-00002-00004-52082,00002-00003-82397,577061462-052082,1434941357-052082,145337605-0052082,308305253-052082,313873072-00052082,953107129-052082,1425431539-0000052082
Component 00000000074011,00001-00002-74011,00001-00003-00009-95546,1639224712-074011,966605052-074011,293985392-0074011,1229425907-074011,297556913-00074011,1565735737-074011,122651593-0000074011
Component 00000000041401,00001-00003-00009-41401,00003-00005-00002-47283,1159838318-041401,1427562229-041401,1695286140-0041401,185804296-041401,994668388-00041401,1125684164-041401,581740272-0000041401
Component 00000000013689,00004-00004-13689,00001-00011-12621,1677633947-013689,220102234-013689,910054168-0013689,780564394-013689,1625772018-00013689,435588427-013689,670619978-0000013689
Component 00000000016464,00004-00006-16464,00001-00003-00011-90296,1358948729-016464,2053748587-016464,601064798-0016464,697003490-016464,1517971494-00016464,349603561-016464,744875686-0000016464
Component 00000000004095,4095,00001-00005-00012-114581,798659005-004095,1072964976-004095,1347270947-0004095,143854893-004095,919808685-00004095,1080443731-004095,1132541784-0000004095
Component 00000000075534,00004-00004-00004-75534,00002-00001-00005-14617,629271316-075534,916320572-075534,1203369828-0075534,1666258350-075534,231012070-00075534,1522733722-075534,913473652-0000075534
Component 00000000021584,00004-00003-00004-21584,00006-00007-110130,755075714-021584,2445334-021584,1397298601-0021584,759724283-021584,227908889-00021584,1136039473-021584,669256007-0000021584
Component 00000000093738,00003-00001-00008-93738,00001-30121,1152864807-093738,603420737-093738,53976667-0093738,274631176-093738,874367879-00093738,549353211-093738,1531450216-0000093738
Component 00000000013230,00009-13230,00004-00006-00003-123269,1047919724-013230,1885824946-013230,576246521-0013230,884133698-013230,989574882-00013230,465181087-013230,23789685-0000013230
Component 00000000094803,00003-00002-00007-94803,00004-00004-00012-59994,725022094-094803,1034021503-094803,1343020912-0094803,1752849725-094803,207852680-00094803,524608197-094803,2146430277-0000094803
Component 00000000115411,00001-00002-00010-115411,00004-00005-58994,359367964-115411,1336477295-115411,166102979-0115411,1578272107-115411,987692746-00115411,15975618-115411,1118427156-0000115411
Component 00000000052889,00004-00004-00005-52889,00002-00001-00008-121857,1001157304-052889,2030076902-052889,911512853-0052889,1511633926-052889,662003230-00052889,997174127-052889,1451785871-0000052889
Component 00000000008941,00001-00002-00010-8941,00004-00005-3164,1466472799-008941,549340918-008941,1779692684-0008941,1008991334-008941,1299683445-00008941,393815451-008941,1014996076-0000008941
Component 00000000105740,00005-00011-105740,00006-00006-119125,425951682-105740,685313825-105740,944675968-0105740,1193855559-105740,2044528491-00105740,2137916311-105740,155099939-0000105740
Component 00000000047249,00004-00006-00007-47249,00003-00002-87440,230753293-047249,1535832382-047249,693427824-0047249,176321523-047249,93377019-00047249,597523802-047249,1507792166-0000047249
Component 00000000041377,00002-00011-41377,00002-00001-00002-46607,283083117-041377,723098605-041377,1163114093-0041377,148997815-041377,96404022-00041377,2076473718-041377,1669443777-0000041377
Component 00000000002227,00002-00001-00004-2227,00001-00003-62296,233987019-002227,1125146937-002227,2016306855-0002227,505570102-002227,344737806-00002227,59990143-002227,446731543-0000002227
Component 00000000041679,00004-00001-00001-41679,00001-00001-00005-55021,992481622-041679,1138813120-041679,1285144618-0041679,1647108334-041679,915450844-00041679,1573942585-041679,1564478596-0000041679
Component 00000000070051,00001-00002-00007-70051,00003-00009-108195,71091805-070051,527812439-070051,984533073-0070051,747206084-070051,611086561-00070051,518845767-070051,82192569-0000070051
Component 00000000094891,00001-00006-00004-94891,00005-00002-62480,316712085-094891,1265541672-094891,66887612-0094891,164048644-094891,1862351650-00094891,763375674-094891,1267445439-0000094891
Component 00000000092247,00002-00001-00012-92247,00001-00004-00011-111941,104075116-092247,1626738483-092247,1001918203-0092247,2012546241-092247,841680347-00092247,177472734-092247,245983017-0000092247
Component 00000000017470,00005-00011-17470,00005-00011-118480,1231025946-017470,1696922746-017470,15335899-0017470,204700629-017470,22700276-00017470,2119235876-017470,1060825746-0000017470
Component 00000000022584,00004-00002-00003-22584,00004-00001-00007-14554,876015868-022584,790658349-022584,705300830-0022584,2104885314-022584,384189262-00022584,1073822250-022584,860359112-0000022584
Component 00000000026039,00004-00006-26039,00001-00003-00003-111296,1024914152-026039,2112560272-026039,1052722745-0026039,88659797-026039,1092880138-00026039,1692320384-026039,473662542-0000026039
Component 00000000066283,00003-00009-66283,00004-00002-2704,1458604915-066283,1550041858-066283,1641478801-0066283,524587533-066283,67402818-00066283,1552610885-066283,1406064291-0000066283
Component 00000000031949,00004-00001-00008-31949,00001-00004-00012-29691,1428353439-031949,667088525-031949,2053307258-0031949,1014227109-031949,525584385-00031949,1394859566-031949,1965065518-0000031949
Component 00000000121547,00002-00006-00010-121547,1436259974,1702855651-121547,343745584-121547,1132119164-0121547,1284268635-121547,1637368029-00121547,890081845-121547,241598659-0000121547
Component 00000000000580,00006-00008-580,00003-00006-00011-16183,2046869018-000580,14334957-000580,129284543-0000580,1179472998-000580,604725068-00000580,1121998205-000580,1439180885-0000000580
Component 00000000080363,00003-00003-00010-80363,00003-00001-26313,1430398803-080363,1338105849-080363,1245812895-0080363,1249157828-080363,1710622598-00080363,1295304305-080363,595412051-0000080363
Component 00000000061022,00002-00003-61022,00005-00006-102485,1026326597-061022,1119204475-061022,1212082353-0061022,1235936386-061022,771546996-00061022,1189497447-061022,133646240-0000061022
