Component 00000000113248,00003-00002-00005-113248,00002-00002-00001-82252,1508863102-113248,396945365-113248,1432511275-0113248,194202209-113248,1458823600-00113248,1823902901-113248,1571994469-0000113248
Component 00000000029654,00004-00002-00001-29654,00001-00011-46915,964522035-029654,597811936-029654,231101837-0029654,1432693233-029654,1118760081-00029654,542306459-029654,1222113270-0000029654
Component 00000000020843,00003-00004-00004-20843,00004-00003-00008-89344,1593134413-020843,284580514-020843,1123510262-0020843,1479037898-020843,1579356452-00020843,1059573024-020843,1486671603-0000020843
Component 00000000098161,00001-00011-98161,00004-00004-00004-30489,1072207496-098161,996952642-098161,921697788-0098161,1717314371-098161,2093588641-00098161,1754941798-098161,1196545634-0000098161
Component 00000000094109,00004-00001-00002-94109,00004-00006-00008-40529,296046632-094109,1293257278-094109,142984277-0094109,1416122729-094109,725036793-00094109,917517406-094109,263299138-0000094109
Component 00000000017134,00004-00005-17134,00002-00011-109055,1088540347-017134,1326971260-017134,1565402173-0017134,841279569-017134,1796608651-00017134,1795805936-017134,1250345314-0000017134
Component 00000000073807,00002-00006-00006-73807,00004-00005-89835,671898919-073807,704888551-073807,737878183-0073807,124412424-073807,2106947911-00073807,107917608-073807,74355925-0000073807
Component 00000000050784,00004-00006-00006-50784,00001-00003-62910,521069231-050784,347962983-050784,174856735-0050784,715350791-050784,1580882031-00050784,801903915-050784,51879537-0000050784
Component 00000000112440,00006-00003-112440,00004-00005-00006-59624,617405719-112440,846322374-112440,1075239029-0112440,2056187075-112440,911603800-00112440,867986924-112440,835279148-0000112440
Component 00000000073463,00003-00005-73463,00003-00011-80195,1696002874-073463,260368914-073463,972218601-0073463,787232518-073463,1522951377-00073463,1505049498-073463,1800128634-0000073463
Component 00000000086809,00004-00002-00008-86809,00001-00001-00001-83266,248965008-086809,1364284119-086809,332119583-0086809,1728592540-086809,446964279-00086809,97191161-086809,396066414-0000086809
Component 00000000110131,00001-00008-110131,00001-00001-00003-118511,1299905377-110131,712756068-110131,125606759-0110131,1814193125-110131,454972376-00110131,1034025956-110131,26915420-0000110131
Component 00000000114907,00002-00002-114907,00001-00004-00004-5191,64255930-114907,236450042-114907,408644154-0114907,1973219421-114907,1112248861-00114907,1887122365-114907,423305515-0000114907
Component 00000000037053,00003-00002-00003-37053,00004-00007-49095,720275731-037053,130660379-037053,1688528674-0037053,41218570-037053,841811683-00037053,336026246-037053,1882024632-0000037053
Component 00000000114111,00001-00004-00010-114111,00003-00001-106445,292451413-114111,812359613-114111,1332267813-0114111,1885678996-114111,1433621643-00114111,1625724896-114111,1220148322-0000114111
Component 00000000075542,00002-00005-00012-75542,00001-00002-14861,68809077-075542,1605372136-075542,994451548-0075542,503931617-075542,1411050910-00075542,809391911-075542,639648651-0000075542
Component 00000000047017,00002-00005-00009-47017,00002-00011-80962,508865839-047017,398828801-047017,288791763-0047017,1614520437-047017,17221980-00047017,1669538956-047017,596748979-0000047017
Component 00000000002882,00002-00005-00009-2882,00004-00005-00011-80624,261179790-002882,1660625940-002882,912588443-0002882,1562325008-002882,1007545199-00002882,862601933-002882,87097337-0000002882
Component 00000000100422,00002-00010-100422,00001-00001-00010-93766,1776353599-100422,140099163-100422,651328374-0100422,1874908392-100422,1466245984-00100422,545551963-100422,995923456-0000100422
Component 00000000063088,00003-00004-00012-63088,00004-00001-00011-36814,22287791-063088,579608392-063088,1136928993-0063088,208791352-063088,1717155641-00063088,1003872875-063088,1446571953-0000063088
Component 00000000005252,00002-00002-5252,00004-00006-00003-7244,1890925335-005252,1541905957-005252,1192886579-0005252,2143354678-005252,1740967921-00005252,170380720-005252,995090574-0000005252
Component 00000000000061,00001-00005-00009-61,00001-00002-00010-1661,1617115640-000061,950853638-000061,284591636-0000061,1515663248-000061,552005964-00000061,1848794249-000061,621722819-0000000061
Component 00000000094536,00001-00001-94536,00002-00002-00008-52502,34480657-094536,2097388168-094536,2012812032-0094536,227505355-094536,650386035-00094536,269793423-094536,1255775008-0000094536
Component 00000000102401,00001-00005-102401,00002-00001-00010-25607,1589668980-102401,1323672627-102401,1057676274-0102401,500005918-102401,1829987683-00102401,1706745918-102401,1459469053-0000102401
Component 00000000075388,00003-00005-00001-75388,00002-00004-00002-10532,960169958-075388,1158268512-075388,1356367066-0075388,1978015239-075388,987522469-00075388,1878965962-075388,740532227-0000075388
Component 00000000123171,00001-00006-00009-123171,00002-00004-00012-113047,1645451849-123171,641016950-123171,1784065698-0123171,1248741305-123171,1975948506-00123171,677216931-123171,350126057-0000123171
Component 00000000071848,00003-00010-71848,00001-00006-00001-34971,482032879-071848,590495505-071848,698958131-0071848,1447502946-071848,905189816-00071848,1393271633-071848,83412764-0000071848
Component 00000000085914,00004-00003-00010-85914,00002-00005-00007-58182,580593241-085914,179407171-085914,1925704748-0085914,450421669-085914,308868372-00085914,651014704-085914,1694935462-0000085914
Component 00000000104791,00001-00001-00011-104791,00003-00005-00004-92538,1489903894-104791,2140203838-104791,643020135-0104791,817196473-104791,1860664047-00104791,492046501-104791,1481422953-0000104791
Component 00000000007269,00004-00003-00002-7269,00001-00009-79920,542699220-007269,317741153-007269,92783086-0007269,1443393029-007269,420699717-00007269,482130239-007269,618968354-0000007269
Component 00000000117193,00003-00006-00011-117193,00003-00006-69173,1885282778-117193,895319587-117193,2052840043-0117193,42966425-117193,697815086-00117193,1611689844-117193,1389334504-0000117193
Component 00000000006040,00006-00008-6040,1436259974,447071444-006040,1179615801-006040,1912160158-0006040,541992583-006040,1174238092-00006040,1249462228-006040,1289355093-0000006040
Component 00000000111698,00003-00006-00002-111698,00001-00001-38871,90360445-111698,707086570-111698,1323812695-0111698,1010548273-111698,74401295-00111698,1775927034-111698,1129703454-0000111698
Component 00000000079589,00004-00006-00003-79589,00004-00005-00011-4639,233737663-079589,1742444590-079589,1103667870-0079589,1465321448-079589,364237754-00079589,1784709808-079589,734528668-0000079589
Component 00000000010552,00002-00003-00009-10552,00001-00003-00001-48296,563536233-010552,1148631480-010552,1733726727-0010552,2097110125-010552,1319117537-00010552,730820678-010552,750318809-0000010552
Component 00000000088448,00003-00003-00009-88448,00004-00003-00012-5589,1729374347-088448,692773047-088448,1803655394-0088448,846335178-088448,1734374384-00088448,1364635828-088448,399574125-0000088448
Component 00000000023381,00001-00001-00007-23381,00004-00005-00006-36874,915663650-023381,545523613-023381,175383576-0023381,1217482855-023381,920699393-00023381,328811050-023381,1678957533-0000023381
Component 00000000069691,00001-00006-00011-69691,00006-00001-98125,1083923194-069691,1560875102-069691,2037827010-0069691,593770615-069691,356494722-00069691,355294661-069691,13529925-0000069691
Component 00000000042405,00006-00012-42405,00004-00010-75345,1932322796-042405,18918727-042405,252998305-0042405,400280447-042405,1377366204-00042405,283240658-042405,1486503568-0000042405
Component 00000000121112,00002-00005-00004-121112,00003-00006-00012-55418,275181978-121112,610691401-121112,946200824-0121112,441261641-121112,911198173-00121112,1347248753-121112,1805688665-0000121112
Component 00000000029074,00004-00003-00006-29074,00004-72765,1833946795-029074,1996661031-029074,11891620-0029074,1135652653-029074,322081473-00029074,1054295535-029074,1901095776-0000029074
Component 00000000085978,00003-00004-00009-85978,00002-00006-59962,2138681721-085978,808661408-085978,1626124742-0085978,983464127-085978,1191114751-00085978,574732460-085978,137066715-0000085978
Component 00000000055210,00001-00012-55210,00004-00001-00012-63309,876146979-055210,1307432521-055210,1738718063-0055210,318659296-055210,309715233-00055210,103016525-055210,1162539958-0000055210
Component 00000000030947,00002-00007-30947,00003-1690,642637171-030947,427636919-030947,212636667-0030947,952543184-030947,2027544444-00030947,1060043310-030947,249975379-0000030947
Component 00000000034308,00003-00001-00001-34308,00004-00002-00006-95699,204878972-034308,1511588333-034308,670814047-0034308,229515394-034308,138419530-00034308,649902537-034308,1605693733-0000034308
Component 00000000083803,00003-00006-00005-83803,00004-00005-00008-122624,1730576900-083803,190575885-083803,798058517-0083803,1128713494-083803,238783981-00083803,824972178-083803,1296379240-0000083803
Component 00000000110790,00001-00004-110790,00003-00006-00002-13418,837172680-110790,1344561399-110790,1851950118-0110790,749463611-110790,360003663-00110790,1569511075-110790,336742314-0000110790
Component 00000000058593,00003-00003-00002-58593,00003-34450,884801272-058593,879734014-058593,874666756-0058593,639039259-058593,664375549-00058593,641572888-058593,1005524002-0000058593
Component 00000000114035,00005-00012-114035,00002-00006-00002-104327,260793282-114035,1401874835-114035,395472741-0114035,842415604-114035,1579458780-00114035,1345616651-114035,1906053829-0000114035
Component 00000000087154,00004-00004-00002-87154,00001-00004-92876,1442558110-087154,131478717-087154,967882971-0087154,1205975136-087154,1318921160-00087154,787773009-087154,1991061383-0000087154
Component 00000000079355,00003-00003-79355,00002-00003-00001-121642,1423550323-079355,641167796-079355,2006268916-0079355,1058961586-079355,675906927-00079355,376411026-079355,1451947780-0000079355
Component 00000000076333,00003-00005-00010-76333,00003-00003-36998,2040468952-076333,32585009-076333,172184713-0076333,221120008-076333,1670605135-00076333,151320156-076333,101287282-0000076333
Component 00000000018877,00002-00005-00001-18877,00002-00006-00007-34327,492855152-018877,152115265-018877,1958859025-0018877,73097985-018877,1776797420-00018877,1317209752-018877,311850211-0000018877
Component 00000000085833,00003-00006-00007-85833,00003-00001-55940,1861095697-085833,1895797704-085833,1930499711-0085833,322917566-085833,149407531-00085833,1379308386-085833,1846929629-0000085833
Component 00000000089211,00001-00003-00005-89211,00003-00001-00009-26958,1010374594-089211,2101800585-089211,1045742929-0089211,1331185806-089211,169023145-00089211,1859214634-089211,438877886-0000089211
Component 00000000028768,00003-00005-00012-28768,00003-00006-45513,1923763432-028768,2052910215-028768,34573351-0028768,671189643-028768,25455728-00028768,1680358075-028768,443447885-0000028768
Component 00000000001482,00002-00005-1482,00003-00006-41450,2105760958-001482,1969261904-001482,1832762850-0001482,1928007780-001482,463019403-00001482,1996257307-001482,1829249085-0000001482
Component 00000000075651,00001-00002-00004-75651,00003-00007-104345,1048087931-075651,1775964105-075651,356356632-0075651,1990344018-075651,498446795-00075651,1626405931-075651,867434894-0000075651
Component 00000000041957,00002-00006-00006-41957,00003-00002-62818,1251299705-041957,336942770-041957,1570069482-0041957,928403121-041957,1205220502-00041957,311839765-041957,1084989335-0000041957
Component 00000000048553,00003-00001-00011-48553,00001-00002-00011-401,1363104871-048553,1218115388-048553,1073125905-0048553,1847307710-048553,424771478-00048553,846060628-048553,331257634-0000048553
Component 00000000045525,00004-00012-45525,00003-00002-73283,1997930352-045525,112026296-045525,373605887-0045525,725896810-045525,1565482502-00045525,1668848838-045525,940351420-0000045525
Component 00000000088579,00004-00001-00010-88579,00003-00003-9243,1846894792-088579,809736308-088579,1920061471-0088579,936832199-088579,1827657325-00088579,1455411441-088579,325825521-0000088579
Component 00000000038301,00001-00004-00003-38301,00002-00002-00009-84002,1980079085-038301,1515029714-038301,1049980343-0038301,1973762885-038301,4042446-00038301,1132545747-038301,1251126161-0000038301
Component 00000000035307,00002-00006-00012-35307,00001-00004-00004-186,363604779-035307,2023982116-035307,1536875806-0035307,361268861-035307,649316764-00035307,604822016-035307,398535965-0000035307
Component 00000000089944,00004-00001-00010-89944,00002-00002-00008-47497,1432770085-089944,1162597669-089944,892425253-0089944,1214309791-089944,417688224-00089944,1349395999-089944,94939376-0000089944
Component 00000000067000,00003-00011-67000,00002-00002-00002-22752,1530459760-067000,286283025-067000,1189589937-0067000,243688405-067000,22121139-00067000,1939518596-067000,505696151-0000067000
Component 00000000021513,00003-00002-00011-21513,00004-00005-108134,1546721201-021513,1449001930-021513,1351282659-0021513,28562028-021513,517158383-00021513,1151163487-021513,2081921700-0000021513
Component 00000000011396,00001-00008-11396,00001-00002-71905,1970152732-011396,254188063-011396,685707041-0011396,1423986695-011396,1413875452-00011396,1208227206-011396,955328075-0000011396
Component 00000000096416,00001-00005-00008-96416,00002-00003-105157,135264691-096416,254283483-096416,373302275-0096416,1612708809-096416,1017614849-00096416,1553199413-096416,241817712-0000096416
Component 00000000101179,00004-00001-101179,00003-00004-114950,1774941299-101179,1415912403-101179,1056883507-0101179,1541909019-101179,1189569852-00101179,1721423467-101179,903558754-0000101179
Component 00000000077096,00001-00005-00006-77096,00002-00001-00010-58367,853564291-077096,155676140-077096,1605271636-0077096,291985496-077096,1633942604-00077096,1714671395-077096,908486482-0000077096
Component 00000000045635,00002-00005-45635,00002-00002-00010-42247,930831187-045635,317273131-045635,1851198722-0045635,1238036529-045635,10859515-00045635,1544815557-045635,1435216007-0000045635
Component 00000000073689,00004-00005-73689,00004-00004-86489,1219399872-073689,1778736093-073689,190588667-0073689,1503661003-073689,854463545-00073689,150251069-073689,2143105572-0000073689
Component 00000000087075,00002-00001-87075,00003-00006-00001-90663,978987767-087075,1517994420-087075,2057001073-0087075,277264850-087075,1877198879-00087075,1081503347-087075,551584793-0000087075
Component 00000000068992,00002-00001-68992,00001-00001-00012-78506,706329222-068992,582521586-068992,458713950-0068992,1144109817-068992,1763147997-00068992,1206013635-068992,665721055-0000068992
Component 00000000004109,00004-00001-4109,00001-00006-00009-114981,263963751-004109,703667089-004109,1143370427-0004109,114739174-004109,63706131-00004109,2042371152-004109,2031917866-0000004109
Component 00000000002862,00002-00006-00002-2862,00002-00006-00005-80072,2064577706-002862,144029774-002862,370965489-0002862,1259799825-002862,125121250-00002862,72590144-002862,1082294072-0000002862
Component 00000000095937,00002-00002-00010-95937,00004-00004-00011-91739,1047181874-095937,315862698-095937,1732027169-0095937,2085423837-095937,1447052423-00095937,303599778-095937,1383441554-0000095937
Component 00000000075426,00001-00001-75426,00003-00002-00012-11608,594083473-075426,1091163547-075426,1588243621-0075426,1080146945-075426,742230222-00075426,831606908-075426,495439586-0000075426
Component 00000000115950,00002-00003-115950,00003-00004-00003-34388,1497896641-115950,83385205-115950,816357416-0115950,1613568699-115950,96191291-00115950,173340770-115950,1500747136-0000115950
Component 00000000050880,00004-00011-50880,00002-00006-00010-65582,532104078-050880,1749561018-050880,819534311-0050880,1596707199-050880,1951873440-00050880,987978729-050880,774331507-0000050880
Component 00000000009320,00003-00012-9320,00002-00004-00007-13787,405368414-009320,1678851164-009320,804850267-0009320,2039739673-009320,2114776864-00009320,1402998298-009320,1995931858-0000009320
Component 00000000043538,00003-00005-00001-43538,00004-00003-00008-107089,1298087553-043538,2142240220-043538,838909240-0043538,363560786-043538,437764745-00043538,1015226276-043538,2146914695-0000043538
Component 00000000060203,00003-00003-60203,00012-79520,1062888391-060203,1640589304-060203,70806570-0060203,90353437-060203,1496816166-00060203,875244804-060203,341650395-0000060203
Component 00000000028432,00002-00005-00001-28432,00001-00007-39215,801813441-028432,2100239912-028432,1251182736-0028432,424729698-028432,375048284-00028432,849258286-028432,551952180-0000028432
Component 00000000122023,00003-00006-00005-122023,00001-00009-69455,1765037243-122023,1839520528-122023,1914003813-0122023,8767448-122023,1783834670-00122023,1045267629-122023,215356395-0000122023
Component 00000000035712,00002-00005-00001-35712,00005-00006-11485,1445438151-035712,1979361423-035712,365801048-0035712,1570913079-035712,1048780366-00035712,1303951443-035712,67733196-0000035712
Component 00000000058114,00004-00004-58114,00003-00003-21063,2140049634-058114,1425552048-058114,711054462-0058114,1846655065-058114,1124175701-00058114,56420211-058114,858326193-0000058114
Component 00000000024602,00002-00004-00006-24602,00002-00006-00006-71077,1903021023-024602,16396800-024602,277256224-0024602,1669801205-024602,365504085-00024602,1539371493-024602,1872325570-0000024602
Component 00000000031208,00003-00002-00008-31208,00002-00010-8967,1525008274-031208,605120453-031208,1832716279-0031208,933863719-031208,1238335530-00031208,320065806-031208,1635338260-0000031208
Component 00000000021864,00004-00003-00011-21864,00002-00005-00004-117927,1796486252-021864,1256395139-021864,716304026-0021864,298129212-021864,851101130-00021864,1641916592-021864,1899178386-0000021864
Component 00000000123520,00005-00007-123520,00002-00012-122810,1118705858-123520,868881199-123520,619056540-0123520,813369955-123520,2062493250-00123520,2012024108-123520,679322866-0000123520
Component 00000000010207,00002-00001-00002-10207,00001-00011-16430,1806424621-010207,1194599607-010207,582774593-0010207,50198853-010207,961840276-00010207,356111360-010207,445598287-0000010207
Component 00000000008963,00003-00003-00006-8963,00003-00012-3808,1169520680-008963,1038850331-008963,908179982-0008963,200717871-008963,854069616-00008963,1339794869-008963,195433857-0000008963
Component 00000000093250,00003-00001-93250,00003-00002-00011-26518,2077787370-093250,362207329-093250,794110935-0093250,1550275791-093250,1538241408-00093250,1334323988-093250,867746932-0000093250
Component 00000000055984,00004-00005-00006-55984,00004-00002-00012-84954,1790026411-055984,26286235-055984,410029706-0055984,490108-055984,229256400-00055984,882360196-055984,1802213379-0000055984
Component 00000000068904,00004-00003-00004-68904,00002-00006-00006-76082,1785010975-068904,630692495-068904,1623857662-0068904,1635139517-068904,964280976-00068904,64815110-068904,523691711-0000068904
Component 00000000102017,00002-00006-00006-102017,00003-00004-00008-14893,149877775-102017,2068453631-102017,1839545840-0102017,859009970-102017,2003548925-00102017,2047205689-102017,280011082-0000102017
Component 00000000007217,00002-00002-7217,00001-00006-00008-78476,1708016595-007217,1096916068-007217,485815541-0007217,1060670270-007217,1968689258-00007217,292478710-007217,1040442662-0000007217
Component 00000000069210,00001-00011-69210,00001-00002-00003-84646,1769724568-069210,973054443-069210,176384318-0069210,712187328-069210,400570659-00069210,36780567-069210,1412451653-0000069210
Component 00000000055790,00007-55790,00005-00008-79490,270161607-055790,1901065666-055790,1384486078-0055790,985855353-055790,1421269646-00055790,1244145147-055790,525819692-0000055790
Component 00000000000964,00004-00005-00002-964,00002-00005-00004-26927,863476315-000964,980682977-000964,1097889639-0000964,105548481-000964,1666998818-00000964,46945150-000964,1249710334-0000000964
Component 00000000038859,00004-00002-00002-38859,00004-00005-00010-99629,742662205-038859,709368403-038859,676074601-0038859,1275396455-038859,1441865465-00038859,1292043356-038859,1081523171-0000038859
Component 00000000034585,00005-00005-34585,00002-00002-00004-103497,1670647470-034585,1428346102-034585,1186044734-0034585,656449357-034585,1867956197-00034585,777600041-034585,1569926389-0000034585
Component 00000000024993,00003-00003-00007-24993,00002-00004-00009-34472,855623193-024993,1901928768-024993,800750696-0024993,1135577876-024993,199017295-00024993,1686166912-024993,1375621919-0000024993
Component 00000000108814,00004-00006-00004-108814,00001-00004-81670,1743902408-108814,719756048-108814,1843093335-0108814,1464927829-108814,143208688-00108814,1977001009-108814,382047238-0000108814
Component 00000000085467,00002-00004-00005-85467,00001-00004-00004-45686,1327005039-085467,184706298-085467,1189891204-0085467,686349099-085467,2102875510-00085467,183756646-085467,751297652-0000085467
Component 00000000115689,00004-00002-115689,00002-00006-00003-27082,666494400-115689,1718998334-115689,624018621-0115689,173327671-115689,1353258942-00115689,1794559351-115689,1768017370-0000115689
Component 00000000057279,00004-00005-00001-57279,00002-00005-00009-121182,760292042-057279,25148068-057279,1437487741-0057279,1613031302-057279,993783878-00057279,1980603289-057279,1620581602-0000057279
Component 00000000032944,00004-00002-00002-32944,00003-00004-57568,1616198969-032944,2049125083-032944,334567550-0032944,1138279028-032944,1121132105-00032944,921815971-032944,957749696-0000032944
Component 00000000034015,00002-00007-34015,00003-00008-87563,1631433022-034015,2073563403-034015,368210137-0034015,526178207-034015,463009949-00034015,1378854840-034015,945247924-0000034015
Component 00000000105742,00002-105742,00002-00005-00003-119187,1697767987-105742,1034776126-105742,371784265-0105742,681175610-105742,1848651268-00105742,2086413364-105742,1609683434-0000105742
Component 00000000068891,00001-00004-00004-68891,00004-00004-00006-75744,1563143437-068891,1845820468-068891,2128497499-0068891,1314335735-068891,2048434227-00068891,99255396-068891,1551452499-0000068891
Component 00000000063500,00003-00008-63500,,1499623951-063500,1762508491-063500,2025393031-0063500,1364622259-063500,50199559-00063500,1233179989-063500,1488469849-0000063500
Component 00000000015073,00003-00002-00006-15073,00001-00003-51366,897720257-015073,1973856287-015073,902508670-0015073,1550710184-015073,464997328-00015073,1012642169-015073,1385405415-0000015073
Component 00000000050048,00003-00005-00011-50048,00002-00002-00010-42247,1399703068-050048,1084696349-050048,769689630-0050048,80520902-050048,1655554497-00050048,1311766085-050048,962833309-0000050048
Component 00000000047688,00003-00004-00004-47688,00001-00006-00011-99721,1225071590-047688,320950634-047688,1564313325-0047688,324878164-047688,550515650-00047688,776938642-047688,2145540792-0000047688
Component 00000000052942,00002-00001-00006-52942,00002-00006-00001-123332,1562126495-052942,437543764-052942,1460444680-0052942,1780697040-052942,961159754-00052942,1269246582-052942,457605838-0000052942
Component 00000000120588,00003-00006-120588,00003-00001-00010-40713,489409332-120588,476723264-120588,464037196-0120588,2021618681-120588,2085049021-00120588,2027961715-120588,1866779692-0000120588
Component 00000000046101,00001-00006-00003-46101,,1861062099-046101,609070585-046101,1504562718-0046101,1269015786-046101,1086522415-00046101,1895011543-046101,953932752-0000046101
Component 00000000055562,00002-00003-55562,00004-00012-89439,1659088620-055562,842688100-055562,26287580-0055562,718369046-055562,505404352-00055562,1126569306-055562,1848637961-0000055562
Component 00000000026204,00004-00003-00009-26204,00001-00004-00010-115931,1014874559-026204,478074441-026204,2088757970-0026204,749872600-026204,1286389543-00026204,1018272659-026204,982981692-0000026204
Component 00000000024310,00006-24310,00006-00012-62880,1859293501-024310,2013385299-024310,19993450-0024310,742811116-024310,2119835773-00024310,665765217-024310,922903791-0000024310
Component 00000000096289,00004-00004-00011-96289,00004-101595,1764705498-096289,174814348-096289,732406845-0096289,1964396015-096289,1323917177-00096289,611857943-096289,1692155394-0000096289
Component 00000000118480,00005-00011-118480,00006-00005-39850,1146408960-118480,1991955122-118480,690017637-0118480,1353208524-118480,1420445008-00118480,930435443-118480,1990491037-0000118480
Component 00000000030371,00001-00005-00003-30371,00004-00006-00006-109024,1960744769-030371,1446046070-030371,931347371-0030371,1693919808-030371,2119929656-00030371,877527334-030371,1616590875-0000030371
Component 00000000018563,00003-00006-00012-18563,00004-00004-00004-25484,1848831378-018563,217799252-018563,734250773-0018563,53184559-018563,1765894248-00018563,868700622-018563,1840852133-0000018563
Component 00000000081321,00001-00002-00006-81321,00002-00001-00012-53117,71521746-081321,1162850703-081321,106696013-0081321,387626809-081321,1373432965-00081321,915704154-081321,1148268041-0000081321
Component 00000000038969,00004-00008-38969,00003-102700,570041414-038969,815857682-038969,1061673950-0038969,1754712177-038969,525630837-00038969,1631804043-038969,1345490102-0000038969
Component 00000000022871,00001-00002-00004-22871,00003-22568,193744147-022871,1661210490-022871,981193186-0022871,1572643255-022871,677762481-00022871,1912651907-022871,1740348660-0000022871
Component 00000000074135,00005-00009-74135,00001-00001-00008-99016,1765742305-074135,783950929-074135,1949643200-0074135,1393500803-074135,2007490389-00074135,1884396491-074135,2059909982-0000074135
Component 00000000085294,00004-00006-00001-85294,00002-00011-40805,2025400894-085294,698689002-085294,1519460757-0085294,2104383542-085294,148008414-00085294,620255841-085294,1379633080-0000085294
Component 00000000076411,00001-00006-00010-76411,00003-00001-39208,112930641-076411,403768742-076411,694606843-0076411,259934834-076411,953227976-00076411,1188257607-076411,1047071881-0000076411
Component 00000000078868,00003-00006-00010-78868,00005-00002-107980,2135844963-078868,1272686356-078868,409527749-0078868,1099993-078868,21925734-00078868,1506421120-078868,207794221-0000078868
Component 00000000022873,00003-00004-00006-22873,00004-00005-00009-22629,556417162-022873,1162752324-022873,1769087486-0022873,2046385108-022873,1162192945-00022873,1743217527-022873,517783929-0000022873
Component 00000000068038,00003-00005-00009-68038,00002-00006-00009-51827,1157010877-068038,1652218055-068038,2147425233-0068038,1552238893-068038,1223686650-00068038,1304635304-068038,1758791811-0000068038
Component 00000000021573,00003-00006-00006-21573,00002-00004-00007-109792,966597354-021573,44548794-021573,1269983881-0021573,1344398781-021573,1659674287-00021573,1805423061-021573,1000658424-0000021573
Component 00000000118845,00006-00012-118845,00001-00006-00005-115471,1220043967-118845,1245310312-118845,1270576657-0118845,1371719876-118845,1245388151-00118845,285344880-118845,742697800-0000118845
Component 00000000028355,00005-00002-28355,00004-00005-52624,1676187957-028355,979759459-028355,283330961-0028355,111660509-028355,1446319352-00028355,459874758-028355,191611987-0000028355
Component 00000000116239,00004-00004-00006-116239,00004-00002-00008-36759,936618942-116239,1215277879-116239,1493936816-0116239,492933681-116239,1247122643-00116239,1427346036-116239,837407680-0000116239
Component 00000000119316,00001-00001-00002-119316,00002-00006-00010-5067,670923475-119316,1993999555-119316,1169591988-0119316,415603945-119316,242674486-00119316,1901549552-119316,2128004838-0000119316
Component 00000000083146,00001-00011-83146,00005-00001-104235,1945955296-083146,1643633349-083146,1341311402-0083146,1241984572-083146,606110660-00083146,319403722-083146,1763158060-0000083146
Component 00000000113758,00003-00001-00008-113758,00002-00009-96560,1651829506-113758,401897291-113758,1299448723-0113758,85917371-113758,2040611152-00113758,1784625302-113758,1629501713-0000113758
Component 00000000002890,00006-00004-2890,00004-00003-00005-80839,1934314423-002890,1507396046-002890,1080477669-0002890,1629867785-002890,1616976023-00002890,769585150-002890,8562364-0000002890
Component 00000000117248,00003-00005-00001-117248,00003-00003-00005-70738,515423759-117248,1056094065-117248,1596764371-0117248,968129836-117248,412261953-00117248,697794683-117248,797485051-0000117248
Component 00000000066791,00001-00004-00010-66791,00004-00006-16919,1934482844-066791,1525247893-066791,1116012942-0066791,340198720-066791,238889828-00066791,1618558019-066791,1697091760-0000066791
Component 00000000049195,00006-00003-49195,00002-00003-00010-18392,719093988-049195,1100403708-049195,1481713428-0049195,2032746232-049195,126197632-00049195,1842091372-049195,991649988-0000049195
Component 00000000083783,00003-00011-83783,00002-00006-00002-122072,1590841990-083783,1245517037-083783,900192084-0083783,948709122-083783,527850240-00083783,47629775-083783,653732282-0000083783
Component 00000000048164,00004-00004-00012-48164,00002-00006-00003-113077,939604746-048164,68004412-048164,1343887725-0048164,1616661487-048164,1679695863-00048164,2052461654-048164,1780843551-0000048164
Component 00000000045723,00003-00006-00002-45723,00005-00002-44735,924685637-045723,1674239550-045723,276309816-0045723,1844570242-045723,244284324-00045723,396051462-045723,1939000993-0000045723
Component 00000000053784,00004-00003-00003-53784,00006-00004-23365,192106561-053784,1253733086-053784,167875964-0053784,1215127319-053784,201961988-00053784,1758055880-053784,1354113407-0000053784
Component 00000000025968,00003-00005-00007-25968,00004-109330,696450349-025968,1964131655-025968,1084329314-0025968,2049451574-025968,6012338-00025968,1415610921-025968,1849245840-0000025968
Component 00000000051569,00004-00011-51569,00001-00010-84861,225520581-051569,1177286406-051569,2129052231-0051569,215264683-051569,1898886499-00051569,813123594-051569,1498704514-0000051569
Component 00000000030691,00001-00003-00011-30691,00006-118020,1895327418-030691,1803342556-030691,1711357694-0030691,1729028905-030691,41469568-00030691,1775021336-030691,1170649818-0000030691
Component 00000000102411,00001-00001-00010-102411,00001-00006-25915,1395204477-102411,491764549-102411,1735808268-0102411,528040909-102411,750273255-00102411,979760873-102411,120416949-0000102411
Component 00000000092945,00006-00008-92945,00005-00003-7985,549820665-092945,796191856-092945,1042563047-0092945,687663370-092945,1603291062-00092945,1638219598-092945,516833783-0000092945
Component 00000000112560,00006-112560,00003-00003-00005-63003,1441009807-112560,950169525-112560,459329243-0112560,1257576247-112560,1564294010-00112560,1502996388-112560,1379431882-0000112560
Component 00000000120770,00006-120770,00004-00002-45840,1619776262-120770,1753197120-120770,1886617978-0120770,1648236934-120770,981132644-00120770,1581526505-120770,923400674-0000120770
Component 00000000046230,00002-00002-46230,00004-00003-58919,1723209932-046230,420123124-046230,1264519963-0046230,800525507-046230,873508606-00046230,1452068911-046230,932562624-0000046230
Component 00000000036786,00001-00001-00009-36786,00002-00006-00011-41572,37341792-036786,1149995792-036786,115166145-0036786,313969617-036786,1193150558-00036786,1905126264-036786,1618213543-0000036786
Component 00000000030610,00006-00008-30610,00003-00003-00009-115748,203238515-030610,249581872-030610,295925229-0030610,1377149506-030610,1145432721-00030610,280236004-030610,1148165592-0000030610
