Component 00000000053045,00006-00005-53045,00004-00009-2674,746050180-053045,1559123691-053045,224713555-0053045,451667994-053045,681267733-00053045,1118873062-053045,866444384-0000053045
Component 00000000114073,00003-00001-00011-114073,00001-00006-105371,1726671054-114073,2056680677-114073,239206653-0114073,1626010417-114073,2123445949-00114073,387263782-114073,521329730-0000114073
Component 00000000042092,00002-00001-00011-42092,00006-66625,1792909080-042092,2132235401-042092,324078075-0042092,2144108296-042092,447476691-00042092,900703312-042092,1721714248-0000042092
Component 00000000000415,00002-00012-415,00001-00003-00002-11546,1392304012-000415,695700624-000415,2146580883-0000415,1966778046-000415,1154827692-00000415,167596093-000415,142852433-0000000415
Component 00000000057591,00001-00002-00001-57591,00004-00002-00001-6449,1257141145-057591,1763658500-057591,122692208-0057591,1127170922-057591,742067794-00057591,1947654068-057591,1053399554-0000057591
Component 00000000026131,00001-00001-26131,00004-00004-113845,208253709-026131,1106410441-026131,2004567173-0026131,819182271-026131,623365905-00026131,370103905-026131,1560771198-0000026131
Component 00000000043034,00004-00005-00004-43034,00003-00001-00005-92968,1682421692-043034,970778840-043034,259135988-0043034,1527481722-043034,790728688-00043034,1883303148-043034,1198001148-0000043034
Component 00000000110426,00001-00001-00004-110426,00002-00004-00011-3287,306335355-110426,445314678-110426,584294001-0110426,1678123403-110426,983226788-00110426,534891918-110426,1784432386-0000110426
Component 00000000029202,00002-00005-00004-29202,00001-00005-00003-76326,814550760-029202,586260940-029202,357971120-0029202,479912725-029202,1621361825-00029202,594057635-029202,425309447-0000029202
Component 00000000062647,00002-00004-62647,00001-00004-00001-24441,1180554005-062647,301798793-062647,1570527228-0062647,1510599163-062647,1609407929-00062647,1949976769-062647,459794315-0000062647
Component 00000000023697,00002-00002-00011-23697,00004-00004-00002-45749,1295222140-023697,856248538-023697,417274936-0023697,1479838913-023697,1527223276-00023697,1699325714-023697,1694157813-0000023697
Component 00000000047908,00003-00003-47908,00002-00003-00007-105892,198724953-047908,1732024309-047908,1117840018-0047908,1549299721-047908,325253882-00047908,782650043-047908,874776124-0000047908
Component 00000000121285,00003-00008-121285,,2129956396-121285,1738210167-121285,1346463938-0121285,1383875289-121285,1195122787-00121285,506006580-121285,1851984184-0000121285
Component 00000000075352,00002-00004-00004-75352,00004-00006-00003-9519,1839949137-075352,346209892-075352,999954294-0075352,1334297929-075352,213059566-00075352,1007425728-075352,903491720-0000075352
Component 00000000102662,00002-00001-102662,00005-00007-32975,170211081-102662,1822279442-102662,1326864156-0102662,1912373474-102662,94482610-00102662,12597470-102662,1569441837-0000102662
Component 00000000074414,00004-00004-00002-74414,00004-00011-106845,1824006228-074414,2039797651-074414,108105427-0074414,478730185-074414,1547256717-00074414,1444576297-074414,1783450874-0000074414
Component 00000000051986,00001-00004-00012-51986,00005-96530,835798565-051986,1214172216-051986,1592545867-0051986,933309639-051986,1188925031-00051986,1817864637-051986,1827517623-0000051986
Component 00000000107433,00003-00004-00001-107433,00004-00006-00010-43014,1138976832-107433,753808639-107433,368640446-0107433,711930471-107433,490287789-00107433,1978256391-107433,568392884-0000107433
Component 00000000051134,00004-00006-00005-51134,00004-00004-72674,1339270796-051134,1130379144-051134,921487492-0051134,1945443909-051134,842418522-00051134,2049889735-051134,1837817884-0000051134
Component 00000000083148,00003-00002-83148,00001-00003-00010-104296,1738787841-083148,1957463769-083148,28656050-0083148,1607152114-083148,513772474-00083148,1497814150-083148,1683563615-0000083148
Component 00000000009874,00004-00004-00007-9874,00002-00006-00007-29322,674175419-009874,366128800-009874,58082181-0009874,1840041750-009874,1232791198-00009874,920323236-009874,478347134-0000009874
Component 00000000049539,00004-00009-49539,00002-00004-00004-28032,2124958402-049539,2019390267-049539,1913822132-0049539,226129325-049539,753970000-00049539,1352655216-049539,559667012-0000049539
Component 00000000024821,00001-00006-00004-24821,00001-77155,2051609487-024821,1280669957-024821,509730427-0024821,1168264281-024821,727994637-00024821,1553734046-024821,1984800158-0000024821
Component 00000000067595,00003-00008-67595,00003-00006-00007-39423,962468307-067595,1982445338-067595,854938722-0067595,2112972253-067595,1308054392-00067595,529241914-067595,497272232-0000067595
Component 00000000014118,00003-00006-14118,00004-00003-00011-24594,85108366-014118,458060712-014118,831013058-0014118,993427971-014118,1276149888-00014118,806951798-014118,1977061467-0000014118
Component 00000000069689,00004-00004-00009-69689,00004-00001-00005-98064,1017062109-069689,1338088040-069689,1659113971-0069689,480692410-069689,1023046402-00069689,1393921268-069689,1828228732-0000069689
Component 00000000073155,00005-00004-73155,00003-00005-00012-71538,911029429-073155,1522609288-073155,2134189147-0073155,1581623356-073155,671207708-00073155,202091603-073155,915101537-0000073155
Component 00000000031033,00003-00002-00002-31033,00004-00001-00011-4054,1000216121-031033,823736775-031033,647257429-0031033,1030902428-031033,1913299158-00031033,1119142101-031033,206010390-0000031033
Component 00000000060774,00004-00012-60774,00001-00001-00005-95516,1104307494-060774,1348538841-060774,1592770188-0060774,1138367765-060774,2064694677-00060774,2089993915-060774,307513624-0000060774
Component 00000000005383,00003-00001-5383,00002-00001-00007-27112,1500215216-005383,1002356270-005383,504497324-0005383,976376452-005383,1318187535-00005383,1225305925-005383,1898607888-0000005383
Component 00000000081237,00002-00002-81237,00002-00004-00004-50782,1271608500-081237,1314546441-081237,1357484382-0081237,132873168-081237,2065667110-00081237,1185146021-081237,436629069-0000081237
Component 00000000117780,00005-117780,00004-00003-00007-85599,1361499085-117780,583096035-117780,1952176632-0117780,116173159-117780,1860704762-00117780,505374684-117780,158979426-0000117780
Component 00000000048665,00001-00006-48665,00002-00006-00003-67122,1625807127-048665,458596419-048665,1438869358-0048665,850662611-048665,244265210-00048665,1434267965-048665,780311503-0000048665
Component 00000000120129,00004-00002-00009-120129,00004-00005-00007-27879,2120162644-120129,1569793357-120129,1019424070-0120129,123314165-120129,727676953-00120129,1472240632-120129,739275876-0000120129
Component 00000000082307,00002-00001-00004-82307,00003-00001-00001-80718,494279873-082307,1010314857-082307,1526349841-0082307,1899656480-082307,1466965207-00082307,1641638988-082307,1556849150-0000082307
Component 00000000107178,00003-00001-00006-107178,00002-00003-00012-35892,1816309344-107178,1532994244-107178,1249679144-0107178,960428876-107178,229520729-00107178,1102086426-107178,1542808303-0000107178
Component 00000000036149,00004-00001-00009-36149,00005-00010-23735,1953580281-036149,1159065812-036149,364551343-0036149,1000592357-036149,678197408-00036149,324107768-036149,1895533552-0000036149
Component 00000000050796,00001-00004-00005-50796,00003-00003-00003-63248,1999740016-050796,608971439-050796,1365686509-0050796,45715265-050796,557107209-00050796,1814841377-050796,1647862146-0000050796
Component 00000000101085,00005-00010-101085,00004-00003-00006-112339,536563565-101085,741506055-101085,946448545-0101085,1886339742-101085,861627292-00101085,1783868497-101085,1230326547-0000101085
Component 00000000024073,00003-00010-24073,00002-00001-33202,2061554751-024073,101842298-024073,289613492-0024073,431039425-024073,1639667102-00024073,337153828-024073,140597260-0000024073
Component 00000000108886,00001-00001-00011-108886,00004-00009-83664,1011822765-108886,433905584-108886,2003472050-0108886,1973868721-108886,568487332-00108886,1189085488-108886,723536194-0000108886
Component 00000000025677,00002-00001-00002-25677,00004-00005-00007-101134,875807421-025677,1894761195-025677,766231322-0025677,902941579-025677,103140003-00025677,393464692-025677,1608846767-0000025677
Component 00000000101377,00002-00003-00003-101377,00003-00005-00002-120538,1002238951-101377,78608624-101377,1302461944-0101377,229582855-101377,552767196-00101377,1765139842-101377,1634584888-0000101377
Component 00000000121294,00004-00005-00004-121294,00004-00002-00004-60454,1300487379-121294,1919153846-121294,390336666-0121294,167298147-121294,1368933106-00121294,931706737-121294,1651481406-0000121294
Component 00000000079142,00002-00011-79142,00001-00004-00012-115686,1361701516-079142,1618819925-079142,1875938334-0079142,2020784294-079142,735192249-00079142,818483266-079142,597485771-0000079142
Component 00000000052193,00003-00001-00011-52193,00003-00004-00005-102393,799629847-052193,1224278854-052193,1648927861-0052193,994012040-052193,1018250652-00052193,1855429360-052193,1489120964-0000052193
Component 00000000107139,00004-00004-00006-107139,00002-00004-00012-34787,1929311086-107139,1229230115-107139,529149144-0107139,1261380521-107139,466818082-00107139,537679183-107139,249180838-0000107139
Component 00000000025776,00001-00002-00010-25776,1436259974,1689460458-025776,1039538402-025776,389616346-0025776,233011800-025776,1335138433-00025776,557972828-025776,1284624474-0000025776
Component 00000000070973,00003-00006-70973,00002-00007-10472,1884669596-070973,555049259-070973,1372912569-0070973,748850838-070973,954501582-00070973,339919183-070973,1026913456-0000070973
Component 00000000045992,00002-00002-00011-45992,00001-00001-00009-52256,102389194-045992,1051737839-045992,2001086484-0045992,2122383713-045992,1670607782-00045992,573967567-045992,817404116-0000045992
Component 00000000072826,00001-00005-72826,00003-00002-00010-62358,1484389398-072826,1417717777-072826,1351046156-0072826,1472041250-072826,1805399355-00072826,431635237-072826,821089887-0000072826
Component 00000000061219,00004-00004-00002-61219,00005-00002-107980,1901746358-061219,1099740231-061219,297734104-0061219,585413021-061219,300476362-00061219,2060157908-061219,758416701-0000061219
Component 00000000074892,00002-00006-00012-74892,00003-00002-120200,755653538-074892,2133179292-074892,1363221399-0074892,993659550-074892,548481721-00074892,304896673-074892,973143680-0000074892
Component 00000000014883,00003-00001-00011-14883,00004-00006-00004-46024,2054776640-014883,1672859765-014883,1290942890-0014883,1785419202-014883,1547519930-00014883,902635816-014883,245391324-0000014883
Component 00000000067820,00004-00012-67820,00004-00004-00002-45749,642435106-067820,13650943-067820,1532350427-0067820,1284916082-067820,133869603-00067820,525566340-067820,1185498658-0000067820
Component 00000000112733,00003-00005-00010-112733,00004-00003-00007-67854,944053906-112733,15296614-112733,1234022969-0112733,996481831-112733,1345300997-00112733,1460860477-112733,690316565-0000112733
Component 00000000060341,00001-00001-00008-60341,00004-00005-00007-83389,1179638639-060341,1367609764-060341,1555580889-0060341,632561790-060341,1840189812-00060341,1612318051-060341,1537831726-0000060341
Component 00000000121045,00001-00002-121045,00004-00004-00002-53484,494547991-121045,1313073678-121045,2131599365-0121045,464596341-121045,666935200-00121045,1129075321-121045,2124509043-0000121045
Component 00000000102429,00004-00005-00002-102429,00002-00005-00008-26437,1798944554-102429,928262669-102429,57580784-0102429,1446804248-102429,1505246379-00102429,808403367-102429,273120226-0000102429
Component 00000000088716,00001-00005-00004-88716,00002-00001-00008-13112,2120647394-088716,1609941218-088716,1099235042-0088716,973717975-088716,1379765208-00088716,1229071063-088716,530591215-0000088716
Component 00000000034536,00001-00005-00008-34536,00003-00004-00007-102148,1167597484-034536,1787951073-034536,260821015-0034536,116233669-034536,1309433018-00034536,879798698-034536,60034412-0000034536
Component 00000000013291,00001-00005-00005-13291,00005-00006-1475,1726728606-013291,577772574-013291,1576300189-0013291,1836935876-013291,1139265095-00013291,263930245-013291,1243146678-0000013291
Component 00000000075174,00004-00001-00008-75174,00001-00003-00009-4546,2144503923-075174,4979965-075174,12939654-0075174,1456807016-075174,1417008571-00075174,379085348-075174,273593316-0000075174
Component 00000000014598,00003-00003-00012-14598,00002-00004-00004-38042,1954534917-014598,1687313609-014598,1420092301-0014598,1879203361-014598,1067826254-00014598,2012814015-014598,2127667800-0000014598
Component 00000000096497,00002-00002-00011-96497,00003-00001-9530,736734487-096497,360058071-096497,2130865302-0096497,1795281134-096497,1531179567-00096497,1983619342-096497,106112673-0000096497
Component 00000000040304,00004-00005-00004-40304,00002-00001-16550,605829786-040304,51794136-040304,1645242133-0040304,1652388172-040304,127599128-00040304,1929405997-040304,1492085423-0000040304
Component 00000000110244,00004-00001-00004-110244,00004-00007-121674,1181083066-110244,668419436-110244,155755806-0110244,2086700775-110244,355051631-00110244,195548943-110244,1817051816-0000110244
Component 00000000084827,00002-00001-00002-84827,00002-00002-00002-27757,134079791-084827,554638691-084827,975197591-0084827,1203833618-084827,1248522765-00084827,993554168-084827,2106829866-0000084827
Component 00000000020941,00001-00004-00011-20941,00002-00009-28882,282221641-020941,1611271299-020941,792837310-0020941,316620644-020941,113823295-00020941,1799579462-020941,1639927897-0000020941
Component 00000000000739,00004-00004-00011-739,00004-00005-00003-20634,1460741949-000739,1914408109-000739,220590622-0000739,1988714239-000739,1867867086-00000739,1761881159-000739,360431787-0000000739
Component 00000000026847,00002-00002-00002-26847,00004-00009-10409,507930023-026847,763694641-026847,1019459259-0026847,27612114-026847,896272671-00026847,2047213452-026847,1400297471-0000026847
Component 00000000076912,00002-00003-00004-76912,00003-00006-00008-53178,1788302623-076912,154740069-076912,668661162-0076912,2017413693-076912,1595291875-00076912,686711323-076912,908121678-0000076912
Component 00000000081109,00004-00002-81109,00001-00004-00001-47191,1254532616-081109,1923799725-081109,445583187-0081109,427990874-081109,1376622623-00081109,1167099143-081109,426938654-0000081109
Component 00000000026840,00002-00008-26840,00003-00003-10195,273475080-026840,1477687171-026840,534415615-0026840,1769444848-026840,43351687-00026840,93596979-026840,1046026888-0000026840
Component 00000000014830,00004-00010-14830,00002-00012-44550,1603816417-014830,763268603-014830,2070204436-0014830,1639436731-014830,1547208507-00014830,2059710638-014830,282610128-0000014830
Component 00000000025225,00004-00005-25225,00011-88515,714468715-025225,331414503-025225,2095843938-0025225,1463692256-025225,1231479669-00025225,1655219362-025225,1764557212-0000025225
Component 00000000041440,00009-41440,00002-00001-00010-48357,212796776-041440,1584903926-041440,809527429-0041440,188000494-041440,1917399332-00041440,1649430566-041440,1471450997-0000041440
Component 00000000025045,00006-00007-25045,00003-00003-83450,1960918006-025045,1455274060-025045,949630114-0025045,1059506742-025045,1440242825-00025045,1312328715-025045,634185000-0000025045
Component 00000000029738,00003-00002-00007-29738,00004-00001-00010-91309,210977035-029738,625916933-029738,1040856831-0029738,1008209265-029738,1080993422-00029738,800739316-029738,1256893433-0000029738
Component 00000000098678,00003-00006-00008-98678,00004-00002-00008-44949,1211791871-098678,1008827252-098678,805862633-0098678,1031684261-098678,2046507356-00098678,59424747-098678,1748871548-0000098678
Component 00000000030224,00004-00005-00012-30224,00002-00005-00006-104942,94418015-030224,1455545053-030224,669188444-0030224,1684569948-030224,1321385699-00030224,1004006429-030224,1732225942-0000030224
Component 00000000048314,00004-00006-48314,00003-00001-117313,1167489687-048314,410108029-048314,1800210018-0048314,941701273-048314,433642269-00048314,1320392102-048314,715330287-0000048314
Component 00000000056292,00002-00005-00002-56292,00004-00006-93580,1133724530-056292,2007324614-056292,733441051-0056292,553655664-056292,480622538-00056292,116855622-056292,750380452-0000056292
Component 00000000104189,00004-00001-00007-104189,00002-00005-00009-75682,170059180-104189,750053377-104189,1330047574-0104189,1456232147-104189,703744809-00104189,92493225-104189,1577446321-0000104189
Component 00000000108462,00002-00004-00003-108462,00004-00006-00011-71784,1138367201-108462,966378266-108462,794389331-0108462,313096618-108462,1173041293-00108462,1472832909-108462,892119307-0000108462
Component 00000000073875,00004-00009-73875,00004-00004-00011-91739,210901337-073875,929623314-073875,1648345291-0073875,1782920693-073875,336794455-00073875,349817881-073875,1264007202-0000073875
Component 00000000097414,00004-00002-00005-97414,00001-00003-00009-9551,641196145-097414,1627869033-097414,467058274-0097414,1250190979-097414,611793833-00097414,756854535-097414,1229123979-0000097414
Component 00000000116676,00001-00001-116676,00002-00008-54712,1126080416-116676,1139661251-116676,1153242086-0116676,711009090-116676,643104915-00116676,1777960496-116676,956164121-0000116676
Component 00000000084854,00004-00003-84854,00004-00006-00002-28524,1022597776-084854,1409915159-084854,1797232542-0084854,1553879852-084854,1764776584-00084854,286479337-084854,1266421173-0000084854
Component 00000000111218,00003-00002-00003-111218,00003-00006-00008-25423,1154661664-111218,1910794381-111218,519443451-0111218,246134616-111218,760438325-00111218,941810081-111218,1704948630-0000111218
Component 00000000065714,00004-00005-00012-65714,00003-00008-110313,2140757689-065714,855640280-065714,1718006518-0065714,1015847292-065714,998983396-00065714,584664173-065714,485635218-0000065714
Component 00000000004531,00001-00002-00007-4531,00001-00001-00006-3256,542275807-004531,2014415132-004531,1339070810-0004531,330895-004531,1229568858-00004531,338003056-004531,1900875984-0000004531
Component 00000000071841,00001-00003-71841,00002-00004-00012-34787,1315857832-071841,1090946167-071841,866034502-0071841,71318491-071841,1195876816-00071841,1257516147-071841,1694382283-0000071841
Component 00000000006483,00003-00001-00009-6483,00004-00003-00007-57844,1961796119-006483,254957726-006483,695602980-0006483,1858254468-006483,1802511845-00006483,1637931841-006483,1062975514-0000006483
Component 00000000035231,00001-00001-35231,00001-00009-121611,1551937755-035231,403295789-035231,1402137470-0035231,1677377226-035231,978136115-00035231,104214562-035231,1847356646-0000035231
Component 00000000117075,00010-117075,00002-00003-00003-65887,321577297-117075,1286098750-117075,103136556-0117075,929969357-117075,402329386-00117075,1521450454-117075,1110986603-0000117075
Component 00000000120929,00004-00004-00003-120929,00001-00001-00003-50261,645092359-120929,1576097079-120929,359618152-0120929,701664692-120929,341608386-00120929,236162332-120929,1630254465-0000120929
Component 00000000026812,00002-00002-00006-26812,00001-00006-9366,1843571862-026812,1042958583-026812,242345304-0026812,594791653-026812,302890754-00026812,2068840116-026812,1650805516-0000026812
Component 00000000049866,00001-00005-00011-49866,00001-00004-00001-37181,892663577-049866,688838457-049866,485013337-0049866,1744563492-049866,616205445-00049866,1846476052-049866,862104897-0000049866
Component 00000000046336,00001-00003-00004-46336,00001-00002-00003-61896,1720391022-046336,1069808042-046336,419225062-0046336,231887550-046336,1337318803-00046336,557179040-046336,857932680-0000046336
Component 00000000012552,00002-00001-00007-12552,00001-00003-00010-104296,1681525585-012552,624987656-012552,1715933374-0012552,905301733-012552,1893024084-00012552,359828874-012552,344985981-0000012552
Component 00000000023134,00004-00006-00007-23134,00001-00004-00010-29936,940967248-023134,1338564584-023134,1736161920-0023134,897085221-023134,1056582188-00023134,698286553-023134,811681147-0000023134
Component 00000000049665,00005-49665,00004-00001-31564,737222832-049665,735689500-049665,734156168-0049665,662856230-049665,670522890-00049665,663622896-049665,876417627-0000049665
Component 00000000061001,00001-00003-00005-61001,00001-00002-00007-101901,56162237-061001,1140355916-061001,77065948-0061001,26206317-061001,1047688863-00061001,557851301-061001,1728143606-0000061001
Component 00000000060578,00003-00011-60578,00002-00012-90050,2088665014-060578,248562773-060578,555944179-0060578,1964277676-060578,427370646-00060578,1810586973-060578,1212704560-0000060578
Component 00000000091707,00002-00005-91707,00004-00011-96835,502372891-091707,622282767-091707,742192643-0091707,2023034583-091707,1423485203-00091707,1963079645-091707,2040033670-0000091707
Component 00000000015448,00003-00006-00004-15448,00001-00005-00008-61836,68425911-015448,1694187962-015448,1172466366-0015448,534732269-015448,995856602-00015448,795593067-015448,944493624-0000015448
Component 00000000020987,00002-00001-00005-20987,00002-00003-00005-93397,2033469321-020987,166626708-020987,447267742-0020987,612173941-020987,1356452418-00020987,471853424-020987,353999343-0000020987
Component 00000000065056,00001-00005-00004-65056,00002-00001-00004-91862,911064752-065056,38266198-065056,1312951291-0065056,1530007823-065056,1599033299-00065056,1966407100-065056,512009915-0000065056
Component 00000000104390,00006-104390,00002-00006-00004-81332,955175535-104390,1686530767-104390,270402352-0104390,2066165935-104390,556873422-00104390,1700488319-104390,2011241266-0000104390
Component 00000000069753,00003-00005-00008-69753,00004-00003-00004-99844,1446775673-069753,112719545-069753,926147064-0069753,1169562875-069753,1397392574-00069753,1836590939-069753,712477236-0000069753
Component 00000000022633,00003-00002-22633,00001-00001-00004-35806,1689996362-022633,1190130709-022633,690265056-0022633,2142574132-022633,346935103-00022633,1318765135-022633,113057611-0000022633
Component 00000000058839,00004-00004-00001-58839,00002-00006-41327,1758509206-058839,444810838-058839,1278596117-0058839,321164121-058839,447205020-00058839,978013305-058839,1272651916-0000058839
Component 00000000044792,00002-00006-00007-44792,00003-00006-18668,394743575-044792,546088488-044792,697433401-0044792,218779091-044792,1609538173-00044792,1216848458-044792,185726212-0000044792
Component 00000000019892,00002-00005-00002-19892,00001-00001-00005-62756,1465066991-019892,1630976822-019892,1796886653-0019892,1995501030-019892,1165951875-00019892,838804291-019892,1350174718-0000019892
Component 00000000011277,00002-00006-11277,00004-00002-68590,971848711-011277,437407175-011277,2050449286-0011277,821237979-011277,1345962012-00011277,1088458747-011277,1748148447-0000011277
Component 00000000116624,00004-00004-00001-116624,00004-00006-00008-53269,2111077752-116624,868065137-116624,1772536169-0116624,880766217-116624,653378351-00116624,428530701-116624,1235903087-0000116624
Component 00000000041831,00001-00006-00010-41831,00004-00001-59319,1762469455-041831,277182291-041831,939378774-0041831,593002352-041831,1576987231-00041831,1335645934-041831,230831520-0000041831
Component 00000000111411,00001-00006-00001-111411,00001-00005-00003-30826,635630514-111411,1122861260-111411,1610092006-0111411,644001578-111411,355331495-00111411,400386205-111411,1392743834-0000111411
Component 00000000118832,00002-00012-118832,00003-00010-115073,1913103432-118832,1589843731-118832,1266584030-0118832,193651639-118832,1809950144-00118832,1429023313-118832,2030868556-0000118832
Component 00000000028152,00002-00005-00007-28152,00003-00002-46945,973799331-028152,543053931-028152,112308531-0028152,1557483901-028152,1563727254-00028152,1772856601-028152,1450018528-0000028152
Component 00000000004054,00004-00001-00011-4054,00002-00006-00002-5592,176196494-004054,1050021960-004054,1923847426-0004054,1754542302-004054,1680382266-00004054,1317629569-004054,1687378992-0000004054
Component 00000000108192,00002-00006-108192,00001-64260,464503735-108192,257624823-108192,50745911-0108192,1168294738-108192,55205651-00108192,1271734194-108192,31542990-0000108192
Component 00000000066668,00003-00004-66668,00005-00012-13480,1556642291-066668,1954818221-066668,205510504-0066668,1540822073-066668,1697426070-00066668,1341734108-066668,877656260-0000066668
Component 00000000010262,00002-00005-10262,00001-00002-00004-40161,1311302047-010262,307976303-010262,1452134206-0010262,2042127344-010262,616305123-00010262,396306569-010262,1802522961-0000010262
Component 00000000042244,00004-00006-00007-42244,00003-00004-00004-70893,382160409-042244,385146826-042244,388133243-0042244,1600743457-042244,1585811372-00042244,525508425-042244,1019482573-0000042244
Component 00000000016885,00001-00011-16885,00001-00001-102116,566589916-016885,1831050267-016885,948026971-0016885,689633000-016885,809782186-00016885,1131144648-016885,1029817997-0000016885
Component 00000000019627,00002-00006-00010-19627,00001-00005-00011-55326,1040837481-019627,1059675246-019627,1078513011-0019627,880727260-019627,786538435-00019627,1945050201-019627,157355077-0000019627
Component 00000000016286,00001-00004-00010-16286,1436259974,21517400-016286,2046846916-016286,1924692785-0016286,1613234811-016286,76521819-00016286,600570053-016286,1501369213-0000016286
Component 00000000071327,00002-00004-00009-71327,00002-00001-00012-20357,1168093691-071327,136943584-071327,1253277124-0071327,1623179206-071327,336478800-00071327,1065012436-071327,499115288-0000071327
Component 00000000021743,00003-00001-00007-21743,00002-00007-114550,1013640290-021743,1670358680-021743,179593423-0021743,652227500-021743,1663602844-00021743,323868305-021743,2029024736-0000021743
Component 00000000053553,00003-00003-00006-53553,00002-00003-16887,833906-053553,1128438565-053553,108559577-0053553,2076310516-053553,733254515-00053553,438766363-053553,1148308657-0000053553
Component 00000000027765,00003-00010-27765,00002-00006-00002-36077,448106162-027765,357235099-027765,266364036-0027765,1409568724-027765,1863924039-00027765,381262432-027765,1211637692-0000027765
Component 00000000071264,00004-00004-00011-71264,00002-00001-00004-18607,501635776-071264,1879978336-071264,1110837249-0071264,779256879-071264,329995020-00071264,90085599-071264,1962960601-0000071264
Component 00000000005093,00003-00004-00010-5093,00001-00006-00009-18976,282465702-005093,748222052-005093,1213978402-0005093,1396812207-005093,1215514104-00005093,1163934032-005093,1653012087-0000005093
Component 00000000074169,00004-00004-00004-74169,00006-00002-117340,1418150799-074169,366878940-074169,1463090728-0074169,897331342-074169,1858723343-00074169,349225448-074169,1734823745-0000074169
Component 00000000069532,00002-00001-00008-69532,00003-00001-00012-93703,627269786-069532,467463242-069532,307656698-0069532,1466586990-069532,118136063-00069532,1546490262-069532,1963587979-0000069532
Component 00000000085622,00002-00005-00004-85622,00004-50015,1001501056-085622,893296972-085622,785092888-0085622,48570276-085622,589590696-00085622,102672318-085622,2022652835-0000085622
Component 00000000101686,00001-00004-101686,00001-00005-00007-16686,1835408164-101686,1804894948-101686,1774381732-0101686,355517188-101686,508083268-00101686,370773796-101686,1603247614-0000101686
Component 00000000070291,00001-00004-70291,00003-00006-00011-114918,1817686413-070291,1562607055-070291,1307527697-0070291,183755785-070291,1459152575-00070291,311295464-070291,1051449761-0000070291
Component 00000000059107,00002-00006-00009-59107,00003-00003-48818,111378950-059107,874150404-059107,1636921858-0059107,598572470-059107,1079682494-00059107,217186743-059107,538836026-0000059107
Component 00000000090962,00002-00004-00001-90962,00004-00004-00004-75989,929039601-090962,660988626-090962,392937651-0090962,1887211019-090962,1079982247-00090962,947494683-090962,1000843912-0000090962
Component 00000000010795,00001-00005-10795,,954684339-010795,1956122070-010795,810076154-0010795,1206032235-010795,493810874-00010795,1779055193-010795,930882587-0000010795
Component 00000000111555,00003-00002-111555,00004-00003-00009-34849,1345805082-111555,1631748673-111555,1917692264-0111555,1255425540-111555,1973191232-00111555,38711921-111555,1670557895-0000111555
Component 00000000007703,00003-00003-00007-7703,00004-00003-00004-92109,1487153823-007703,427566079-007703,1515461982-0007703,1636755767-007703,492243546-00007703,19065992-007703,1908411558-0000007703
Component 00000000012765,00004-00012-12765,00003-00003-110253,1059453320-012765,208902720-012765,1505835767-0012765,609938513-012765,567724219-00012765,1035213813-012765,1011588562-0000012765
Component 00000000017145,00002-00011-17145,,124900878-017145,1191667738-017145,110950951-0017145,323486060-017145,1432102701-00017145,1937586277-017145,139532377-0000017145
Component 00000000080043,00003-00005-00002-80043,00001-00004-00005-110401,223178448-080043,19124236-080043,1962553671-0080043,1063967401-080043,2084238461-00080043,1165994507-080043,121608771-0000080043
Component 00000000038056,00001-00004-00005-38056,00001-77155,1044987943-038056,1057229644-038056,1069471345-0038056,564968618-038056,503760113-00038056,1632589591-038056,831696393-0000038056
Component 00000000116598,00003-00006-00001-116598,00002-00002-00008-52502,1796942593-116598,304908342-116598,960357738-0116598,1373983594-116598,244220261-00116598,1046258896-116598,871107294-0000116598
Component 00000000100752,00002-00001-00002-100752,00003-00003-00009-103008,1281927375-100752,1425856348-100752,1569785321-0100752,746289801-100752,26644936-00100752,1748067138-100752,1464106668-0000100752
Component 00000000026099,00004-00003-00008-26099,00005-00002-112985,879954078-026099,250354209-026099,1768237987-0026099,1482873313-026099,335905364-00026099,723931424-026099,1253471960-0000026099
Component 00000000095949,00004-00009-95949,00002-00006-00011-92077,1339694445-095949,1071829475-095949,803964505-0095949,1233145282-095949,424986485-00095949,1367077767-095949,1128216375-0000095949
Component 00000000019109,00004-00006-00012-19109,00007-40775,388012864-019109,191322959-019109,2142116701-0019109,512228883-019109,1495678408-00019109,1684315659-019109,631918648-0000019109
Component 00000000093487,00002-00002-00004-93487,00001-00002-00011-23151,717126522-093487,1176892366-093487,1636658210-0093487,1540933486-093487,1389587913-00093487,1311050564-093487,1491432498-0000093487
Component 00000000029592,00002-00003-00004-29592,00005-00008-87225,1185331135-029592,690373739-029592,195416343-0029592,802217546-029592,1129520879-00029592,1049696244-029592,342730788-0000029592
Component 00000000120563,00003-00002-00001-120563,00003-00005-00011-40038,2044534335-120563,1395509076-120563,746483817-0120563,1705322155-120563,655481156-00120563,956092961-120563,593304400-0000120563
Component 00000000079985,00003-00009-79985,00001-00006-00004-15721,1396869458-079985,1922211895-079985,300070685-0079985,32432065-079985,1700687174-00079985,843502670-079985,528822151-0000079985
Component 00000000017579,00004-00002-00003-17579,00004-00006-00008-121519,1778222015-017579,685006849-017579,1739275330-0017579,296893992-017579,1468002528-00017579,843501575-017579,1728138021-0000017579
Component 00000000014597,00002-00002-00011-14597,00001-00001-00012-38011,565254506-014597,399906765-014597,234559024-0014597,62081832-014597,888820537-00014597,1218497526-014597,637633092-0000014597
