Component 00000000071551,00001-00004-00012-71551,00001-00002-00001-26651,1295239515-071551,70182386-071551,992608904-0071551,935769051-071551,618603755-00071551,474555792-071551,2029012347-0000071551
Component 00000000055659,00004-00002-00006-55659,00001-00005-00007-75836,781722431-055659,970114611-055659,1158506791-0055659,1328808573-055659,386847673-00055659,1234612483-055659,1510428496-0000055659
Component 00000000006637,00002-00001-00007-6637,00003-00001-00011-62203,1100051700-006637,1385058473-006637,1670065246-0006637,964236485-006637,1686686267-00006637,1895474922-006637,593716863-0000006637
Component 00000000084244,00004-00006-00004-84244,00002-00005-00008-11422,97950343-084244,910676847-084244,1723403351-0084244,860480141-084244,1091814915-00084244,454116889-084244,142364414-0000084244
Component 00000000076181,00001-00001-76181,32760,1630820638-076181,1532753667-076181,1434686696-0076181,95798015-076181,586132870-00076181,1218573324-076181,919317687-0000076181
Component 00000000067871,00001-00006-00011-67871,00001-00009-47160,2071216634-067871,984299169-067871,2044865351-0067871,1969068933-067871,961205317-00067871,1438785842-067871,998511657-0000067871
Component 00000000028817,00002-00005-00009-28817,00002-00004-65550,9873042-028817,1452281968-028817,747207247-0028817,1247229249-028817,477635560-00028817,526024786-028817,677465031-0000028817
Component 00000000050798,00003-00006-00007-50798,00004-00006-00008-63279,1410322998-050798,644627745-050798,2026416139-0050798,1855067050-050798,1388576021-00050798,1164172853-050798,741764989-0000050798
Component 00000000077548,00003-00002-00003-77548,00009-71015,1096967192-077548,48719198-077548,1147954851-0077548,1796547011-077548,595336040-00077548,173187361-077548,179805013-0000077548
Component 00000000119219,00004-00002-00009-119219,00006-00012-2365,1512216662-119219,1591552724-119219,1670888786-0119219,1065048375-119219,668368065-00119219,1025380344-119219,239779240-0000119219
Component 00000000056263,00003-00004-00012-56263,00003-00003-00011-92753,964767515-056263,120403897-056263,1423523926-0056263,815321335-056263,742172131-00056263,1237503144-056263,1482030151-0000056263
Component 00000000106464,00004-00001-00007-106464,00004-00003-00010-15844,986090078-106464,1482093628-106464,1978097178-0106464,1419942136-106464,1087408033-00106464,1171940361-106464,223085691-0000106464
Component 00000000050944,00004-00005-00010-50944,00002-00001-00009-67362,1422640233-050944,1303751499-050944,1184862765-0050944,2098987575-050944,545947598-00050944,10948295-050944,886862675-0000050944
Component 00000000010451,00001-00012-10451,00002-00011-45472,629547587-010451,222808320-010451,1963552700-0010451,1303787784-010451,1190000472-00010451,433415594-010451,473980861-0000010451
Component 00000000095335,00002-00006-95335,00004-00005-00004-74884,824335641-095335,890141500-095335,955947359-0095335,794694332-095335,465665037-00095335,1835533226-095335,2066283488-0000095335
Component 00000000018832,00002-00002-00008-18832,00003-00005-00005-33038,1643600964-018832,1600214585-018832,1556828206-0018832,613103406-018832,830035301-00018832,1708538419-018832,1246189840-0000018832
Component 00000000042002,00002-00002-00012-42002,00003-00001-00005-57933,1927299720-042002,1417350897-042002,907402074-0042002,1890843745-042002,145620566-00042002,1072076333-042002,1669615227-0000042002
Component 00000000062696,00001-00004-00010-62696,00003-00005-00001-25793,213359383-062696,1427754722-062696,494666414-0062696,55733032-062696,426207278-00062696,522277186-062696,2014247736-0000062696
Component 00000000085950,00004-00007-85950,00001-00006-00011-59226,1381408459-085950,854502408-085950,327596357-0085950,522526926-085950,1009573534-00085950,1859721775-085950,1664917328-0000085950
Component 00000000078494,00004-00003-78494,00001-00001-00011-97511,1406568471-078494,21386457-078494,783688090-0078494,797233849-078494,1280692978-00078494,1489824856-078494,1890225732-0000078494
Component 00000000065882,00002-00005-00011-65882,00001-00003-00004-115041,986346337-065882,754628990-065882,522911643-0065882,1559215066-065882,570318154-00065882,601331916-065882,1565715996-0000065882
Component 00000000019445,00006-00010-19445,00004-00002-50169,492076714-019445,1165353003-019445,1838629292-0019445,2007463849-019445,788566051-00019445,597083881-019445,1014584203-0000019445
Component 00000000000903,00003-00006-903,00003-00006-00010-25178,1634058367-000903,315264472-000903,1143954224-0000903,1023322046-000903,1174840580-00000903,608977170-000903,1287073789-0000000903
Component 00000000020465,00004-00003-20465,00003-00003-00012-78753,91322971-020465,1730704192-020465,1222601766-0020465,1218159074-020465,1611187557-00020465,1472210287-020465,1407101946-0000020465
Component 00000000080926,00001-00006-00001-80926,00002-00010-42065,626351989-080926,1193785771-080926,1761219553-0080926,229603005-080926,1687401389-00080926,2093369761-080926,1208019699-0000080926
Component 00000000059195,00003-00006-59195,00002-00006-00007-81647,440774650-059195,622144166-059195,803513682-0059195,647261588-059195,1887897655-00059195,556576830-059195,1627461532-0000059195
Component 00000000097276,00001-00004-00010-97276,00001-00006-00004-5711,68796658-097276,23357760-097276,2125402509-0097276,12493752-097276,239688242-00097276,35213201-097276,293195210-0000097276
Component 00000000016067,00002-00002-00012-16067,00002-00005-00012-79182,55179518-016067,53454032-016067,51728546-0016067,2118977094-016067,2127604524-00016067,2119839837-016067,77313430-0000016067
Component 00000000061497,00002-00002-00007-61497,00003-00003-00009-115748,98196013-061497,600946697-061497,1103697381-0061497,859284070-061497,493014297-00061497,607908728-061497,2068749441-0000061497
Component 00000000022764,00004-00001-22764,00004-00012-19590,917854987-022764,1365950391-022764,1814045795-0022764,1175645611-022764,1082652238-00022764,951597909-022764,1040719690-0000022764
Component 00000000004953,00003-00004-4953,,1511642844-004953,717383409-004953,2070607621-0004953,571024069-004953,247353950-00004953,2041895610-004953,2031433069-0000004953
Component 00000000111075,00006-00003-111075,00001-00006-00011-21461,925321342-111075,1525671879-111075,2126022416-0111075,1051293152-111075,197024114-00111075,1824859707-111075,1936198164-0000111075
Component 00000000072910,00005-00006-72910,00003-00002-64690,597469805-072910,2115976882-072910,1487000312-0072910,156877218-072910,1154276421-00072910,471365503-072910,1141458221-0000072910
Component 00000000106456,00001-00012-106456,00006-00004-15630,346654779-106456,604707-106456,1802038282-0106456,743095463-106456,325862176-00106456,916120499-106456,691663240-0000106456
Component 00000000118097,00002-00005-118097,00003-00003-00006-94503,1500455-118097,865706405-118097,1729912355-0118097,1113299737-118097,1087237281-00118097,681196762-118097,2010312588-0000118097
Component 00000000032565,00001-32565,00001-00006-00007-46976,960327497-032565,291730527-032565,1770617204-0032565,745629157-032565,1941130360-00032565,1079927642-032565,1122698858-0000032565
Component 00000000039465,00006-00010-39465,00004-00005-00003-116639,168096484-039465,1393492939-039465,471405747-0039465,544024259-039465,859492925-00039465,1005067855-039465,11141567-0000039465
Component 00000000092583,00003-00001-00010-92583,,756060791-092583,32571786-092583,1456566428-0092583,1100324224-092583,422801955-00092583,388326903-092583,2013135033-0000092583
Component 00000000073043,00003-00005-00009-73043,00001-00002-68406,834005145-073043,754888197-073043,675771249-0073043,1291800461-073043,1687385201-00073043,1331358935-073043,948424379-0000073043
Component 00000000055647,00002-00004-00007-55647,00003-00003-00007-75498,1418148465-055647,1611452179-055647,1804755893-0055647,55960359-055647,1236925436-00055647,2106792149-055647,1819818656-0000055647
Component 00000000036337,00002-00002-36337,00005-00008-28985,2130587542-036337,807167055-036337,1631230215-0036337,1295461509-036337,1470113003-00036337,883429929-036337,598819403-0000036337
Component 00000000115600,00002-00004-115600,00004-00003-00011-24594,239224489-115600,284894678-115600,330564867-0115600,1380486832-115600,1152135887-00115600,283909914-115600,1021086202-0000115600
Component 00000000095541,00001-00005-00004-95541,00001-00002-00004-80656,1964235957-095541,2142392543-095541,173065482-0095541,2014895790-095541,1124112860-00095541,1925817497-095541,586299234-0000095541
Component 00000000032970,00002-32970,00002-58305,642882222-032970,1930225078-032970,1070084287-0032970,801984975-032970,807721636-00032970,158313547-032970,301928306-0000032970
Component 00000000032019,00004-00001-32019,00001-00002-00001-31656,416872790-032019,202165013-032019,2134940883-0032019,1814705664-032019,740760902-00032019,848317729-032019,975007592-0000032019
Component 00000000104860,00002-104860,00005-00012-94470,248525106-104860,862623970-104860,1476722834-0104860,2115032599-104860,1192021926-00104860,1807983167-104860,1129854018-0000104860
Component 00000000058483,00003-00005-00009-58483,00002-00006-00009-94142,1338364104-058483,109743189-058483,1028605921-0058483,806050019-058483,506703653-00058483,346618653-058483,106075881-0000058483
Component 00000000110022,00002-00003-00003-110022,00001-00006-00005-115471,506204076-110022,945697812-110022,1385191548-0110022,346813802-110022,296828769-00110022,127066934-110022,1890719850-0000110022
Component 00000000111368,00003-00005-00010-111368,00001-00002-00008-29661,1497076799-111368,1151862409-111368,806648019-0111368,1934048060-111368,1512636363-00111368,2106655255-111368,818977049-0000111368
Component 00000000020846,00001-00007-20846,00001-00004-00009-89436,1688130991-020846,567851329-020846,1595055314-0020846,1041658559-020846,200605928-00020846,1601798390-020846,544454591-0000020846
Component 00000000120364,00004-00006-00010-120364,00004-00008-34419,743143271-120364,313244338-120364,2030829052-0120364,294139667-120364,296150685-00120364,1582830957-120364,1329048116-0000120364
Component 00000000042852,00002-00005-00004-42852,00002-00003-00009-87902,1658241972-042852,1445133003-042852,1232024034-0042852,986133387-042852,2051678232-00042852,18946048-042852,1980903669-0000042852
Component 00000000057908,00003-00004-00006-57908,00002-00004-00004-15292,267001592-057908,1865810220-057908,1317135201-0057908,499808758-057908,1095700206-00057908,1847888091-057908,630863101-0000057908
Component 00000000083906,00001-00004-00004-83906,00003-00003-00009-1998,777000726-083906,1774450824-083906,624417275-0083906,1908690245-083906,1216407049-00083906,1409965196-083906,1679411218-0000083906
Component 00000000036714,00004-00006-00002-36714,00001-00005-00004-39576,1246416875-036714,2126030658-036714,858160794-0036714,2031754234-036714,1928652613-00036714,518205519-036714,1567487212-0000036714
Component 00000000104771,00001-00002-00004-104771,00001-92015,445783805-104771,1239851403-104771,2033919001-0104771,303356662-104771,627985966-00104771,2053806510-104771,34576170-0000104771
Component 00000000100185,00001-00007-100185,00001-87165,622150602-100185,970506857-100185,1318863112-0100185,1411301617-100185,1817003989-00100185,163381666-100185,125113737-0000100185
Component 00000000058044,00004-00012-58044,00003-00010-19068,1917583424-058044,1347052549-058044,776521674-0058044,1090381574-058044,1795552302-00058044,301905188-058044,772387346-0000058044
Component 00000000085091,00001-00006-00006-85091,00006-00012-35125,1013909380-085091,664202615-085091,314495850-0085091,159258630-085091,1907792455-00085091,1407853836-085091,517019251-0000085091
Component 00000000035464,00004-00002-35464,00001-00003-00009-4546,1182330152-035464,250642246-035464,1466437987-0035464,1092623298-035464,1456095534-00035464,1558467251-035464,1811530705-0000035464
Component 00000000009748,00003-00004-00011-9748,00003-00005-00001-25793,1398958074-009748,2072796863-009748,599152005-0009748,794142812-009748,1719916161-00009748,1530965241-009748,1127536552-0000009748
Component 00000000077104,00004-00006-00001-77104,00002-00006-00004-58582,1063706594-077104,843279895-077104,622853196-0077104,36688104-077104,1138821599-00077104,1220643277-077104,1074799744-0000077104
Component 00000000057827,00002-00003-57827,00004-00004-00002-12989,329330730-057827,137437345-057827,2093027607-0057827,686177969-057827,1645644894-00057827,1855866485-057827,382261029-0000057827
Component 00000000059329,00004-00004-00010-59329,00002-00008-55050,983255633-059329,71665788-059329,1307559590-0059329,794562914-059329,1057544845-00059329,176616013-059329,1871297801-0000059329
Component 00000000023260,00006-00003-23260,00002-00005-33467,878966158-023260,74204359-023260,1416926207-0023260,1576466376-023260,1305308077-00023260,905105452-023260,1199519657-0000023260
Component 00000000100243,00003-00003-100243,00001-00001-00010-88761,1519144648-100243,43082038-100243,714503075-0100243,797068414-100243,1734930523-00100243,1535099719-100243,302722520-0000100243
Component 00000000097576,00001-00003-00011-97576,00004-00001-00011-14064,1046457733-097576,779161865-097576,511865997-0097576,967510017-097576,156505710-00097576,1101157951-097576,323507658-0000097576
Component 00000000056802,00002-00004-00005-56802,00002-00006-00005-107827,848891326-056802,394684077-056802,2087960475-0056802,1368418043-056802,1491970641-00056802,521779844-056802,1068006631-0000056802
Component 00000000006676,00001-00005-00007-6676,00004-00004-63340,602394062-006676,839667959-006676,1076941856-0006676,299018008-006676,1260132170-00006676,1254122883-006676,102747859-0000006676
Component 00000000092947,00002-00001-00010-92947,00001-00003-00012-8046,2104200593-092947,500191244-092947,1043665542-0092947,545416635-092947,2123012439-00092947,273679486-092947,516918542-0000092947
Component 00000000051619,00004-00001-00009-51619,00004-00006-00006-86274,1200315326-051619,617992207-051619,35669088-0051619,1948673289-051619,565321590-00051619,1166093025-051619,932225083-0000051619
Component 00000000108605,00003-108605,1436259974,1772976297-108605,1616709436-108605,1460442575-0108605,1710226303-108605,344076961-00108605,714617910-108605,349639023-0000108605
Component 00000000084463,00003-00001-00002-84463,00006-00007-10030,68156099-084463,391221800-084463,714287501-0084463,1778198892-084463,162870387-00084463,542924218-084463,2001370292-0000084463
Component 00000000030084,00004-00005-00002-30084,00001-00003-00005-101041,1716124074-030084,548456590-030084,1528272753-0030084,918825922-030084,314712401-00030084,1502659664-030084,1845998355-0000030084
Component 00000000048628,00003-00006-00008-48628,00001-00003-00003-2551,326523875-048628,570493923-048628,814463971-0048628,1421652968-048628,201802728-00048628,1299667944-048628,1686818208-0000048628
Component 00000000084455,00007-84455,,687293420-084455,418622535-084455,149951650-0084455,1615399203-084455,811269981-00084455,675992822-084455,128604054-0000084455
Component 00000000010413,00003-00004-10413,00002-00005-00006-44427,612088829-010413,1721363047-010413,683153618-0010413,724797227-010413,1620877078-00010413,170160118-010413,876777143-0000010413
Component 00000000113037,00002-00001-00002-113037,00001-00005-00003-76326,1452435217-113037,2069091759-113037,538264654-0113037,1295506446-113037,359707383-00113037,987178175-113037,1608908470-0000113037
Component 00000000090457,00002-00003-00003-90457,00001-00005-00008-61836,1204562437-090457,544220657-090457,2031362524-0090457,1390240812-090457,396982418-00090457,1720411702-090457,1930088770-0000090457
Component 00000000052239,00004-00005-00005-52239,00006-00010-103620,48309108-052239,1203450677-052239,211108599-0052239,1311842206-052239,1978585302-00052239,1808013245-052239,183619072-0000052239
Component 00000000045103,00003-00002-00006-45103,00002-00001-00005-27357,727027558-045103,948264046-045103,1169500534-0045103,719578991-045103,1760880198-00045103,608960747-045103,657050913-0000045103
Component 00000000032778,00003-00004-00005-32778,00004-00005-00010-52764,217359849-032778,2069114342-032778,1773385188-0032778,906881409-032778,238043532-00032778,1054745986-032778,1263267644-0000032778
Component 00000000105121,00001-00002-00003-105121,00004-00001-00006-101809,1759763378-105121,1201925075-105121,644086772-0105121,1548151270-105121,42375491-00105121,753328598-105121,872519894-0000105121
Component 00000000005526,00001-00003-00001-5526,00003-00002-00007-31103,1115428588-005526,1825248655-005526,387585075-0005526,108221662-005526,854088621-00005526,827053452-005526,1713168580-0000005526
Component 00000000094043,00003-00005-00001-94043,00001-00006-00002-38716,1413555867-094043,532517503-094043,1798962786-0094043,1632868153-094043,1743092679-00094043,2073387335-094043,1962235315-0000094043
Component 00000000023310,00001-23310,00004-00005-34879,1858522612-023310,1908730271-023310,1958937930-0023310,1072368603-023310,821330308-00023310,2121006597-023310,1783674801-0000023310
Component 00000000097552,00002-97552,00004-00005-00012-13389,442955942-097552,1374919266-097552,159398943-0097552,546020569-097552,181171243-00097552,80038907-097552,315832916-0000097552
Component 00000000056696,00001-00003-00003-56696,00001-104910,2050997024-056696,266508416-056696,629503455-0056696,1402645416-056696,1735153868-00056696,147406073-056696,160116132-0000056696
Component 00000000049476,00001-00011-49476,00002-00004-00009-26282,1220013921-049476,1111342310-049476,1002670699-0049476,1318149905-049476,1861507960-00049476,298743887-049476,387246578-0000049476
Component 00000000117489,00004-00001-00008-117489,00003-00001-00009-77463,1999611926-117489,1466638355-117489,933664784-0117489,846455673-117489,1363839881-00117489,39200635-117489,1841843685-0000117489
Component 00000000011704,00004-00004-11704,00003-00005-00011-80533,1239699906-011704,60228480-011704,1028240701-0011704,2017394214-011704,1472300403-00011704,459646280-011704,1446291961-0000011704
Component 00000000103044,00004-00004-00006-103044,00006-00002-43630,883954120-103044,1121873933-103044,1359793746-0103044,611904992-103044,1569789574-00103044,1566686909-103044,1865256771-0000103044
Component 00000000040289,00004-00004-00002-40289,00004-00004-63739,521608476-040289,997340019-040289,1473071562-0040289,1046010018-040289,814835950-00040289,1881886070-040289,508450566-0000040289
Component 00000000076766,00001-00004-00001-76766,00006-00011-49125,482962406-076766,814781659-076766,1146600912-0076766,470068824-076766,958456206-00076766,1377901021-076766,70438295-0000076766
Component 00000000097692,00002-00010-97692,00003-00002-00006-17348,1602021568-097692,1570997592-097692,1539973616-0097692,97358732-097692,252478612-00097692,112870720-097692,256792551-0000097692
Component 00000000096920,00005-00005-96920,00003-00005-00003-119278,612112819-096920,1495095716-096920,230594966-0096920,1560852207-096920,1440905016-00096920,45618935-096920,1342116718-0000096920
Component 00000000006112,00002-00001-00002-6112,00004-00001-00005-8429,258807175-006112,1641452568-006112,876614314-0006112,1818857502-006112,1348081478-00006112,53792982-006112,950714420-0000006112
Component 00000000108731,00001-00012-108731,00006-48425,1042960459-108731,800343205-108731,557725951-0108731,13441875-108731,1226528145-00108731,134750502-108731,1665571762-0000108731
Component 00000000032191,00001-00005-00003-32191,00004-00002-00005-36444,1102806476-032191,1184139614-032191,1265472752-0032191,752496375-032191,345830685-00032191,711829806-032191,694955506-0000032191
Component 00000000008654,00004-00002-00009-8654,00003-00005-118695,1814693131-008654,553683494-008654,1440157504-0008654,1859009676-008654,1721606920-00008654,1415772671-008654,1800990124-0000008654
Component 00000000043302,00002-00012-43302,00004-00004-00012-100489,56943926-043302,1130716108-043302,57004643-0043302,595287225-043302,1668877256-00043302,58401134-043302,1258530325-0000043302
Component 00000000050943,00003-00004-00009-50943,00001-00005-00004-67331,1357256412-050943,651360138-050943,2092947511-0050943,1481025475-050943,715539551-00050943,1833973612-050943,660540746-0000050943
Component 00000000030306,00001-00003-00003-30306,1436259974,2050954471-030306,463753144-030306,1024035464-0030306,1307359580-030306,653431627-00030306,1027218420-030306,1158222304-0000030306
Component 00000000102705,00001-00005-102705,00002-00003-00004-34142,804295926-102705,1387175983-102705,1970056040-0102705,82949456-102705,1463516465-00102705,865251251-102705,1285007683-0000102705
Component 00000000038310,00006-00012-38310,00004-00006-84279,2045035023-038310,684063635-038310,1470575894-0038310,462432115-038310,824838114-00038310,1142917809-038310,1021525322-0000038310
Component 00000000087217,00002-00004-87217,00003-00006-94685,572346722-087217,468846850-087217,365346978-0087217,1995053871-087217,365069584-00087217,2046803807-087217,1313655190-0000087217
Component 00000000078116,00001-00003-00012-78116,00004-00001-86919,982490531-078116,1641687905-078116,153401632-0078116,741308465-078116,1740288889-00078116,411709778-078116,997650180-0000078116
Component 00000000041642,00002-00006-00003-41642,00002-00002-00005-54007,905708778-041642,539879523-041642,174050268-0041642,1416600910-041642,1098263538-00041642,525773714-041642,1300823746-0000041642
Component 00000000026790,00001-00010-26790,00004-00001-8814,1509350859-026790,1034426961-026790,559503063-0026790,2097861923-026790,177514119-00026790,187840225-026790,689464639-0000026790
Component 00000000098146,00001-00006-00009-98146,00003-00002-30058,1659150432-098146,496202640-098146,1480738495-0098146,1090757342-098146,463045361-00098146,1672231238-098146,1946378580-0000098146
Component 00000000006208,00003-00006-00007-6208,00003-00007-50200,1716690619-006208,1778575481-006208,1840460343-0006208,423139132-006208,113714822-00006208,392196701-006208,353175601-0000006208
Component 00000000069481,00001-00006-00009-69481,00003-00003-00010-95833,26965114-069481,1694708151-069481,1214967541-0069481,381865646-069481,633085049-00069481,621735951-069481,504701466-0000069481
Component 00000000047266,00001-00002-00011-47266,00002-00003-00009-87902,1385696956-047266,806606478-047266,227516000-0047266,1217096184-047266,1965064927-00047266,1506641423-047266,932518970-0000047266
Component 00000000088109,00004-00008-88109,00003-00006-119678,1431344409-088109,897388468-088109,363432527-0088109,230543211-088109,752839269-00088109,1571263005-088109,677526941-0000088109
Component 00000000078383,00003-00004-00006-78383,00004-00006-00006-108114,279550856-078383,1334983678-078383,242932853-0078383,2075918842-078383,1093722026-00078383,1548202431-078383,89255449-0000078383
Component 00000000046372,00002-00004-00001-46372,00001-00005-74646,1045593942-046372,842528989-046372,639464036-0046372,860620133-046372,1875944898-00046372,2035894433-046372,8049583-0000046372
Component 00000000060206,00001-00006-00003-60206,00001-00012-79611,1454708601-060206,1737796002-060206,2020883403-0060206,1225803844-060206,1957850486-00060206,10518320-060206,1754528350-0000060206
Component 00000000065590,00005-65590,00004-00001-00006-106814,1155263698-065590,318286819-065590,1628793587-0065590,290332536-065590,180249637-00065590,1782562799-065590,53475526-0000065590
Component 00000000063437,00002-00003-00010-63437,00001-00003-00006-46546,1337953485-063437,147834106-063437,1105198374-0063437,525480249-063437,33626203-00063437,46798115-063437,1734595278-0000063437
Component 00000000120915,00004-00002-120915,00001-00005-00002-49831,1686378354-120915,1753007117-120915,1819635880-0120915,1696647889-120915,1363504074-00120915,589591684-120915,674795959-0000120915
Component 00000000103456,00001-00003-00002-103456,00003-00003-00009-42948,1169647866-103456,423329379-103456,1824494539-0103456,406681422-103456,1990790210-00103456,1853582489-103456,1099059066-0000103456
Component 00000000027054,00004-00006-00001-27054,00003-00006-00011-16183,15243628-027054,1883517765-027054,1604308255-0027054,1505967922-027054,754531825-00027054,1645572677-027054,388183434-0000027054
Component 00000000058314,00004-00004-00009-58314,00010-93870,1557463328-058314,731925309-058314,2053870937-0058314,1247316876-058314,1080039677-00058314,586344062-058314,1636163210-0000058314
Component 00000000008062,00002-00005-00002-8062,00001-00001-102116,854213760-008062,1677054839-008062,352412271-0008062,1033558622-008062,1214320521-00008062,1695879906-008062,1366669842-0000008062
Component 00000000081835,00005-81835,00001-00001-00007-67516,1888448945-081835,856167849-081835,1971370400-0081835,1214939670-081835,2081377856-00081835,1731080218-081835,1118574703-0000081835
Component 00000000101891,00001-00006-00010-101891,00002-00001-11362,1214501156-101891,1843159274-101891,324333745-0101891,1639648821-101891,643841878-00101891,1325319762-101891,1843540246-0000101891
Component 00000000089410,00006-00009-89410,00005-00011-32485,1011191050-089410,455696068-089410,2047684733-0089410,1986971834-089410,469479450-00089410,117235678-089410,2073452412-0000089410
Component 00000000081815,00006-00006-81815,00003-00001-66963,1698036984-081815,1843605904-081815,1989174824-0081815,168195016-081815,1587834063-00081815,95410556-081815,666627666-0000081815
Component 00000000083677,00002-00006-00009-83677,00006-00006-119125,1566363723-083677,1226969733-083677,887575743-0083677,138140737-083677,1835110687-00083677,307837732-083677,1636109204-0000083677
Component 00000000087377,00002-00003-00004-87377,00004-00005-00001-99139,908849248-087377,1512879073-087377,2116908898-0087377,1213266526-087377,340601048-00087377,1984993437-087377,1001190421-0000087377
Component 00000000119137,00002-00004-00005-119137,00003-00011-63,685026398-119137,1629311255-119137,426112465-0119137,311943552-119137,2032970208-00119137,913542947-119137,556122543-0000119137
Component 00000000028557,00002-00004-00009-28557,00004-00006-00008-58274,641609197-028557,221236787-028557,1948348024-0028557,1728383782-028557,1682762185-00028557,1938569987-028557,586988740-0000028557
Component 00000000047068,00003-00008-47068,00002-00011-64920,1584756941-047068,1620776294-047068,1656795647-0047068,110470091-047068,2077856973-00047068,1166202238-047068,1130681394-0000047068
Component 00000000023882,00002-00005-00001-23882,00001-00002-00011-50906,1799319504-023882,756917410-023882,1861998963-0023882,634941826-023882,1551985002-00023882,1156142873-023882,568945580-0000023882
Component 00000000026496,00001-00001-00002-26496,00004-585,625020834-026496,510133613-026496,395246392-0026496,421699733-026496,996135838-00026496,1552885167-026496,1746915945-0000026496
Component 00000000120351,00001-00010-120351,00002-00001-34112,677523210-120351,1209522320-120351,1741521430-0120351,709676281-120351,197164378-00120351,443676726-120351,1499454450-0000120351
Component 00000000088607,00002-00001-00012-88607,00001-00003-00003-122216,523207415-088607,1357561144-088607,44431226-0088607,1260915802-088607,1384114451-00088607,1917480761-088607,856993647-0000088607
Component 00000000051493,00003-00001-51493,00003-00003-00011-82743,978226457-051493,1743939551-051493,362168998-0051493,1608089517-051493,2074491341-00051493,1225232970-051493,2009994184-0000051493
Component 00000000083060,00005-00003-83060,00004-00006-00002-101779,1695394952-083060,442531591-083060,1337151877-0083060,2134805883-083060,1956671747-00083060,1687495740-083060,1310199897-0000083060
Component 00000000043639,00004-00001-00011-43639,00001-109915,896976084-043639,1384984556-043639,1872993028-0043639,943066859-043639,650508146-00043639,699062623-043639,301503560-0000043639
Component 00000000102657,00002-00002-00009-102657,00003-00011-32823,2015638601-102657,1077104721-102657,138570841-0102657,1593902008-102657,1991604114-00102657,2063168948-102657,721107334-0000102657
Component 00000000104595,00001-00010-104595,00002-00001-00002-87102,921858901-104595,1929372120-104595,789401692-0104595,1467867965-104595,725269164-00104595,2037853179-104595,1171499209-0000104595
Component 00000000095713,00003-00002-00007-95713,00003-00009-85445,823815380-095713,235769635-095713,1795207537-0095713,1294625982-095713,2087371060-00095713,514907031-095713,522237024-0000095713
Component 00000000055330,00002-00002-55330,00006-66625,624462931-055330,2017818059-055330,1263689540-0055330,1630193582-055330,1105868883-00055330,933516018-055330,791981365-0000055330
Component 00000000035251,00001-00006-00008-35251,00004-00005-00012-122134,1730146378-035251,738510333-035251,1894357935-0035251,1954180253-035251,469909537-00035251,1376256452-035251,1454312233-0000035251
Component 00000000105487,00002-00004-00005-105487,00004-00001-00004-112064,596784834-105487,1311114549-105487,2025444264-0105487,1955779483-105487,531614555-00105487,524872802-105487,1548041066-0000105487
Component 00000000091098,00003-00007-91098,00001-00001-00011-79766,1067193598-091098,1300308207-091098,1533422816-0091098,562092076-091098,1544002678-00091098,1519276595-091098,1247309444-0000091098
Component 00000000092399,00004-00006-00008-92399,00004-00004-00006-116239,1679591498-092399,2026644659-092399,226214173-0092399,258058807-092399,670276649-00092399,1158274050-092399,298113837-0000092399
Component 00000000044726,00001-00003-00006-44726,00001-00003-16796,663468183-044726,326199334-044726,2136414132-0044726,412056359-044726,2098400604-00044726,1654432607-044726,1070947407-0000044726
Component 00000000067525,00003-00003-67525,00003-00001-00005-37458,112094034-067525,193020701-067525,273947368-0067525,815811913-067525,411178578-00067525,1849090403-067525,1402569125-0000067525
Component 00000000070450,00002-00003-70450,00006-00004-119370,501499581-070450,1006409111-070450,1511318641-0070450,1367291669-070450,990227666-00070450,1114836904-070450,1377001674-0000070450
Component 00000000115574,00004-00004-00004-115574,00001-00005-00010-23826,373939781-115574,249639970-115574,125340159-0115574,1861591712-115574,335607120-00115574,849999794-115574,356937077-0000115574
Component 00000000032640,00006-00010-32640,00003-00005-00010-49033,1117526118-032640,515790393-032640,2061538315-0032640,924372690-032640,1785567668-00032640,151498729-032640,1092631696-0000032640
Component 00000000041405,41405,00006-00003-47375,874843695-041405,1267075602-041405,1659307509-0041405,1644480185-041405,1830804297-00041405,374622408-041405,1544737855-0000041405
Component 00000000122273,00003-00004-00008-122273,00002-00003-00009-87902,1555252360-122273,515462301-122273,1623155889-0122273,1591300203-122273,347799557-00122273,1037453409-122273,1141038366-0000122273
Component 00000000081754,00004-00001-00010-81754,00003-00003-00009-65243,152690913-081754,984252558-081754,1815814203-0081754,754983226-081754,892142295-00081754,1412944227-081754,257210089-0000081754
Component 00000000004322,00002-00003-00006-4322,00004-00003-00012-6954,919408662-004322,1344847110-004322,1770285558-0004322,78336920-004322,98628327-00004322,2013101343-004322,208454412-0000004322
Component 00000000000134,00004-00001-00004-134,00001-00002-3655,1880013576-000134,2015871855-000134,4246487-0000134,952947343-000134,273655948-00000134,1958760027-000134,2106210585-0000000134
Component 00000000040337,00002-00003-00011-40337,00001-00006-00012-17471,1932876204-040337,979993856-040337,27111508-0040337,815238913-040337,1284683359-00040337,1291680087-040337,1188762729-0000040337
Component 00000000007483,00003-00008-7483,00001-00004-00006-85936,956672189-007483,1765878895-007483,427601954-0007483,1548491784-007483,1797425548-00007483,1143888431-007483,1676836865-0000007483
Component 00000000016986,00001-00004-00008-16986,00004-00005-00008-104879,928838770-016986,1177436588-016986,1426034406-0016986,100931061-016986,1005425618-00016986,2124115799-016986,403601039-0000016986
